Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Diablo Grande, CA",,retail,445120,Shell,"3103 Atchison Street, Riverbank, CA, 95367",,,37.7382497,-120.9385527,,,n_1183476246,"shop=convenience, brand=Shell"
"Diablo Grande, CA",,retail,445120,Indian Bazaar,,,,37.6693399,-121.0322475,,,n_1417375929,shop=convenience
"Diablo Grande, CA",,retail,445110,Star Market,"2622 Patterson Road, Riverbank, 95367",,,37.7324364,-120.9487271,,,n_1419496725,shop=supermarket
"Diablo Grande, CA",,retail,445110,Save Mart,,,,37.4653026,-121.142362,,,n_1419609101,"shop=supermarket, brand=Save Mart"
"Diablo Grande, CA",,retail,445110,Qwik Serve,,,,37.3930048,-121.0721362,,,n_1607884652,shop=supermarket
"Diablo Grande, CA",,retail,445120,El Mercado,,,,37.5468826,-121.1983931,,,n_1607908494,shop=convenience
"Diablo Grande, CA",,retail,445110,Raley's,"2550 Tracy Blvd, 95377",,https://www.raleys.com/,37.7122935,-121.4327012,,,n_1729192485,"shop=supermarket, brand=Raley's"
"Diablo Grande, CA",,retail,445120,Airport Grocery,,,,37.4675266,-120.8494645,,,n_1796560777,shop=convenience
"Diablo Grande, CA",,retail,445120,Chevron,,,,37.689445,-120.958817,,,n_1892847828,"shop=convenience, brand=Chevron"
"Diablo Grande, CA",,retail,445110,Raley's,,,,37.6884059,-121.0108125,,,n_1894046564,"shop=supermarket, brand=Raley's"
"Diablo Grande, CA",,retail,452319,Espinoza's Gift Shop and Party Supply,"1662 C Main Street, Newman, CA, 95360",,,37.3116157,-121.0210088,,,n_2118748281,shop=variety_store
"Diablo Grande, CA",,retail,445120,Cheaper Cigarettes,,,,37.7977301,-121.1999437,,,n_2142093042,shop=convenience
"Diablo Grande, CA",,retail,445120,7-Eleven,"853 East Yosemite, Manteca, CA, 95336-5803",+1 209-823-4310,https://www.7-eleven.com/locations/ca/manteca/853-e-yosemite-21756,37.7978106,-121.205254,,,n_2142093043,"shop=convenience, brand=7-Eleven"
"Diablo Grande, CA",,retail,445310,Yosemite Bottle Shop,"943 Yosemite Avenue, Manteca, CA, 95336",,,37.79787,-121.2040394,,,n_2142093044,shop=alcohol
"Diablo Grande, CA",,retail,445310,Liquor King,,,,37.5881953,-120.9381062,,,n_2511051152,shop=alcohol
"Diablo Grande, CA",,retail,445120,Central Market,,,,37.5571831,-120.9573913,,,n_2511053373,shop=convenience
"Diablo Grande, CA",,retail,445110,Wolfsen's Meat Market,,,,37.2529026,-120.9969485,,,n_2511065853,shop=supermarket
