Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Eastvale, CA",,retail,445110,Gerrard's Market,,,,34.0426024,-117.1840753,,,n_332436996,shop=supermarket
"Eastvale, CA",,retail,445110,Ralphs,"915 South Brookhurst Street, Anaheim, CA, 92804",+1 714-635-3670,https://www.ralphs.com/stores/grocery/ca/anaheim/brookhurst-sc/703/00296,33.819545,-117.9601612,,,n_471293427,"shop=supermarket, brand=Ralphs"
"Eastvale, CA",,retail,445110,Stater Bros.,"610 South Brookhurst Street, Anaheim, CA, 92804",+1 714-774-3933,https://www.staterbros.com/stores/166,33.8242583,-117.9579726,,,n_471293428,"shop=supermarket, brand=Stater Bros."
"Eastvale, CA",,retail,452319,99 Cents Only Stores,"1617 North Hacienda Boulevard, La Puente, CA, 91744",+1-626-918-6699,https://locations.99only.com/ca/lapuente/discount-store-56.html,34.0495307,-117.9472794,,,n_509864872,"shop=variety_store, brand=99 Cents Only Stores"
"Eastvale, CA",,retail,446120,Natural Nails & Spa,"12223 Highland Ave, Etiwanda, CA, 91739",+1 909 463 7039,,34.1342399,-117.5385525,,,n_519579477,shop=beauty
"Eastvale, CA",,retail,445120,Arrow Liquor,,,,34.1015596,-117.7933772,,,n_537193217,shop=convenience
"Eastvale, CA",,retail,445120,7-Eleven,"2410 South Fullerton Road, Rowland Heights, CA, 91748-4414",+1 626-912-7506,https://www.7-eleven.com/locations/ca/rowland-heights/2410-s-fullerton-rd-20434,33.9760544,-117.9094003,,,n_560374099,"shop=convenience, brand=7-Eleven"
"Eastvale, CA",,retail,445120,Chevron,,,,33.9766237,-117.909158,,,n_560374100,"shop=convenience, amenity=fuel;atm, brand=Chevron"
"Eastvale, CA",,retail,445120,Arco,,,,34.2237944,-117.4034603,,,n_572572143,"shop=convenience, amenity=fuel, brand=Arco"
"Eastvale, CA",,retail,445120,Shell,,,,34.2241177,-117.4028321,,,n_572572147,"shop=convenience, amenity=fuel, brand=Shell"
"Eastvale, CA",,retail,445120,7-Eleven,,,,34.1916076,-117.360445,,,n_572572194,"shop=convenience, amenity=fuel, brand=7-Eleven"
"Eastvale, CA",,retail,445120,,,,,34.0463363,-117.2014069,,,n_574181744,shop=convenience
"Eastvale, CA",,retail,445110,Food 4 Less,,,,34.0651461,-117.224976,,,n_574838404,"shop=supermarket, brand=Food 4 Less"
"Eastvale, CA",,retail,445120,Shell,,,,34.0348258,-117.97527,,,n_580751561,"shop=convenience, amenity=fuel, brand=Shell"
"Eastvale, CA",,retail,445120,Circle K,,,,34.1219656,-117.592998,,,n_588149661,"shop=convenience, amenity=fuel, brand=Circle K"
"Eastvale, CA",,retail,445110,Stater Bros.,"9750 19th Street, Rancho Cucamonga, CA, 91737",+1 909-989-4908,https://www.staterbros.com/stores/78,34.1341172,-117.5925666,,,n_588149667,"shop=supermarket, brand=Stater Bros."
