Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Elk Creek, CA",,retail,445120,Bud's ampm Mini-Market,,,,39.5246019,-122.2116589,,,n_1691357808,"shop=convenience, brand=ARCO"
"Elk Creek, CA",,retail,445120,Chevron,,,,39.7493696,-122.2016478,,,n_8580595354,"shop=convenience, brand=Chevron"
"Elk Creek, CA",,retail,445120,ampm,,,,39.7497918,-122.2022363,,,n_8580595356,"shop=convenience, brand=ampm"
"Elk Creek, CA",,retail,445120,Speedway,"1185 Hoff Way, Orland, CA, 95963",,https://www.speedway.com/locations/CA/Orland/1185-HOFF-WAY,39.7521183,-122.208156,,,n_9191951799,"shop=convenience, brand=Speedway"
"Elk Creek, CA",,retail,445120,Speedway,"1021 South Street, Orland, CA, 95963",,https://www.speedway.com/locations/CA/Orland/1021-SOUTH-ST,39.7399999,-122.2030211,,,n_9191958035,"shop=convenience, brand=Speedway"
"Elk Creek, CA",,retail,445299,Sierra Nevada Cheese Company,"6530 Country Road 39, Willows, CA",,,39.5843447,-122.1902925,,,n_9962388089,shop=cheese
"Elk Creek, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/willows/5496/,39.5257487,-122.2112346,,,n_11120045366,"shop=variety_store, brand=Dollar Tree"
"Elk Creek, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/orland/14707,39.7483255,-122.2013,,,n_11433517727,"shop=variety_store, brand=Dollar General"
"Elk Creek, CA",,retail,445310,,,,,39.5239946,-122.1958538,,,n_12765434722,shop=alcohol
"Elk Creek, CA",,retail,445110,Walmart Supercenter,"470 North Airport Road, Willows, CA, 95988",+1 530-934-2054,https://www.walmart.com/store/2053-willows-ca,39.5258307,-122.2176589,,,w_28825269,"shop=supermarket, brand=Walmart, operator=Walmart"
"Elk Creek, CA",,retail,445110,Mar Val,,,,39.5150692,-122.1943344,,,w_127588985,shop=supermarket
"Elk Creek, CA",,retail,445120,Diamond Gas & Mart,"1300 West Wood Street, Willows, CA, 95988",,,39.5237669,-122.2126201,,,w_564534090,shop=convenience
"Elk Creek, CA",,retail,445120,ExtraMile,,,,39.523908,-122.2114228,,,w_564534091,"shop=convenience, brand=ExtraMile"
"Elk Creek, CA",,retail,445120,Pilot,"1 Road Hh, CA",,,39.7508383,-122.2083052,,,w_581207933,shop=convenience
"Elk Creek, CA",,retail,445110,Grocery Outlet,,,,39.7417625,-122.2035325,,,w_753151320,"shop=supermarket, brand=Grocery Outlet"
"Elk Creek, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/orland/5361/,39.7417394,-122.2041002,,,w_753151321,"shop=variety_store, brand=Dollar Tree"
"Elk Creek, CA",,retail,445310,Freeway Bottle Shop,,,,39.5238104,-122.2099997,,,w_1196902154,shop=alcohol
"Elk Creek, CA",,retail,445120,Maverik,"4473 Commerce Lane, Orland, CA, 95963",+1-530-936-9318,,39.7511311,-122.2098437,,,w_1389960358,"shop=convenience, brand=Maverik"
