Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Fairmead, CA",,retail,445120,,,,,37.0831175,-120.2662661,,,n_401960167,shop=convenience
"Fairmead, CA",,retail,452210,JCPenney,,,,37.3214655,-120.48345,,,n_677608041,"shop=department_store, brand=JCPenney"
"Fairmead, CA",,retail,452210,Kohl's,"400 Merced Mall, Merced, CA, 95348",+1 209-384-2934,https://www.kohls.com/stores/ca/merced-1367.shtml,37.3207954,-120.4819486,,,n_2126973980,"shop=department_store, brand=Kohl's"
"Fairmead, CA",,retail,445120,,,,,37.2948283,-120.4580926,,,n_2160288953,shop=convenience
"Fairmead, CA",,retail,445110,Merced Food Center,,,,37.2947191,-120.4832464,,,n_2359670257,shop=supermarket
"Fairmead, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/fresno/6875-north-milburn-32625,36.8365748,-119.879821,,,n_2699043110,"shop=convenience, brand=7-Eleven"
"Fairmead, CA",,retail,445120,,,,,36.9950766,-120.0024988,,,n_2928185024,shop=convenience
"Fairmead, CA",,retail,453991,No Limit Smoke Shop,"632 East Yosemite Avenue, Madera",+1-559-395-4878,,36.9660293,-120.0530391,,,n_2928259455,shop=tobacco
"Fairmead, CA",,retail,452210,Sears,,,,36.9522544,-120.0798574,,,n_2928269302,shop=department_store
"Fairmead, CA",,retail,445310,Discount Liquor,,,,36.9847214,-120.6263853,,,n_2948019920,shop=alcohol
"Fairmead, CA",,retail,445120,Omar Market,,,,36.8619189,-120.4607117,,,n_2948031936,shop=convenience
"Fairmead, CA",,retail,445120,99 Cents & More,,,,36.8596098,-120.4585066,,,n_2948040569,shop=convenience
"Fairmead, CA",,retail,445110,Star Super Market,,,,36.7520544,-120.3880001,,,n_2948075108,shop=supermarket
"Fairmead, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/mendota/14278,36.75455,-120.3798922,,,n_2948092058,"shop=variety_store, brand=Dollar General"
"Fairmead, CA",,retail,446110,CVS Pharmacy,,,,36.7341773,-120.0592976,,,n_2948121236,"shop=chemist, brand=CVS Pharmacy"
"Fairmead, CA",,retail,445110,Super Save,,,,36.9752393,-120.0581264,,,n_2951614153,shop=supermarket
"Fairmead, CA",,retail,445120,7-Eleven,,,,36.9741565,-120.055858,,,n_2951614162,"shop=convenience, brand=7-Eleven"
"Fairmead, CA",,retail,445310,Azusa Liquor,"8060 West Azusa Road, Dos Palos, 93620",,,37.0491554,-120.6365128,,,n_3171712125,shop=alcohol
"Fairmead, CA",,retail,452319,Family Market,,,,36.9734695,-120.0440638,,,n_3748097142,shop=variety_store
"Fairmead, CA",,retail,445310,Bernies Liquor,,,,37.3041671,-120.4722838,,,n_4141570896,shop=alcohol
"Fairmead, CA",,retail,445120,Off The Wall Smoke Shop,,,,37.2982895,-120.4829799,,,n_4141571894,shop=convenience
"Fairmead, CA",,retail,445120,Summits Marketplace,,,,37.3635667,-120.4299997,,,n_4236229121,shop=convenience
"Fairmead, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/planada/15268,37.2951177,-120.3242639,,,n_4643611846,"shop=variety_store, brand=Dollar General"
"Fairmead, CA",,retail,452319,Campus Store,,,,37.3662609,-120.424296,,,n_5438839825,"shop=general, operator=University of California Merced"
"Fairmead, CA",,retail,445120,ExtraMile,,,,37.0191967,-120.131536,,,n_6196289552,"shop=convenience, brand=ExtraMile"
"Fairmead, CA",,retail,452319,Five Below,"6467 North Riverside Drive, Fresno, CA, 93722",+1 559-500-2655,https://locations.fivebelow.com/ca/fresno/6467-riverside-drive,36.8309003,-119.908571,,,n_7929815555,"shop=variety_store, brand=Five Below"
"Fairmead, CA",,retail,446120,Bath & Body Works,"6591 North Riverside Drive, Fresno, CA, 93722",+15594908294,https://www.bathandbodyworks.com/?cm_mmc=local_BBW02461,36.8332614,-119.9115155,,,n_7929815561,"shop=cosmetics, brand=Bath & Body Works"
"Fairmead, CA",,retail,446120,Salon Techniques,,,,37.1218847,-120.2609618,,,n_8947025930,shop=beauty
"Fairmead, CA",,retail,445120,Quality Liquor,,,,37.121229,-120.2617815,,,n_8947025937,shop=convenience
"Fairmead, CA",,retail,452319,Discount 4 U,,,,37.1202223,-120.2630345,,,n_8947025949,shop=variety_store
"Fairmead, CA",,retail,445120,ampm,,,,36.9969192,-120.105811,,,n_9005376644,"shop=convenience, brand=ampm"
"Fairmead, CA",,retail,445120,Circle K,,,,37.1249798,-120.256321,,,n_9005376711,"shop=convenience, brand=Circle K"
"Fairmead, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/merced/6389/,37.3193097,-120.467778,,,n_9482493617,"shop=variety_store, brand=Dollar Tree"
"Fairmead, CA",,retail,446120,Lotus Salon,"1170 W Olive Ave, #H, Merced, CA, 95348",209-626-5137,https://lotus-salon.net,37.3188628,-120.488279,,,n_9692740069,"shop=beauty, operator=Maria Ramirez"
"Fairmead, CA",,retail,445120,,,,,36.9247353,-120.0265638,,,n_10141304337,shop=convenience
"Fairmead, CA",,retail,445120,Love's,,,,36.9956276,-120.096592,,,n_10141370314,"shop=convenience, brand=Love's"
"Fairmead, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/madera/discount-store-191.html,36.9783221,-120.0723629,,,n_10288541560,"shop=variety_store, brand=99 Cents Only Stores"
"Fairmead, CA",,retail,446120,Ulta Beauty,"6587 North Riverside Drive, Fresno, CA, 93722",+1 559-277-3620,https://www.ulta.com/stores/fresno-ca-778,36.8330778,-119.9113138,,,n_11931269199,"shop=cosmetics, brand=Ulta Beauty"
"Fairmead, CA",,retail,446120,Master Nails and Spa,"6493 North Riverside Drive, Fresno, CA, 93722",+15594493070,,36.8323299,-119.9080569,,,n_11932462555,shop=beauty
"Fairmead, CA",,retail,446120,European Wax Center,"6525 North Riverside Drive, Fresno, CA, 93722",+15592142037,https://locations.waxcenter.com/ca/fresno/fresno-marketplace-at-el-paseo-1046.html,36.8328438,-119.9085956,,,n_11932462559,"shop=beauty, brand=European Wax Center"
"Fairmead, CA",,retail,446120,Iknoor Threading Center,"6525 North Riverside Drive, Fresno, CA, 93722",+15592130684,,36.832917,-119.9086754,,,n_11932462560,shop=beauty
"Fairmead, CA",,retail,446120,Organic Nails & Spa,"6770 North Brawley Avenue, Fresno, CA, 93711",+15593751821,https://organicnailspafresno.com/,36.8367871,-119.8618611,,,n_12011858786,shop=beauty
