Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Fellows, CA",,retail,445120,E-Z Trip Food Store,,,,35.4017411,-119.398326,,,n_2604505355,shop=convenience
"Fellows, CA",,retail,445120,Travel Store,,,,35.4009897,-119.3963114,,,n_2604505367,shop=convenience
"Fellows, CA",,retail,445120,Buttonwillow Grocery,,,,35.3998026,-119.4682837,,,n_2751041651,shop=convenience
"Fellows, CA",,retail,445120,McKittrick Market,,,,35.3051668,-119.6240376,,,n_2751063438,shop=convenience
"Fellows, CA",,retail,445120,Circle K,,,,35.4011197,-119.3986656,,,n_6642716479,"shop=convenience, brand=Circle K"
"Fellows, CA",,retail,445110,Albertsons,"1044 West Kern Street, Taft, CA, 93268",+1 661-765-4944,https://local.albertsons.com/ca/taft/1044-w-kern-st.html,35.1462715,-119.4662827,,,n_9127714082,"shop=supermarket, brand=Albertsons"
"Fellows, CA",,retail,446120,Diamond Nails & Lashes,"16123 Stockdale Highway, Bakersfield, CA, 93314",+1-661-829-5061,,35.3533059,-119.1814693,,,n_12602307247,shop=beauty
"Fellows, CA",,retail,445110,Wood-Dale Meat Market,"16137 Stockdale Highway, Bakersfield, CA, 93314",,,35.3531067,-119.1817875,,,n_12602326940,shop=supermarket
"Fellows, CA",,retail,445120,Sully's,"16101 Stockdale Highway, Bakersfield, CA, 93314",,,35.3540625,-119.1815109,,,n_12614963747,shop=convenience
"Fellows, CA",,retail,445120,,,,,35.2674657,-119.2275877,,,w_249605799,shop=convenience
"Fellows, CA",,retail,445120,ampm,"20650 Tracy Avenue, Buttonwillow, CA, 93206",,,35.4025633,-119.3988125,,,w_254635503,"shop=convenience, brand=ampm"
"Fellows, CA",,retail,445120,,,,,35.2666763,-119.2533625,,,w_304002375,shop=convenience
"Fellows, CA",,retail,445120,,,,,35.3543798,-119.3327323,,,w_321152007,shop=convenience
"Fellows, CA",,retail,445120,,,,,35.0587685,-119.4004922,,,w_987168803,shop=convenience
"Fellows, CA",,retail,452319,Family Dollar,,,,35.144731,-119.466168,,,w_987500218,"shop=variety_store, brand=Family Dollar"
"Fellows, CA",,retail,445120,Chevron,"31109 7th Standard Road, Shafter, CA, 93263",,,35.441104,-119.2505405,,,w_1164542632,"shop=convenience, brand=Chevron"
"Fellows, CA",,retail,445120,Countryside Market & Restuarants,"31110 7th Standard Road, Shafter, CA, 93263",,,35.4422008,-119.2512878,,,w_1164547305,shop=convenience
