Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Floriston, CA",,retail,445110,Tahoma Market and Deli,"6890 West Lake Boulevard, Tahoma, CA, 96142",,,39.0685632,-120.130964,,,n_356578447,shop=supermarket
"Floriston, CA",,retail,445110,Whole Foods Market,"6139 South Virginia Street, Reno, NV, 89502",+1 775-852-8023,https://www.wholefoodsmarket.com/stores/reno,39.468918,-119.787229,,,n_446942641,"shop=supermarket, brand=Whole Foods Market"
"Floriston, CA",,retail,445110,Raley's,,,,39.2508376,-119.949433,,,n_471036224,"shop=supermarket, brand=Raley's"
"Floriston, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/nv/reno/1729/,39.5066164,-119.8051445,,,n_544743532,"shop=variety_store, brand=Dollar Tree"
"Floriston, CA",,retail,445110,Save Mart,,,,39.5072322,-119.806595,,,n_544743546,"shop=supermarket, brand=Save Mart"
"Floriston, CA",,retail,452210,TJ Maxx,"4821 Kietzke Lane, Reno, NV, 89509",,,39.4811265,-119.7954911,,,n_556331064,"shop=department_store, brand=TJ Maxx"
"Floriston, CA",,retail,445110,Smith's,"750 South Meadows Parkway, Reno, NV, 89521",+1 775-851-8060,https://www.smithsfoodanddrug.com/stores/grocery/nv/reno/750-s-meadows-pkwy-reno-nv/706/00378,39.4373477,-119.756782,,,n_559981995,"shop=supermarket, brand=Smith's"
"Floriston, CA",,retail,452210,Target,"1550 East Lincoln Way, Sparks, NV, 89434-8989",+1 775-332-1003,https://www.target.com/sl/sparks-south/2472,39.5357514,-119.717522,,,n_580387190,"shop=department_store, brand=Target"
"Floriston, CA",,retail,445110,FoodMaxx,,,,39.5403026,-119.7356059,,,n_914017959,"shop=supermarket, brand=FoodMaxx"
"Floriston, CA",,retail,445120,7-Eleven,"600 15th Street, Sparks, NV, 89431-0907",+1 775-359-3610,https://www.7-eleven.com/locations/nv/sparks/600-15th-street-23673,39.538906,-119.761678,,,n_914972938,"shop=convenience, amenity=fuel, brand=7-Eleven"
"Floriston, CA",,retail,445120,Corner Minit Mart,,,,39.5225583,-119.7895561,,,n_914985782,shop=convenience
"Floriston, CA",,retail,445110,Save Mart,,,,39.5342764,-119.862476,,,n_915255729,"shop=supermarket, brand=Save Mart"
"Floriston, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/nv/reno/2751/,39.5347701,-119.8626689,,,n_915255730,"shop=variety_store, brand=Dollar Tree"
"Floriston, CA",,retail,445110,Food Source (Raley's),,,,39.4865237,-119.7968482,,,n_1409418738,shop=supermarket
"Floriston, CA",,retail,445120,Alice's Mountain Market,"1850 Village South Rd #47, Olympic Valley, CA, 96146",1.530.581.2014,,39.1972831,-120.2338294,,,n_1645244659,shop=convenience
"Floriston, CA",,retail,445120,Sun Valley Liquor & Smoke,"5476 Sun Valley Boulevard, Sun Valley, NV, 89433",,,39.5921693,-119.7797315,,,n_1709903423,shop=convenience
"Floriston, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/sun-valley-nv-pharmacies/5485-sun-valley-blvd-sun-valley-nv-89433/storeid=9838,39.5921528,-119.781283,,,n_1709940614,"shop=chemist, brand=CVS Pharmacy"
"Floriston, CA",,retail,446120,NV Nails,,,,39.5555343,-119.7811606,,,n_2012884737,shop=beauty
"Floriston, CA",,retail,445110,Save Mart,"11399 Deerfield Drive, Truckee, CA, 96161",+1-530-587-5522,https://www.savemart.com/stores#/4947,39.3192133,-120.209069,,,n_2119910780,"shop=supermarket, brand=Save Mart"
"Floriston, CA",,retail,452319,99 Cents Only Stores,"580 East Prater Way, 89431",,https://locations.99only.com/nv/sparks/discount-store-349.html,39.5430216,-119.7362966,,,n_2212119478,"shop=variety_store, brand=99 Cents Only Stores"
"Floriston, CA",,retail,452210,Big Lots,"650 East Prater Way, 89431",,,39.5429925,-119.7351565,,,n_2212119479,"shop=department_store, brand=Big Lots"
"Floriston, CA",,retail,445120,7-Eleven,"10015 PALISADES, Truckee, CA, 96161-1901",+1 530-587-4734,https://www.7-eleven.com/locations/ca/truckee/10015-palisades-24548,39.3259429,-120.1767986,,,n_2299104428,"shop=convenience, brand=7-Eleven"
"Floriston, CA",,retail,446120,Chrystal Nails & Spa,,,,39.2502049,-119.9504945,,,n_3023873112,shop=beauty
"Floriston, CA",,retail,445120,7-Eleven,"8593 North Lake Boulevard, Kings Beach, CA, 96143",+1 530-546-2002,https://www.7-eleven.com/locations/ca/kings-beach/8593-n-lake-blvd-15183,39.2363043,-120.0221298,,,n_3026628818,"shop=convenience, brand=7-Eleven"
"Floriston, CA",,retail,445310,SiPS,599 North Lake Boulevard,,,39.1722066,-120.140187,,,n_3049840272,shop=alcohol
"Floriston, CA",,retail,446120,Lucky Nails & Spa,"5150 Mae Anne Avenue, Reno, NV, 89523",,,39.5317982,-119.867133,,,n_3167997465,shop=beauty
"Floriston, CA",,retail,453110,Sparks Florist,"5000 Smithridge Drive, Reno, NV, 89502",+1-800-886-5703,https://www.reno.florist/,39.4776736,-119.78681,,,n_3220967258,shop=florist
"Floriston, CA",,retail,453110,Sparks Florist,"1001 Pyramid Way, Sparks, NV, 89431",800-886-5703,https://www.sparksflorist.com/,39.5434701,-119.7529142,,,n_3220974270,shop=florist
"Floriston, CA",,retail,445120,7-Eleven,"3210 North Lake Boulevard, Tahoe City, CA, 96145-5725",+1 530-583-5811,https://www.7-eleven.com/locations/ca/tahoe-city/3210-n-lake-boulevard-14077,39.191282,-120.1053786,,,n_3299014168,"shop=convenience, brand=7-Eleven"
"Floriston, CA",,retail,445110,Tahoe Central Market,,,,39.2365317,-120.0236702,,,n_3337200794,shop=supermarket
"Floriston, CA",,retail,445120,Sinclair,,,,39.2375669,-120.0300411,,,n_3383183077,"shop=convenience, amenity=fuel"
"Floriston, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/nv/incline-village/901-tahoe-blvd-18386,39.249315,-119.9522085,,,n_3383260035,"shop=convenience, brand=7-Eleven"
"Floriston, CA",,retail,445110,Safeway,"11290 Donner Pass Road, Truckee, CA, 96161",+1 530-582-7950,https://local.safeway.com/safeway/ca/truckee/11290-donner-pass-rd.html,39.3272672,-120.206545,,,n_3562526725,"shop=supermarket, brand=Safeway"
"Floriston, CA",,retail,452319,General Merchandise Dollar Store,,,,39.5198207,-119.8099455,,,n_3785077389,shop=variety_store
"Floriston, CA",,retail,445310,Nahar Food and Liquor,,,,39.5196604,-119.8098649,,,n_3785077396,shop=alcohol
"Floriston, CA",,retail,453991,Lavi's Smoke & Head Shop,"743 South Virginia Street, Reno, NV, 89509",,,39.5175837,-119.8090983,,,n_3793402276,shop=tobacco
"Floriston, CA",,retail,453110,Sweet Thorns Florist,"733 South Virginia Street, Reno, NV, 89509",+1 775-842-0853,,39.5176604,-119.8092833,,,n_3793402277,shop=florist
"Floriston, CA",,retail,445120,Quickie Mart,"777 South Virginia Street, Reno, NV, 89509",,,39.5170358,-119.8089414,,,n_3793402279,shop=convenience
"Floriston, CA",,retail,445299,Wedge Cheese Shop,"16 Saint Lawrence Avenue, Reno, NV, 89509",,,39.5181124,-119.8096295,,,n_3793402281,shop=cheese
"Floriston, CA",,retail,445120,Jashan Market,"436 North Virginia Street, Reno, NV, 89501",,,39.5307528,-119.8143603,,,n_4053647122,shop=convenience
"Floriston, CA",,retail,445292,Chocolate Nugget Candy Factory,"56 NV 341, Mound House, NV",+1 775-246-5500,https://www.angelfire.com/chocolatenuggetcandyfactory/,39.2277503,-119.6455577,,,n_4150029763,shop=confectionery
"Floriston, CA",,retail,452319,Dollar Tree Store at 99 Cents Only Store 3,"2100 East William Street, Carson City, NV, 89706",+1-775 524 2030,https://www.dollartree.com/locations/nv/carson-city/10432/,39.1745015,-119.7450231,,,n_4239974018,"shop=variety_store, brand=Dollar Tree"
"Floriston, CA",,retail,452319,Dollar Tree,"2709 North Carson Street, Carson City, NV, 89706",+1 775 882 7733,https://www.dollartree.com/locations/nv/carson-city/1225/,39.1846847,-119.7678095,,,n_4239978490,"shop=variety_store, brand=Dollar Tree"
"Floriston, CA",,retail,445292,Grandma's Fudge,,,,39.3110441,-119.6495816,,,n_4243505328,shop=chocolate
"Floriston, CA",,retail,452319,Dollar Tree,"911 Topsy Lane, Carson City, NV, 89705-8422",+1 775-267-4362,https://www.dollartree.com/locations/nv/carson-city/4264/,39.107738,-119.778355,,,n_4243517118,"shop=variety_store, brand=Dollar Tree"
"Floriston, CA",,retail,445120,DJ Liquor & Groceries,"229 West 2nd Street, Reno, NV, 89501",,,39.526398,-119.8166827,,,n_4396672155,shop=convenience
"Floriston, CA",,retail,445120,Sierra ARCO (Marathon Petroleum),,,,39.533985,-119.8682233,,,n_4416178442,"shop=convenience, brand=ARCO"
"Floriston, CA",,retail,446120,Jessie's Salon,"10580 North Mccarran Boulevard, Reno, NV, 89503",,,39.5354816,-119.8628956,,,n_4416178452,shop=beauty
"Floriston, CA",,retail,445120,7-Eleven,"10170 North Mccarran Boulevard, Reno, NV, 89503",,https://www.7-eleven.com/locations/nv/reno/10170-n-mccarran-blvd-33021,39.5268685,-119.8616047,,,n_4416233906,"shop=convenience, brand=7-Eleven"
"Floriston, CA",,retail,445120,JB Liquor & Smoke,"1086 South Virginia Street, Reno, NV, 89502",,,39.5134083,-119.806587,,,n_4446852015,shop=convenience
"Floriston, CA",,retail,445110,Raley's,"3701 South Carson Street, Carson City, NV, 89701",,,39.1330542,-119.7680838,,,n_4594848821,"shop=supermarket, brand=Raley's"
"Floriston, CA",,retail,446120,Reign Hair & Co,"20 Mary Street, Reno, NV, 89502",,,39.5145877,-119.8078202,,,n_4623945815,shop=beauty
"Floriston, CA",,retail,445310,Ben's Wine,"4794 North Virginia Street, Reno, NV, 89506",,,39.5723191,-119.8264332,,,n_4742367888,shop=alcohol
"Floriston, CA",,retail,445120,Sharma Mart,,,,39.5439894,-119.8074352,,,n_4802737038,shop=convenience
"Floriston, CA",,retail,453110,The Stem,,,,39.5249295,-119.8116044,,,n_4948011660,shop=florist
"Floriston, CA",,retail,445292,Sugar Love Chocolates,,,,39.5248971,-119.8117679,,,n_4948011662,shop=chocolate
"Floriston, CA",,retail,446120,Eye Candy Salon,"122 West 2nd Street, Reno, NV, 89501",,,39.5264781,-119.8150767,,,n_4960636868,shop=beauty
"Floriston, CA",,retail,445110,Raley’s,,,,39.3950434,-119.7657188,,,n_5224036821,shop=supermarket
"Floriston, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/nv/washoe-valley/14626,39.2909782,-119.770343,,,n_5465619895,"shop=variety_store, brand=Dollar General"
"Floriston, CA",,retail,445110,Grocery Outlet,"1300 Disc Drive, Sparks, NV, 89436",(775) 683-9906,https://groceryoutlet.com/,39.5775596,-119.720829,,,n_5485790786,"shop=supermarket, brand=Grocery Outlet"
"Floriston, CA",,retail,445292,See's Candies,"131 Disc Drive, Sparks, NV, 89436",(775) 354-2650,https://www.sees.com/,39.5761728,-119.741851,,,n_5502371732,"shop=confectionery, brand=See's Candies"
"Floriston, CA",,retail,446120,Beyond Nails & Spa,"113 Los Altos Parkway, Sparks, NV, 89436",775-626-6766,http://www.beyondnails.net,39.5824648,-119.7411304,,,n_5553464454,shop=beauty
