Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Gilroy, CA",,retail,445110,Windmill Market,"301 The Alameda, San Juan Bautista, CA, 95045",,,36.8411133,-121.5351038,,,n_315635600,shop=supermarket
"Gilroy, CA",,retail,452210,Big Lots,"360 East 10th Street, Gilroy, CA, 95020",+1 669-305-0419,https://local.biglots.com/ca/gilroy/360-e-10th-st,37.000353,-121.560848,,,n_316509283,"shop=department_store, brand=Big Lots"
"Gilroy, CA",,retail,445120,Neil's Super Market,,,,36.8451236,-121.5397885,,,n_318539518,shop=convenience
"Gilroy, CA",,retail,445310,Lynn's Liquors,,,,36.8465707,-121.4013704,,,n_331040695,shop=alcohol
"Gilroy, CA",,retail,445310,Paul's Liquors & Market,"9305 Monterey Road, Gilroy, CA, 95020",,,37.0318866,-121.5816186,,,n_331067017,shop=alcohol
"Gilroy, CA",,retail,445120,Sun Valley Market,"16725 Monterey Road, Morgan Hill, CA, 95037",,,37.1214767,-121.648145,,,n_331090668,shop=convenience
"Gilroy, CA",,retail,445120,ampm,,,,37.1443375,-121.6649491,,,n_331093436,"shop=convenience, brand=ampm"
"Gilroy, CA",,retail,446120,Sola Salons,"18585 Monterey Road, Morgan Hill, CA, 95037",,https://www.solasalonstudios.com/locations/gateway-center?utm_source=gmb&utm_medium=organic,37.1439894,-121.664419,,,n_331094282,"shop=beauty, operator=Gateway VI Investments - Sola Salon Studios"
"Gilroy, CA",,retail,445110,Cardenas,"727 1st Street, Gilroy, CA, 95020",+1 408-493-0113,https://locations.cardenasmarkets.com/ll/us/ca/gilroy/727-1st-st,37.0144001,-121.5830607,,,n_332111900,"shop=supermarket, brand=Cardenas"
"Gilroy, CA",,retail,445110,Nob Hill Foods,"777 1st Street, Gilroy, CA, 95020",+1 408-847-4857,https://www.raleys.com/store/602,37.0144,-121.5850776,,,n_332112939,"shop=supermarket, brand=Nob Hill Foods"
"Gilroy, CA",,retail,452210,Sears Hometown,"835 1st Street, Gilroy, CA, 95020",,,37.0144226,-121.5880736,,,n_332115052,"shop=department_store, brand=Sears Hometown"
"Gilroy, CA",,retail,445120,Frinds Food N Liquor,"343 East 10th Street, Gilroy, CA, 95020",,,37.0023836,-121.5622614,,,n_332492334,"shop=convenience, operator=Ashapuri Inc"
"Gilroy, CA",,retail,445120,Quik Stop,"8400 Church Street, Gilroy, CA, 95020",,,37.0197636,-121.576822,,,n_340311739,"shop=convenience, brand=Quik Stop"
"Gilroy, CA",,retail,445110,Pass Farmers Market,,,,36.9709942,-121.4195769,,,n_386843084,shop=supermarket
"Gilroy, CA",,retail,452210,Burlington,"6900 Chestnut Street, Gilroy, CA, 95020",,https://stores.burlington.com/ca/gilroy/741/,37.0004496,-121.559197,,,n_386909017,"shop=department_store, brand=Burlington"
"Gilroy, CA",,retail,445120,Los Lomas Market,,,,36.8651453,-121.7344735,,,n_392774069,shop=convenience
"Gilroy, CA",,retail,445110,Staff of Life,,,,36.9805889,-122.0082911,,,n_400699340,shop=supermarket
"Gilroy, CA",,retail,445120,DJ's Mini Mart,,,,36.9818496,-122.0141975,,,n_409452170,shop=convenience
"Gilroy, CA",,retail,445310,Ernie's Liquor's,,,,36.9782257,-122.0132517,,,n_409452366,shop=alcohol
"Gilroy, CA",,retail,445120,Deke's Market,,,,36.9656703,-121.998181,,,n_431407465,shop=convenience
"Gilroy, CA",,retail,445310,Garden Liquors & Deli,,,,36.9893852,-121.9801273,,,n_431420730,shop=alcohol
"Gilroy, CA",,retail,445120,7-Eleven,"1875 Soquel Drive, Santa Cruz, CA, 95065-1837",+1 831-475-9599,https://www.7-eleven.com/locations/ca/santa-cruz/1875-soquel-dr-14294,36.9892227,-121.979801,,,n_431420732,"shop=convenience, brand=7-Eleven"
"Gilroy, CA",,retail,445110,Live Oak Super,,,,36.975642,-121.983443,,,n_431699198,shop=supermarket
"Gilroy, CA",,retail,445110,Lucky,"430 Blossom Hill Road, San Jose, CA, 95123",,,37.2501724,-121.829265,,,n_431891127,"shop=supermarket, brand=Lucky"
"Gilroy, CA",,retail,445292,Mackenzies Chocolates,1492 Soquel Avenue,,https://www.mackenzieschocolates.com/,36.9813483,-122.0050891,,,n_436631693,shop=confectionery
"Gilroy, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/salinas-ca-pharmacies/17579-vierra-canyon-rd-salinas-ca-93907/storeid=3051,36.7931551,-121.664241,,,n_440299847,"shop=chemist, brand=CVS Pharmacy"
"Gilroy, CA",,retail,445110,Grocery Outlet,"7925 San Miguel Canyon Road, Salinas, CA, 93907",,,36.8021003,-121.665448,,,n_440393776,"shop=supermarket, brand=Grocery Outlet"
"Gilroy, CA",,retail,445310,101 Wine Press,"8049 San Miguel Canyon Road, Prunedale, CA, 93907",,,36.801393,-121.6648354,,,n_440394105,shop=wine
"Gilroy, CA",,retail,445110,El Patio,,,,36.9371467,-121.8627937,,,n_442197491,shop=supermarket
"Gilroy, CA",,retail,445110,Safeway,"16 Rancho Del Mar, Aptos, CA, 95003",+1 831-688-2775,https://local.safeway.com/safeway/ca/aptos/16-rancho-del-mar.html,36.9785814,-121.9086088,,,n_453738678,"shop=supermarket, brand=Safeway"
"Gilroy, CA",,retail,445120,Rio Market,"139 Esplanade, Aptos, CA, 95003",,,36.9693866,-121.9051841,,,n_453822227,shop=convenience
"Gilroy, CA",,retail,445120,,,,,37.2601474,-121.8856417,,,n_461674885,shop=convenience
"Gilroy, CA",,retail,452210,Macy's,,,https://www.macys.com/stores/ca/capitola/capitola-mall_364.html,36.9767851,-121.9688942,,,n_490229776,"shop=department_store, brand=Macy's"
"Gilroy, CA",,retail,452210,Kohl's,"1855 41st Avenue, Capitola, CA, 95010",+1 831-462-6120,https://www.kohls.com/stores/ca/capitola-1358.shtml,36.9770194,-121.9669202,,,n_490229780,"shop=department_store, brand=Kohl's"
"Gilroy, CA",,retail,452210,Sears,,,,36.9748149,-121.9667457,,,n_490229783,"shop=department_store, brand=Sears"
"Gilroy, CA",,retail,445110,Scotts Valley Market,"14 Victor Square, Scotts Valley, 95066",,,37.0607155,-122.0065764,,,n_493853276,shop=supermarket
"Gilroy, CA",,retail,445110,Star Market,"1275 South Main Street, Salinas, CA, 93901",+1 831 422 3961,https://www.starmkt.com/,36.655854,-121.6589113,,,n_529122561,shop=supermarket
"Gilroy, CA",,retail,445110,Nob Hill Foods,"1320 South Main Street, Salinas, CA, 93901",,,36.6554358,-121.661813,,,n_529123311,shop=supermarket
"Gilroy, CA",,retail,445110,Lucky,"1150 South Main Street, Salinas, CA, 93901",+1 831 758 8233,,36.6591354,-121.6606848,,,n_529126578,"shop=supermarket, brand=Lucky"
"Gilroy, CA",,retail,453991,,,,,36.9875761,-121.9584157,,,n_588036404,shop=tobacco
"Gilroy, CA",,retail,445120,Quik Mart,,,,36.7041256,-121.6319922,,,n_687177727,shop=convenience
"Gilroy, CA",,retail,445310,,,,,36.9800779,-121.9654066,,,n_709775795,shop=alcohol
"Gilroy, CA",,retail,445110,Whole Foods Market,"1710 41st Avenue, Capitola, CA, 95010",+1 831-464-2900,https://www.wholefoodsmarket.com/stores/capitola,36.9742625,-121.963582,,,n_709777197,"shop=supermarket, brand=Whole Foods Market"
"Gilroy, CA",,retail,445310,BevMo!,,,,36.9756923,-121.9637483,,,n_715990913,"shop=alcohol, brand=BevMo!"
"Gilroy, CA",,retail,445110,Region Market,,,,37.1288726,-121.6597076,,,n_721776350,shop=supermarket
"Gilroy, CA",,retail,445110,Hollister Super Market,,,,36.8531594,-121.401266,,,n_796667253,shop=supermarket
