Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Graeagle, CA",,retail,445120,,,,,39.5601999,-120.8295092,,,n_1798723085,shop=convenience
"Graeagle, CA",,retail,445120,Satley Food Store,,,,39.6153092,-120.4256111,,,n_1818064718,shop=convenience
"Graeagle, CA",,retail,445120,La Porte General Store,,,,39.68293,-120.9835655,,,n_2449792588,shop=convenience
"Graeagle, CA",,retail,445120,Mobil,,,,39.9379588,-120.949553,,,n_3370669811,"shop=convenience, amenity=fuel, brand=Mobil"
"Graeagle, CA",,retail,445120,Chevron,,,,39.9382778,-120.950728,,,n_3370669812,"shop=convenience, amenity=fuel, brand=Chevron"
"Graeagle, CA",,retail,445110,Sierra City Store,,,,39.565626,-120.63623,,,n_3628053293,shop=supermarket
"Graeagle, CA",,retail,452319,Downieville Grocery Store,,,,39.5604412,-120.8287441,,,n_8740267681,shop=general
"Graeagle, CA",,retail,445120,,,,,39.8103661,-120.4691146,,,n_9378058189,shop=convenience
"Graeagle, CA",,retail,445120,,,,,39.8121445,-120.4659392,,,n_9378058190,shop=convenience
"Graeagle, CA",,retail,445120,Sierra Express,,,,39.8121573,-120.4659554,,,n_11402215869,shop=convenience
"Graeagle, CA",,retail,445110,Young's Market,"4368 Main Street, Taylorsville, CA, 95983",,,40.0751095,-120.8402827,,,n_11855411948,shop=supermarket
"Graeagle, CA",,retail,445120,Wild Plum Provisions Store,,,,39.5684734,-120.6264801,,,n_12222723893,shop=convenience
"Graeagle, CA",,retail,445120,Higgin's Market,,,,39.5656553,-120.6349282,,,n_12222735721,shop=convenience
"Graeagle, CA",,retail,445120,Bassett's Station General Store,"100 Gold Lake Highway, Sierra City, CA, 96125",+1-530-862-1297,https://bassettsstation.com/store/,39.6176337,-120.591611,,,w_168647521,shop=convenience
"Graeagle, CA",,retail,445110,Safeway,"20 East Main Street, Quincy, CA, 95971",+1 530-283-1404,https://local.safeway.com/safeway/ca/quincy/20-e-main-st.html,39.9367812,-120.9376261,,,w_240337940,"shop=supermarket, brand=Safeway"
"Graeagle, CA",,retail,445110,Leonard's Grocery,"Loyalton, CA, 96118",,,39.6754895,-120.242079,,,w_265614925,shop=supermarket
"Graeagle, CA",,retail,446191,Feather River Foods,,,,39.9369508,-120.9435549,,,w_451280770,shop=health_food
"Graeagle, CA",,retail,452319,Graeagle Store,CA,,,39.7661421,-120.6183788,,,w_499397802,shop=general
"Graeagle, CA",,retail,452319,Dollar General,"543 West Sierra Avenue, Portola, CA, 96122",,https://www.dollargeneral.com/store-directory/ca/portola/16097,39.8079325,-120.4756948,,,w_1052260897,"shop=variety_store, brand=Dollar General"
"Graeagle, CA",,retail,445110,Leonard's,,,,39.810508,-120.4706336,,,w_1052260902,shop=supermarket
"Graeagle, CA",,retail,445110,,,,,39.8106089,-120.4679305,,,w_1052260904,shop=supermarket
"Graeagle, CA",,retail,445110,Sav Mor,,,,39.9347376,-120.9034621,,,w_1337767701,shop=supermarket
"Graeagle, CA",,retail,452319,Dollar General,,,,39.9346519,-120.9042,,,w_1337767706,"shop=variety_store, brand=Dollar General"
"Graeagle, CA",,retail,445110,Grocery Outlet,,,,39.9353168,-120.9089066,,,w_1337767710,"shop=supermarket, brand=Grocery Outlet"
"Graeagle, CA",,retail,453991,,,,,39.9369749,-120.9478179,,,w_1337780831,shop=tobacco
"Graeagle, CA",,retail,445310,Drunk Brush,,,,39.9364034,-120.9471306,,,w_1338091337,shop=wine
"Graeagle, CA",,retail,445292,Carey Candy Co. & Bell Lane Backed Goods Brew,,,,39.9374605,-120.9478195,,,w_1338091339,shop=confectionery
"Graeagle, CA",,retail,452319,Little-Lots General Merchandise,,,,39.9337579,-120.9022567,,,w_1339598043,shop=general
"Graeagle, CA",,retail,446120,1st and Main Salon,,,,39.9337087,-120.8986716,,,w_1340641776,shop=beauty
"Graeagle, CA",,retail,446120,Pineapple Tanning Salon,,,,39.933626,-120.8948247,,,w_1340641787,shop=beauty
"Graeagle, CA",,retail,445210,George's Custom Meats,,,,39.9430179,-120.8762412,,,w_1340649711,shop=butcher
