Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Grover Beach, CA",,retail,453110,Wilder Floral Co.,"1349 Chorro Street, San Luis Obispo",,,35.277594,-120.660942,,,n_581332523,shop=florist
"Grover Beach, CA",,retail,445110,Trader Joe's,"1303 South Bradley Road, Santa Maria, CA, 93454",+1 805-925-1657,https://www.traderjoes.com/,34.9380455,-120.4209,,,n_630347870,"shop=supermarket, brand=Trader Joe's"
"Grover Beach, CA",,retail,445120,Slo Asian Market,1255 Monterey Street,+1-805-544-8599,,35.2839549,-120.6571498,,,n_662579499,shop=convenience
"Grover Beach, CA",,retail,445120,Village Market,,,,35.3069008,-120.6590916,,,n_993419753,shop=convenience
"Grover Beach, CA",,retail,445120,7-Eleven,"552 California Boulevard, San Luis Obispo, CA, 93405-1905",+1 805-541-0260,https://www.7-eleven.com/locations/ca/san-luis-obispo/552-california-blvd-25115,35.2913913,-120.660305,,,n_994248733,"shop=convenience, brand=7-Eleven"
"Grover Beach, CA",,retail,445310,Orcutt Liquor & Deli,,,,34.8653103,-120.446983,,,n_1193620589,shop=alcohol
"Grover Beach, CA",,retail,445110,Old Town Market,,,https://www.oldtownmarket.net/,34.8653609,-120.4431452,,,n_1193620593,shop=supermarket
"Grover Beach, CA",,retail,445110,Ralphs,"1240 Los Osos Valley Road, Los Osos, CA, 93402",+1 805-528-0244,https://www.ralphs.com/stores/grocery/ca/los-osos/los-osos/703/00271,35.3112768,-120.826836,,,n_1274889705,"shop=supermarket, brand=Ralphs"
"Grover Beach, CA",,retail,445110,Albertsons,"1120 East Clark Avenue, Orcutt, CA, 93455",+1 805-934-4472,https://local.albertsons.com/ca/orcutt/1120-e-clark-ave.html,34.8635741,-120.41729,,,n_1296806026,"shop=supermarket, brand=Albertsons"
"Grover Beach, CA",,retail,445120,7-Eleven,"4975 South Bradley Road, Santa Maria, CA, 93455-5047",+1 805-937-3355,https://www.7-eleven.com/locations/ca/santa-maria/4975-s-bradley-rd-13873,34.8655654,-120.4193289,,,n_1296875498,"shop=convenience, brand=7-Eleven"
"Grover Beach, CA",,retail,445110,Spencer's Fresh Markets,,,www.spencersfreshmarkets.com,34.8952856,-120.4358303,,,n_1296875507,shop=supermarket
"Grover Beach, CA",,retail,445120,Baywood Market,,,,35.3283691,-120.8412023,,,n_1711798084,shop=convenience
"Grover Beach, CA",,retail,445110,Foods Co,"1465 South Broadway, 93454",,https://www.foodsco.net/,34.93507,-120.437607,,,n_1773956672,"shop=supermarket, brand=Foods Co"
"Grover Beach, CA",,retail,445110,FoodMaxx,"2440 South Broadway, 93454",,https://www.foodmaxx.com/,34.9152589,-120.434285,,,n_1773962721,"shop=supermarket, brand=FoodMaxx"
"Grover Beach, CA",,retail,445110,FoodMaxx,"1870 North Broadway, 93454",,https://www.foodmaxx.com/,34.9744208,-120.4339279,,,n_1773963248,"shop=supermarket, brand=FoodMaxx"
