Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Hartley, CA",,retail,445110,Nugget Markets,"409 Mace Boulevard, Davis, CA, 95618",+1 530-753-6690,https://www.nuggetmarket.com/locations/mace-davis/,38.5501266,-121.6960082,,,n_597045822,shop=supermarket
"Hartley, CA",,retail,445110,Westlake IGA Market,,,,38.5545359,-121.7870207,,,n_711012114,shop=supermarket
"Hartley, CA",,retail,445120,Snug Harbor Bait & Groceries,,,,38.1993289,-121.6134957,,,n_761305299,shop=convenience
"Hartley, CA",,retail,445110,Bel Air Supermarket,"7465 Rush River Drive, Sacramento, CA, 95831",,,38.4866182,-121.5351981,,,n_761843487,shop=supermarket
"Hartley, CA",,retail,445110,Nugget Markets,"1040 Florin Road, Sacramento, CA, 95831",916-395-2875,https://www.nuggetmarket.com/locations/florin-sacramento/,38.4946211,-121.5211208,,,n_761845564,shop=supermarket
"Hartley, CA",,retail,446110,Rite Aid,,,,38.4936932,-121.522638,,,n_761845565,"shop=chemist, amenity=pharmacy, brand=Rite Aid"
"Hartley, CA",,retail,445110,Trader Joe's,"885 Russell Boulevard, Davis, CA, 95616",+1 530-757-2693,https://www.traderjoes.com/,38.5467537,-121.7614973,,,n_1052335476,"shop=supermarket, brand=Trader Joe's"
"Hartley, CA",,retail,445110,Whole Foods Market,"3682 Bel Aire Plaza, Napa, CA, 94558",+1 707-224-6300,https://www.wholefoodsmarket.com/stores/napa,38.3232512,-122.3063419,,,n_1347464430,"shop=supermarket, brand=Whole Foods Market"
"Hartley, CA",,retail,445110,Trader Joe's,"3654 Bel Aire Plaza, Napa, CA, 94558",+1 707-256-0806,https://locations.traderjoes.com/ca/napa/128/,38.3227883,-122.3059235,,,n_1347464433,"shop=supermarket, brand=Trader Joe's"
"Hartley, CA",,retail,446120,Bath & Body Works,,,,38.5414333,-121.741526,,,n_1941881548,"shop=cosmetics, brand=Bath & Body Works"
"Hartley, CA",,retail,445110,Lira's Supermarket,,,,38.1601325,-121.6946965,,,n_1974530827,shop=supermarket
"Hartley, CA",,retail,445110,Bel Air,,,,38.4965543,-121.509933,,,n_2085502813,"shop=supermarket, brand=Bel Air"
"Hartley, CA",,retail,445120,ampm,"1391 Florin Road, Sacramento, CA, 95822",,,38.4960765,-121.5036694,,,n_2092439950,"shop=convenience, brand=ampm"
