Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Homestead Valley, CA",,retail,445110,Stater Bros.,"58060 29 Palms Highway, Yucca Valley, CA, 92284",+1 760-365-9877,https://www.staterbros.com/stores/96,34.1211978,-116.4184287,,,n_1105779359,"shop=supermarket, brand=Stater Bros."
"Homestead Valley, CA",,retail,445110,Stater Bros.,"71727 29 Palms Highway, Twentynine Palms, CA, 92277",+1 760-367-6535,https://www.staterbros.com/stores/105,34.134271,-116.0971482,,,n_1575113770,"shop=supermarket, brand=Stater Bros."
"Homestead Valley, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/twentynine-palms/4043/,34.1342708,-116.0965527,,,n_1575113787,"shop=variety_store, brand=Dollar Tree"
"Homestead Valley, CA",,retail,445120,Historic Plaza Liquor Store,,,,34.151034,-116.0551118,,,n_1575165463,shop=convenience
"Homestead Valley, CA",,retail,445120,Country Market Liquor,,,,34.0765263,-116.5419715,,,n_3269938341,shop=convenience
"Homestead Valley, CA",,retail,445120,7-Eleven,"55277 29 Palms Highway, Yucca Valley, CA, 92284",+1 760-365-4441,https://www.7-eleven.com/locations/ca/yucca-valley/55277-twenty-nine-palms-21036,34.115878,-116.458194,,,n_3269942265,"shop=convenience, brand=7-Eleven"
"Homestead Valley, CA",,retail,445120,Starr Market & Liquor,,,,34.1233898,-116.4115652,,,n_3269947886,shop=convenience
"Homestead Valley, CA",,retail,445120,Sam's Market & Liquor,,,,34.1351877,-116.3243271,,,n_3269955588,shop=convenience
"Homestead Valley, CA",,retail,445120,Circle K,,,,34.1353424,-116.3126398,,,n_3316151462,"shop=convenience, brand=Circle K"
"Homestead Valley, CA",,retail,445110,JT Trading Post,,(760) 366-8111,,34.1352165,-116.3168797,,,n_3316151465,shop=supermarket
"Homestead Valley, CA",,retail,452210,Big Lots,"56865 29 Palms Highway, Yucca Valley, CA, 92284",+1 760-365-1459,https://local.biglots.com/ca/yucca-valley/56865-29-palms-hwy,34.1193137,-116.423731,,,n_4042851382,"shop=department_store, brand=Big Lots"
"Homestead Valley, CA",,retail,445120,MCX C&E Marine Mart,,,,34.2431345,-116.0618069,,,n_5063290839,shop=convenience
"Homestead Valley, CA",,retail,453110,Cactus Flower Florist,,,,34.1248108,-116.4115916,,,n_5243676321,shop=florist
"Homestead Valley, CA",,retail,446120,Echo Nails,,,,34.1353584,-116.0568842,,,n_8867552767,shop=beauty
"Homestead Valley, CA",,retail,446120,Boardwardwalk,,,,34.1353876,-116.0579571,,,n_8867552804,shop=beauty
"Homestead Valley, CA",,retail,452319,Dollar General,"62088 29 Palms Highway, Joshua Tree, CA, 92252",,https://www.dollargeneral.com/store-directory/ca/joshua-tree/13149,34.1355528,-116.3091387,,,n_8923320482,"shop=variety_store, brand=Dollar General"
"Homestead Valley, CA",,retail,445120,Camp Wilson MCX,,,,34.3007432,-116.1467759,,,n_9122446013,shop=convenience
