Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Idyllwild-Pine Cove, CA",,retail,445110,Bristol Markets,,,,33.7569289,-116.3891806,,,n_592813801,shop=supermarket
"Idyllwild-Pine Cove, CA",,retail,445110,Albertsons,"42095 Washington Street, Palm Desert, CA, 92211",+1 760-360-6322,https://local.albertsons.com/ca/palm-desert/42095-washington-st.html,33.7426752,-116.3054403,,,n_595759505,"shop=supermarket, brand=Albertsons"
"Idyllwild-Pine Cove, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/palm-desert/2022/,33.7417027,-116.3054725,,,n_595759518,"shop=variety_store, brand=Dollar Tree"
"Idyllwild-Pine Cove, CA",,retail,452210,Macy's,,,https://www.macys.com/stores/ca/palmdesert/shops-at-palm-desert_534.html,33.7236526,-116.3971011,,,n_604970583,"shop=department_store, brand=Macy's"
"Idyllwild-Pine Cove, CA",,retail,452210,JCPenney,,,,33.7236571,-116.3928042,,,n_604970584,"shop=department_store, brand=JCPenney, operator=jcpenny"
"Idyllwild-Pine Cove, CA",,retail,445110,Trader Joe's,"44250 Town Center Way, Palm Desert, CA, 92260",+1 760-340-2291,https://locations.traderjoes.com/ca/palm-desert/3/,33.7274855,-116.3965765,,,n_663001961,"shop=supermarket, brand=Trader Joe's"
"Idyllwild-Pine Cove, CA",,retail,445310,South Coast Winery,,+1 951 587 9463,,33.5338835,-117.0538491,,,n_1004965572,shop=wine
"Idyllwild-Pine Cove, CA",,retail,445120,Circle K,,,https://www.circlek.com/store-locator/US/cabazon/300-n-fern-st/2655155,33.9181487,-116.7799181,,,n_1185824726,"shop=convenience, brand=Circle K"
"Idyllwild-Pine Cove, CA",,retail,445120,Main Country Liquor Deli,"50386 Main Street, Cabazon, CA, 92230",,,33.9170006,-116.7826654,,,n_1190949946,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445120,,,,,33.8501181,-116.8520313,,,n_1201313390,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445120,Pine Cove Gas & Market,,,,33.7585781,-116.7391586,,,n_1203012803,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445230,Winchester Farms Marketplace,"27400 Winchester Road, Winchester, CA, 92596",,,33.7224762,-117.0757872,,,n_1264853120,shop=greengrocer
"Idyllwild-Pine Cove, CA",,retail,445110,Winchester Ranch Market,,,,33.7095918,-117.0846125,,,n_1264853258,shop=grocery
"Idyllwild-Pine Cove, CA",,retail,445310,Winchester Store,,,,33.7069724,-117.0851795,,,n_1264853759,shop=alcohol
"Idyllwild-Pine Cove, CA",,retail,445310,Ponte Family Estate,,,,33.5366424,-117.05034,,,n_1288908178,shop=wine
"Idyllwild-Pine Cove, CA",,retail,445110,Stater Bros.,"78630 California 111, La Quinta, CA, 92253",+1 760-564-5388,https://www.staterbros.com/stores/128,33.7155469,-116.293035,,,n_1455156391,"shop=supermarket, brand=Stater Bros."
"Idyllwild-Pine Cove, CA",,retail,445120,ampm,,,,33.7165006,-116.294204,,,n_1636171763,"shop=convenience, brand=ampm"
"Idyllwild-Pine Cove, CA",,retail,445120,Circle K,,,,33.716727,-116.297099,,,n_1750227776,"shop=convenience, brand=Circle K"
"Idyllwild-Pine Cove, CA",,retail,445120,Larry's Deli,,,,33.8556692,-116.5553594,,,n_1959564382,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445310,Larry's Deli,"2781 Palm Canyon Drive, Palm Springs, CA, 92262",,,33.8556648,-116.5553272,,,n_1959564383,shop=alcohol
"Idyllwild-Pine Cove, CA",,retail,452210,Sears,,,,33.7229618,-116.3938631,,,n_1976083772,"shop=department_store, brand=Sears"
"Idyllwild-Pine Cove, CA",,retail,445110,Nature's Health Food and Cafe,"555 South Sunrise Way, Palm Springs, 92264",,http://natureshealthfoodcafe.com,33.814211,-116.528506,,,n_2906160315,shop=supermarket
"Idyllwild-Pine Cove, CA",,retail,445110,Harvest Health,,,,33.721817,-116.375602,,,n_2908375701,shop=organic
"Idyllwild-Pine Cove, CA",,retail,445310,Idyll Awhile,"54245 North Circle Drive Unit C-8, Idyllwild, 92549",+1-951-659-9463,http://www.idyllawhilewineshoppebistro.com/,33.7450382,-116.7127351,,,n_2984043746,shop=wine
"Idyllwild-Pine Cove, CA",,retail,452210,Big Lots,,,,33.7793236,-116.4573686,,,n_3186044552,"shop=department_store, brand=Big Lots"
"Idyllwild-Pine Cove, CA",,retail,445120,ExtraMile,,,,33.8835361,-116.5013049,,,n_3823729166,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445120,ampm,,,,33.8089315,-116.388988,,,n_3823766578,"shop=convenience, brand=ampm"
"Idyllwild-Pine Cove, CA",,retail,446120,Luv Nails,,,,33.8102086,-116.4848694,,,n_3869713299,shop=beauty
"Idyllwild-Pine Cove, CA",,retail,445110,Fil Am Oriental Mart,,,,33.8011662,-116.4577073,,,n_3926508957,shop=supermarket
"Idyllwild-Pine Cove, CA",,retail,445292,Candy Cupboard,"Idyllwild, CA, 92549",,,33.74542,-116.7137829,,,n_3950850201,shop=confectionery
"Idyllwild-Pine Cove, CA",,retail,445120,,,,,33.7211177,-116.3937472,,,n_4115878941,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,446120,Permanent Makeup By Yen Rist,"72996 El Paseo, Palm Desert, CA, 92260",+1-760-668-1105,http://permanentmakeupbyyenrist.com,33.7209266,-116.391851,,,n_4680030151,shop=beauty
"Idyllwild-Pine Cove, CA",,retail,445310,BevMo!,,,,33.8187746,-116.5471407,,,n_4737116125,"shop=alcohol, brand=BevMo!"
"Idyllwild-Pine Cove, CA",,retail,445292,Palm Springs Fudge,,,,33.8209778,-116.5469921,,,n_4737291101,shop=confectionery
"Idyllwild-Pine Cove, CA",,retail,445292,Acai Oasis,,,,33.8222255,-116.5466341,,,n_4737326491,shop=confectionery
"Idyllwild-Pine Cove, CA",,retail,445110,Walmart Neighborhood Market,"859 West Florida Avenue, Hemet, CA, 92543",+1 951-492-3029,https://www.walmart.com/store/5008-hemet-ca,33.745448,-116.979639,,,n_5315597930,"shop=supermarket, brand=Walmart, operator=Walmart"
"Idyllwild-Pine Cove, CA",,retail,445120,,,,,33.7384002,-117.0771176,,,n_5590079232,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445310,Ponte Vinyard,,,,33.5366189,-117.0502952,,,n_5724065520,shop=wine
"Idyllwild-Pine Cove, CA",,retail,445292,Ice Cream & Shop(pe),"1551 North Palm Canyon Drive, 92262",760 507-4005,https://www.icecreamandshop.com/,33.8443326,-116.5469325,,,n_6136134685,shop=confectionery
"Idyllwild-Pine Cove, CA",,retail,445120,,,,,33.7433415,-117.0321004,,,n_6187413272,shop=convenience
"Idyllwild-Pine Cove, CA",,retail,445120,,,,,33.7867716,-117.0086619,,,n_6187426398,shop=convenience
