Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Joshua Tree, CA",,retail,445110,Stater Bros.,"58060 29 Palms Highway, Yucca Valley, CA, 92284",+1 760-365-9877,https://www.staterbros.com/stores/96,34.1211978,-116.4184287,,,n_1105779359,"shop=supermarket, brand=Stater Bros."
"Joshua Tree, CA",,retail,445110,Stater Bros.,"71727 29 Palms Highway, Twentynine Palms, CA, 92277",+1 760-367-6535,https://www.staterbros.com/stores/105,34.134271,-116.0971482,,,n_1575113770,"shop=supermarket, brand=Stater Bros."
"Joshua Tree, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/twentynine-palms/4043/,34.1342708,-116.0965527,,,n_1575113787,"shop=variety_store, brand=Dollar Tree"
"Joshua Tree, CA",,retail,445120,Historic Plaza Liquor Store,,,,34.151034,-116.0551118,,,n_1575165463,shop=convenience
"Joshua Tree, CA",,retail,445120,Larry's Deli,,,,33.8556692,-116.5553594,,,n_1959564382,shop=convenience
"Joshua Tree, CA",,retail,445310,Larry's Deli,"2781 Palm Canyon Drive, Palm Springs, CA, 92262",,,33.8556648,-116.5553272,,,n_1959564383,shop=alcohol
"Joshua Tree, CA",,retail,445110,Nature's Health Food and Cafe,"555 South Sunrise Way, Palm Springs, 92264",,http://natureshealthfoodcafe.com,33.814211,-116.528506,,,n_2906160315,shop=supermarket
"Joshua Tree, CA",,retail,445120,Country Market Liquor,,,,34.0765263,-116.5419715,,,n_3269938341,shop=convenience
"Joshua Tree, CA",,retail,445120,7-Eleven,"55277 29 Palms Highway, Yucca Valley, CA, 92284",+1 760-365-4441,https://www.7-eleven.com/locations/ca/yucca-valley/55277-twenty-nine-palms-21036,34.115878,-116.458194,,,n_3269942265,"shop=convenience, brand=7-Eleven"
"Joshua Tree, CA",,retail,445120,Starr Market & Liquor,,,,34.1233898,-116.4115652,,,n_3269947886,shop=convenience
"Joshua Tree, CA",,retail,445120,Sam's Market & Liquor,,,,34.1351877,-116.3243271,,,n_3269955588,shop=convenience
"Joshua Tree, CA",,retail,445120,Circle K,,,,34.1353424,-116.3126398,,,n_3316151462,"shop=convenience, brand=Circle K"
"Joshua Tree, CA",,retail,445110,JT Trading Post,,(760) 366-8111,,34.1352165,-116.3168797,,,n_3316151465,shop=supermarket
"Joshua Tree, CA",,retail,445120,ExtraMile,,,,33.8835361,-116.5013049,,,n_3823729166,shop=convenience
"Joshua Tree, CA",,retail,445120,ampm,,,,33.8089315,-116.388988,,,n_3823766578,"shop=convenience, brand=ampm"
"Joshua Tree, CA",,retail,446120,Luv Nails,,,,33.8102086,-116.4848694,,,n_3869713299,shop=beauty
"Joshua Tree, CA",,retail,445110,Fil Am Oriental Mart,,,,33.8011662,-116.4577073,,,n_3926508957,shop=supermarket
"Joshua Tree, CA",,retail,452210,Big Lots,"56865 29 Palms Highway, Yucca Valley, CA, 92284",+1 760-365-1459,https://local.biglots.com/ca/yucca-valley/56865-29-palms-hwy,34.1193137,-116.423731,,,n_4042851382,"shop=department_store, brand=Big Lots"
"Joshua Tree, CA",,retail,445310,BevMo!,,,,33.8187746,-116.5471407,,,n_4737116125,"shop=alcohol, brand=BevMo!"
"Joshua Tree, CA",,retail,445292,Palm Springs Fudge,,,,33.8209778,-116.5469921,,,n_4737291101,shop=confectionery
"Joshua Tree, CA",,retail,445292,Acai Oasis,,,,33.8222255,-116.5466341,,,n_4737326491,shop=confectionery
"Joshua Tree, CA",,retail,445120,MCX C&E Marine Mart,,,,34.2431345,-116.0618069,,,n_5063290839,shop=convenience
"Joshua Tree, CA",,retail,453110,Cactus Flower Florist,,,,34.1248108,-116.4115916,,,n_5243676321,shop=florist
"Joshua Tree, CA",,retail,445292,Ice Cream & Shop(pe),"1551 North Palm Canyon Drive, 92262",760 507-4005,https://www.icecreamandshop.com/,33.8443326,-116.5469325,,,n_6136134685,shop=confectionery
"Joshua Tree, CA",,retail,445120,Snack Shop,"1708 North Palm Canyon Drive, 92262",7603258831,http://www.smogcheckmobil.com/smog-location/palm-springs/,33.8452238,-116.5463931,,,n_6745415686,"shop=convenience, operator=Yousef Mobil"
"Joshua Tree, CA",,retail,446120,Elegant Nails,,,,33.7885654,-116.4589443,,,n_6770899373,shop=beauty
"Joshua Tree, CA",,retail,445110,ALDI,"5200 East Ramon Road, Palm Springs, CA, 92264-3613",+1 760-208-1542,https://stores.aldi.us/ca/palm-springs/5200-e-ramon-rd,33.8185477,-116.4928255,,,n_8624120717,"shop=supermarket, brand=ALDI"
"Joshua Tree, CA",,retail,446120,Echo Nails,,,,34.1353584,-116.0568842,,,n_8867552767,shop=beauty
"Joshua Tree, CA",,retail,446120,Boardwardwalk,,,,34.1353876,-116.0579571,,,n_8867552804,shop=beauty
"Joshua Tree, CA",,retail,452319,Dollar General,"62088 29 Palms Highway, Joshua Tree, CA, 92252",,https://www.dollargeneral.com/store-directory/ca/joshua-tree/13149,34.1355528,-116.3091387,,,n_8923320482,"shop=variety_store, brand=Dollar General"
"Joshua Tree, CA",,retail,445120,Camp Wilson MCX,,,,34.3007432,-116.1467759,,,n_9122446013,shop=convenience
"Joshua Tree, CA",,retail,445299,On The Mark,,,,33.8240276,-116.5472752,,,n_9380567900,shop=cheese
"Joshua Tree, CA",,retail,445120,Desert Marketplace,,,,33.8231787,-116.5068545,,,n_9548482783,shop=convenience
"Joshua Tree, CA",,retail,445120,Desert Mart,,,,33.8230474,-116.5064815,,,n_9548482785,shop=convenience
"Joshua Tree, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/yuccavalley/discount-store-390.html,34.1295163,-116.3992666,,,n_10182258895,"shop=variety_store, brand=99 Cents Only Stores"
"Joshua Tree, CA",,retail,445310,Valley Market Liquor,,,,34.1175272,-116.452463,,,n_10200333354,shop=alcohol
"Joshua Tree, CA",,retail,446120,,"57725 29 Palms Highway, Yucca Valley, CA, 92284",+17603690722,,34.1254964,-116.4037138,,,n_10202376445,shop=beauty
"Joshua Tree, CA",,retail,445292,Lolli and Pops,,,,33.8238422,-116.5469724,,,n_10274471480,"shop=confectionery, brand=Lolli and Pops"
"Joshua Tree, CA",,retail,445110,Grocery Outlet,,,,34.1358638,-116.0974441,,,n_10718022191,shop=supermarket
"Joshua Tree, CA",,retail,445310,Monterey Palms Liquor,"72817 Dinah Shore Drive, Rancho Mirage, CA, 92270",760-321-8799,https://montereypalmsliquor.com,33.801532,-116.390898,,,n_10772990328,shop=alcohol
"Joshua Tree, CA",,retail,445110,Clark's Nutrition and Natural Food Market,,,,33.8007309,-116.3901794,,,n_11294527669,shop=grocery
"Joshua Tree, CA",,retail,446120,Savvy Nails & Spa,"555 South Sunrise Way, Palm Springs, CA, 92264",+1-760-318-7868,https://savvynailsspaca.com,33.81434,-116.528778,,,n_11399575843,shop=beauty
"Joshua Tree, CA",,retail,453991,Heavy Clouds Vape & More,,,,34.1344036,-116.0962034,,,n_11511926602,shop=tobacco
"Joshua Tree, CA",,retail,445110,Grocery Outlet,,,,33.9435303,-116.5020666,,,n_11639313854,"shop=supermarket, brand=Grocery Outlet"
"Joshua Tree, CA",,retail,445110,Grocery Outlet,,,,33.8183935,-116.5459576,,,n_11646384974,"shop=supermarket, brand=Grocery Outlet"
"Joshua Tree, CA",,retail,445120,,,,,33.8178502,-116.4034134,,,n_12100196806,shop=convenience
"Joshua Tree, CA",,retail,445120,,,,,33.9031,-116.5461874,,,n_12101462369,shop=convenience
"Joshua Tree, CA",,retail,445110,Stater Bros.,,,,33.7625752,-116.2994237,,,n_12385691158,"shop=supermarket, brand=Stater Bros."
"Joshua Tree, CA",,retail,452319,Dollar General,,,,34.1183453,-116.4530957,,,n_12459786768,"shop=variety_store, brand=Dollar General"
"Joshua Tree, CA",,retail,445310,Palm Springs Liquor,,,,33.8394594,-116.5462305,,,n_12459835865,shop=alcohol
"Joshua Tree, CA",,retail,445110,Grocery Outlet,,,,34.1238793,-116.4165284,,,n_12459846392,"shop=supermarket, brand=Grocery Outlet"
