Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Kenwood, CA",,retail,445310,Scribe,"2300 Napa Road, Sonoma, 95476",,,38.2762673,-122.4153287,,,n_1316301025,shop=wine
"Kenwood, CA",,retail,445110,Whole Foods Market,"3682 Bel Aire Plaza, Napa, CA, 94558",+1 707-224-6300,https://www.wholefoodsmarket.com/stores/napa,38.3232512,-122.3063419,,,n_1347464430,"shop=supermarket, brand=Whole Foods Market"
"Kenwood, CA",,retail,445110,Trader Joe's,"3654 Bel Aire Plaza, Napa, CA, 94558",+1 707-256-0806,https://locations.traderjoes.com/ca/napa/128/,38.3227883,-122.3059235,,,n_1347464433,"shop=supermarket, brand=Trader Joe's"
"Kenwood, CA",,retail,453110,L.V. Flowers,"8295 Old Redwood Highway, Cotati, CA, 94931",+1-707-794-9575,https://shoplvflowers.com,38.3248594,-122.7050636,,,n_1440595756,shop=florist
"Kenwood, CA",,retail,445110,Oliver's Market,"540 East Cotati Avenue, Cotati",,,38.3279016,-122.6983501,,,n_1455515190,shop=supermarket
"Kenwood, CA",,retail,452210,Ross,"Rohnert Park, CA, 94928",+1 707-585-3759,,38.3459738,-122.7063009,,,n_1458396305,"shop=department_store, brand=Ross"
"Kenwood, CA",,retail,445120,,"8492 Gravenstein Hwy, 94931",,,38.3314541,-122.7163478,,,n_1543286975,shop=convenience
"Kenwood, CA",,retail,445110,Raley's,,,,38.2483898,-122.6285402,,,n_1640374730,"shop=supermarket, brand=Raley's"
"Kenwood, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/rohnert-park/1868/,38.3664591,-122.7151501,,,n_1747730491,"shop=variety_store, brand=Dollar Tree"
"Kenwood, CA",,retail,445310,Sebastiani Vineyards and Winery,"389 Fourth Street East, Sonoma, 95476",+1 707 933 3230,,38.293364,-122.449264,,,n_1834642932,shop=alcohol
"Kenwood, CA",,retail,445120,Wagon Wheel Liquors,,,,38.4452133,-122.7390596,,,n_1840518746,shop=convenience
"Kenwood, CA",,retail,445110,Whole Foods Market,"790 De Long Avenue, Novato, CA, 94945",+1 415-878-0455,https://www.wholefoodsmarket.com/stores/novato,38.1058658,-122.566106,,,n_1908427786,"shop=supermarket, brand=Whole Foods Market"
"Kenwood, CA",,retail,446110,CVS Pharmacy,"365 East Washington Street, Petaluma, CA, 94952",,https://www.cvs.com/store-locator/petaluma-ca-pharmacies/365-e-washington-st-petaluma-ca-94952/storeid=9480,38.2386173,-122.6377987,,,n_2059143287,"shop=chemist, amenity=pharmacy, brand=CVS Pharmacy"
"Kenwood, CA",,retail,445120,Food Mart,,,,38.2357321,-122.6217565,,,n_2253307419,shop=convenience
"Kenwood, CA",,retail,445120,Valero Food Shop,,,,38.3318402,-122.7146382,,,n_2253307453,shop=convenience
"Kenwood, CA",,retail,452319,Broadway Market,"Sonoma, 95476",,,38.275435,-122.460743,,,n_2792019738,shop=general
"Kenwood, CA",,retail,445110,Whole Foods Market,"201 West Napa Street, Sonoma, CA, 95476",+1 707-938-8500,https://www.wholefoodsmarket.com/stores/sonoma,38.291356,-122.462555,,,n_2793710092,"shop=supermarket, brand=Whole Foods Market"
"Kenwood, CA",,retail,445230,Watmaugh Strawberry Stand,"Sonoma, 95476",,,38.261237,-122.482478,,,n_2793898368,shop=greengrocer
"Kenwood, CA",,retail,445310,Anaba Winery,Sonoma,,,38.236552,-122.462365,,,n_2793899645,shop=wine
"Kenwood, CA",,retail,445120,Bonneau Market,Sonoma,,,38.235947,-122.461675,,,n_2793899760,shop=convenience
"Kenwood, CA",,retail,445310,Gloria Ferrer ,Sonoma,,,38.223907,-122.471311,,,n_2793900062,"shop=wine, brand=Frexinet"
"Kenwood, CA",,retail,445310,Jacuzzi Family Winery,Sonoma,,,38.214709,-122.45398,,,n_2793907100,shop=wine
"Kenwood, CA",,retail,445310,Viansa Winery,Sonoma,,,38.208406,-122.451795,,,n_2794039180,shop=wine
"Kenwood, CA",,retail,445310,Ram's Gate,,,,38.1741237,-122.4504414,,,n_2794072011,shop=wine
"Kenwood, CA",,retail,445310,Envolve Winery,,+1 (707) 939-5385,http://envolvewinery.com,38.291373,-122.457177,,,n_2795258469,shop=alcohol
"Kenwood, CA",,retail,445310,Sonoma Enoteca,"35 East Napa Street, Sonoma, CA, 95476",+1 (707) 935-1200,http://www.sonoma-enoteca.com/,38.291698,-122.456943,,,n_2795259169,shop=alcohol
"Kenwood, CA",,retail,445310,Nicholson Ranch,Sonoma,,,38.255065,-122.391245,,,n_2795277969,shop=wine
"Kenwood, CA",,retail,445310,Domaine Carneros,,,,38.255478,-122.351414,,,n_2795282869,"shop=wine, brand=Tattinger"
"Kenwood, CA",,retail,445310,Cuvaison ,,,,38.250786,-122.34732,,,n_2795290369,shop=wine
"Kenwood, CA",,retail,445310,Madonna Winery,,,,38.255822,-122.341286,,,n_2795292869,shop=wine
"Kenwood, CA",,retail,445299,Vella Cheese Co.,"315 2nd Street East, Sonoma, 95476",+1 800 848-0505,https://vellacheese.com/,38.2950362,-122.454065,,,n_2795641535,shop=cheese
"Kenwood, CA",,retail,445310,Westwood Winery,"East Napa Street, Sonoma, 95476",+1 707 933-7837,https://westwoodwine.com/,38.2917561,-122.4574483,,,n_2796493911,shop=alcohol
"Kenwood, CA",,retail,445310,Valley of the Moon Winery,Sonoma,,,38.340479,-122.506519,,,n_2797582871,shop=wine
"Kenwood, CA",,retail,445110,Sonoma Market,"Sonoma, 95476",,,38.293324,-122.468686,,,n_2797601769,shop=supermarket
"Kenwood, CA",,retail,445310,Valley Wine Shack,"Sonoma, 95476",,,38.292803,-122.469228,,,n_2797606669,shop=wine
"Kenwood, CA",,retail,445110,Raley's,"Fulton Road, Santa Rosa",,,38.4540842,-122.7713992,,,n_2821699301,"shop=supermarket, brand=Raley's"
"Kenwood, CA",,retail,445230,Saetern Strawberry Field,,,,38.261251,-122.482459,,,n_2823987402,shop=greengrocer
"Kenwood, CA",,retail,445310,Bump Wine Cellars,"Sonoma, 95476",+1 (707) 228-9214,http://bumpwine.com,38.29151,-122.458159,,,n_2827321202,shop=alcohol
"Kenwood, CA",,retail,445310,Moondance Cellars,"Arnold Drive, Glen Ellen",,,38.354191,-122.524229,,,n_2828175601,shop=wine
"Kenwood, CA",,retail,445310,Eric Ross Winery,,,,38.354119,-122.5248,,,n_2828176401,shop=wine
"Kenwood, CA",,retail,446120,Salon Novo,"651 1st Street West, Sonoma, 95476",,https://salonnovo.com/,38.2893674,-122.4596007,,,n_2854385631,shop=beauty
"Kenwood, CA",,retail,445310,Two Amigos Wines,,+1 (707) 799-7146,https://twoamigoswines.com/,38.2916365,-122.4572182,,,n_2854407167,shop=alcohol
"Kenwood, CA",,retail,445299,Epicurean Connection,"122 West Napa Street, Sonoma, 95476",+1 (707) 935-7960,http://theepicureanconnection.com,38.2921805,-122.4595554,,,n_2854410999,shop=cheese
"Kenwood, CA",,retail,445110,Safeway,"389 South McDowell Boulevard, Petaluma, CA, 94954",+1 707-766-9097,https://local.safeway.com/safeway/ca/petaluma/389-s-mcdowell-blvd.html,38.2489174,-122.6219218,,,n_2857441206,"shop=supermarket, brand=Safeway"
"Kenwood, CA",,retail,445310,Hawkes Vineyards and Winery,"383 1st Street West, Sonoma, 95476",+1 (707) 938-7620,https://www.hawkeswine.com/,38.2941916,-122.4587511,,,n_2857481366,shop=alcohol
"Kenwood, CA",,retail,445310,Spann Vineyards Tasting Room,,+1 (707) 933-8343,https://spannvineyards.com/,38.2916927,-122.4565077,,,n_2858533567,shop=alcohol
"Kenwood, CA",,retail,445310,Charles Creek Vineyard Tasting Room & Gallery,"483 1st Street West, Sonoma, 95476",+1 (707) 935-3848,http://charlescreek.com,38.2923805,-122.4590825,,,n_2858610176,shop=alcohol
"Kenwood, CA",,retail,445310,Kamen Estate Wines,,+1 (707) 938-7292,https://kamenwines.com/,38.2916706,-122.4564759,,,n_2858636999,shop=alcohol
"Kenwood, CA",,retail,445310,Bryter Estates,,+1 (707) 501-8757,https://bryter.com/,38.291511,-122.4572582,,,n_2858952947,shop=alcohol
"Kenwood, CA",,retail,445310,Adobe Road Winery,"481 1st Street West, Sonoma, 95476",+1-707-939-9099,https://www.adoberoadwines.com/,38.2925274,-122.4590637,,,n_2859092140,shop=alcohol
"Kenwood, CA",,retail,445310,Highway 12 Winery,"498 1st Street East, Sonoma, 95476",+1 (707) 938-8091,http://www.highway12wines.com/,38.2920058,-122.4564765,,,n_2859120357,shop=alcohol
"Kenwood, CA",,retail,445310,Haywood Estate Winery,,+1 (707) 933-3001,http://haywoodwinery.com,38.2917542,-122.4572489,,,n_2859249324,shop=alcohol
"Kenwood, CA",,retail,445310,MacLaren Tasting Lounge,,+1 (707) 938-7490,https://maclarenwine.com/,38.2913832,-122.4573041,,,n_2859254191,shop=alcohol
"Kenwood, CA",,retail,445310,Bedrock Wine Company,"554 Michael Drive, Sonoma, 95476",+1 (707) 364-8763,https://bedrockwineco.com/,38.3069768,-122.468844,,,n_2859368040,shop=alcohol
"Kenwood, CA",,retail,445310,Wine Country Connect,"1055 Broadway, Sonoma, 95476",+1 (707) 938-8485,https://www.winecountryconnect.com/,38.2820047,-122.4598573,,,n_2860207043,shop=alcohol
"Kenwood, CA",,retail,446120,The Spa at The Lodge Sonoma,"1325 Broadway, Sonoma, 95476",+1 (707) 931-3434,https://www.thespaatthelodge.com,38.2774674,-122.463173,,,n_2875670876,shop=beauty
"Kenwood, CA",,retail,446120,Grapevine Skin Care & Waxing,"461 7th Street West, Sonoma, 95476",+1 (707) 815-8914,,38.2939863,-122.471659,,,n_2875680939,shop=beauty
"Kenwood, CA",,retail,446120,Keri Halasz,"454 West Napa Street, Sonoma, 95476",+1 (707) 225-4683,http://healingartenergy.com,38.2931432,-122.4668807,,,n_2875693224,shop=beauty
"Kenwood, CA",,retail,446120,Amber Rose Advanced Skin Care,"500 West Spain Street, Sonoma, CA, 95476",+1 (707) 246-4397,https://amberroseskincare.com/,38.2941684,-122.468767,,,n_2875698463,shop=beauty
"Kenwood, CA",,retail,446120,Catalina Skin and Body,"535 1st Street West, Sonoma, 95476",+1 (707) 933-3860,http://catalinasspa.com,38.2915968,-122.4593609,,,n_2877161342,shop=beauty
"Kenwood, CA",,retail,446120,Butterfly Kisses Beauty Studio,"21 Patten Street, Sonoma, 95476",+1 (707) 363-4512,http://butterflysonoma.com,38.2898453,-122.4574497,,,n_2877166893,shop=beauty
"Kenwood, CA",,retail,446120,Salon Sabrina,"702 Broadway, Sonoma, 95476",+1 (707) 996-2771,http://www.salonsabrinaonline.com/,38.2881989,-122.4580802,,,n_2877173239,shop=beauty
"Kenwood, CA",,retail,446120,Blush A Day Spa,"561 Broadway, Sonoma, 95476",+1 (707) 935-0116,http://blushspasonoma.com,38.2908195,-122.458676,,,n_2882072920,shop=beauty
"Kenwood, CA",,retail,446120,Sonoma Holistic Spa,"525 3rd Street West, Sonoma, 95476",+1 (415) 717-3106,http://sonomaholisticspa.com,38.29185,-122.4638882,,,n_2882100459,shop=beauty
"Kenwood, CA",,retail,446120,Leticia’s Salon,"21 Patten Street, Sonoma, 95476",+1 (707) 996-1063,,38.2898584,-122.4574984,,,n_2882129068,shop=beauty
"Kenwood, CA",,retail,446120,Personal Image Hair & Skin Care,"563 5th Street West, Sonoma, 95476",,,38.2916416,-122.4687309,,,n_2882359513,shop=beauty
"Kenwood, CA",,retail,446120,CC Beauty Salon,"18615 Sonoma Highway, Sonoma, 95476",+1 (707) 935-8329,http://ccbeautysalon.com,38.3084794,-122.4778248,,,n_2882365404,shop=beauty
"Kenwood, CA",,retail,446120,Body Karma,"19310 Sonoma Highway, Sonoma, 95476",+1 (707) 935-5855,http://www.bodykarma.biz/,38.2980984,-122.4743617,,,n_2882381387,shop=beauty
"Kenwood, CA",,retail,446120,Maxwell Nails Salon,"19205 Sonoma Highway, Sonoma, CA, 95476",+1 (707) 933-3838,https://maxwellnailssalonsonoma.com/,38.2991789,-122.4760752,,,n_2882761560,shop=beauty
"Kenwood, CA",,retail,446120,Nails Pro,"201 West Napa Street, Sonoma, 95476",+1 (707) 939-9753,,38.2921837,-122.4622284,,,n_2882768202,shop=beauty
"Kenwood, CA",,retail,446120,Bianchi Grazia Hair & Makeup Salon,"248 West Napa Street, Sonoma, 95476",+1 (707) 996-6002,http://bianchi-salon.com,38.29255,-122.4621884,,,n_2882775824,shop=beauty
"Kenwood, CA",,retail,446120,S. Cutright Salon,"686 West Napa Street, Sonoma, 95476",+1 (707) 939-1761,,38.293459,-122.4713693,,,n_2882784697,shop=beauty
"Kenwood, CA",,retail,446120,Amma Touch,"19343 Sonoma Highway, Sonoma, 95476",+1 (707) 367-2894,http://ammatouch.abmp.com/,38.2972416,-122.4758956,,,n_2882835687,shop=beauty
"Kenwood, CA",,retail,446120,Sonoma Nails,,,,38.3034775,-122.4756639,,,n_2882933844,shop=beauty
"Kenwood, CA",,retail,446120,Colleens Bodywork,"811 West Napa Street, Sonoma, 95476",+1 (707) 939-9156,http://sonomadeeptissuemassage.com,38.2931669,-122.4734424,,,n_2882938319,shop=beauty
"Kenwood, CA",,retail,446120,Healing Tree of Sonoma,"772 West Napa Street, Sonoma, 95476",+1 (707) 299-9655,http://healingtreeofsonoma.com,38.2936074,-122.4728751,,,n_2882941726,shop=beauty
"Kenwood, CA",,retail,446120,Koko’s Of Sonoma,"678 Broadway, Sonoma, 95476",+1 (707) 933-9004,http://kokosofsonoma.com,38.2887558,-122.4579133,,,n_2882943158,shop=beauty
"Kenwood, CA",,retail,446120,Bohemian Boudoir,"461 7th Street West, Sonoma, 95476",+1 (415) 572-4745,http://thebohemianboudoir.com,38.2940847,-122.4716517,,,n_2882952807,shop=beauty
"Kenwood, CA",,retail,446120,Freedom Therapy Myofascial Release,"19343 Sonoma Highway, Sonoma, 95476",+1 (707) 933-7815,https://www.freedomtherapy.net/default.html,38.2972166,-122.4759366,,,n_2882958804,shop=beauty
"Kenwood, CA",,retail,446120,Beautiful Nails,"539 Broadway, Sonoma, 95476",+1 (707) 996-2417,http://beautifulnailsonoma.wix.com/beautifulnailsonoma,38.2911289,-122.4582544,,,n_2882963133,shop=beauty
"Kenwood, CA",,retail,446120,Happy Nails,"721 West Napa Street, Sonoma, 95476",+1 (707) 939-8262,,38.29315,-122.47216,,,n_2882965522,shop=beauty
"Kenwood, CA",,retail,446120,The Pampered Pout,"678 Broadway, Sonoma, 95476",+1 (707) 938-9396,,38.2887653,-122.4579649,,,n_2882971397,shop=beauty
"Kenwood, CA",,retail,446120,City’s Nails,"808 West Napa Street, Sonoma, 95476",+1 (707) 996-8182,,38.2938137,-122.4732788,,,n_2882993576,shop=beauty
"Kenwood, CA",,retail,446120,Trinity Day Spa,"27 East Napa Street, Sonoma, 95476",+1 (707) 326-2762,http://sonomadayspaandsalon.com,38.2912868,-122.4572351,,,n_2883001509,shop=beauty
"Kenwood, CA",,retail,446120,Sun Seekers,"595 5th Street West, Sonoma, 95476",+1 (707) 996-0317,,38.2913526,-122.4686049,,,n_2883003464,shop=beauty
"Kenwood, CA",,retail,445310,BevMo!,"401 Kenilworth Drive, Petaluma, 94952",+1-707-241-9705,https://bevmo.com/,38.2419672,-122.6233241,,,n_2946858342,"shop=alcohol, brand=BevMo!"
"Kenwood, CA",,retail,445120,7-Eleven,"124 Petaluma Boulevard South, Petaluma, CA, 94952-3033",+1 707-778-3448,https://www.7-eleven.com/locations/ca/petaluma/124-petaluma-blvd-s-18019,38.2323665,-122.6374294,,,n_3121139941,"shop=convenience, brand=7-Eleven"
"Kenwood, CA",,retail,445120,7-Eleven,"1760 Piner Road, Santa Rosa, CA, 95403",+1 707-527-5713,https://www.7-eleven.com/locations/ca/santa-rosa/1760-piner-rd-34334,38.4688321,-122.7435391,,,n_3280806587,"shop=convenience, brand=7-Eleven"
"Kenwood, CA",,retail,445110,Carniceria El Brinquito,"17380 Sonoma Highway, Sonoma, CA, 95476",,,38.3198633,-122.4862731,,,n_3534520165,shop=supermarket
"Kenwood, CA",,retail,445110,Carniceria La Favorita,"17484 Sonoma Highway, Sonoma, CA, 95476",707-938-9607,,38.3186485,-122.4852867,,,n_3534530264,shop=supermarket
"Kenwood, CA",,retail,445310,Materra | Cunat Family Vineyards,,,http://www.materrawines.com/,38.3621152,-122.3111949,,,n_3711387003,shop=wine
"Kenwood, CA",,retail,445110,Nob Hill,"611 Trancas St, Napa, CA, 94558",(707) 224-8583,,38.3241936,-122.2859373,,,n_3715624080,"shop=supermarket, operator=Raley's"
"Kenwood, CA",,retail,445110,Lucky,"1312 Trancas St, Napa, CA, 94558",+1 (707) 255-7767,https://www.luckysupermarkets.com/stores/5055,38.3234529,-122.301783,,,n_3715632816,"shop=supermarket, brand=Lucky"
"Kenwood, CA",,retail,445310,Pax Tasting Room & Winery,,,,38.4038613,-122.8214676,,,n_3896746642,shop=wine
"Kenwood, CA",,retail,445110,Sebastopol Community Market,"6762 #100 Sebastopol Avenue, 95472",+17073966690,https://www.cmnaturalfoods.com/,38.403178,-122.8200165,,,n_3896748305,shop=supermarket
"Kenwood, CA",,retail,445310,Macphail Tasting Lounge,,,,38.4037624,-122.8204355,,,n_3896765617,shop=wine
"Kenwood, CA",,retail,445110,F.E.E.D. Sonoma,,,,38.4033929,-122.8213721,,,n_3896775014,shop=supermarket
"Kenwood, CA",,retail,445310,Spirit Works Distillery,6790 McKinley Street,+1 707-634-4793,https://www.spiritworksdistillery.com/,38.4045567,-122.8218035,,,n_3896784887,shop=alcohol
"Kenwood, CA",,retail,446120,The Soap Cauldron,,,,38.4039774,-122.821238,,,n_3896793727,shop=cosmetics
"Kenwood, CA",,retail,452210,Kohl's,"1363 North McDowell Boulevard, Petaluma, CA, 94954",+1 707-782-9849,https://www.kohls.com/stores/ca/petaluma-760.shtml,38.2721831,-122.6662915,,,n_4067075770,"shop=department_store, brand=Kohl's"
