Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Lake Hughes, CA",,retail,445120,Shell,,,,34.4899972,-118.617656,,,n_984142594,"shop=convenience, amenity=fuel;car_wash, brand=Shell"
"Lake Hughes, CA",,retail,445310,Tupacks Liquor,"2802 East Avenue I, Lancaster, CA, 93535",,,34.7041075,-118.079093,,,n_1747235323,shop=alcohol
"Lake Hughes, CA",,retail,445110,Albertsons,"23850 Copperhill Drive, Valencia, CA, 91354",+1 661-775-0163,https://local.albertsons.com/ca/valencia/23850-copperhill-dr.html,34.4623278,-118.5566385,,,n_1785628879,"shop=supermarket, brand=Albertsons"
"Lake Hughes, CA",,retail,446120,Formosa Rouge Spa and Salon,"10th Street West, Lancaster, 93534",,,34.698689,-118.148416,,,n_1857646918,shop=beauty
"Lake Hughes, CA",,retail,445292,Rocket Fizz Soda Pop & Candy Shop (Newhall Location),"24357 Main St, Newhall, CA, 91321",661 253 3499,,34.3800039,-118.5290957,,,n_1884284926,shop=confectionery
"Lake Hughes, CA",,retail,452210,Kohl's,"19307 Golden Valley Road, Santa Clarita, CA, 91387",+1 661-252-1006,https://www.kohls.com/stores/ca/santaclarita-752.shtml,34.3927664,-118.4685457,,,n_1900632301,"shop=department_store, brand=Kohl's"
"Lake Hughes, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/newhall/4959/,34.3730022,-118.5155604,,,n_1963397177,"shop=variety_store, brand=Dollar Tree"
"Lake Hughes, CA",,retail,445110,99c,,,,34.4194938,-118.5479703,,,n_2019146272,shop=supermarket
"Lake Hughes, CA",,retail,445110,Food 4 Less,"44555 Valley Central Way, Lancaster, 93536",,,34.6905767,-118.17356,,,n_2021525173,"shop=supermarket, brand=Food 4 Less"
"Lake Hughes, CA",,retail,452210,Marshalls,"44500 Valley Central Way, Lancaster, CA, 93536",+1 661 945-8180,,34.691651,-118.171277,,,n_2035836712,"shop=department_store, brand=Marshalls"
"Lake Hughes, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/lancaster/discount-store-70.html,34.6924807,-118.1733719,,,n_2035836725,"shop=variety_store, brand=99 Cents Only Stores"
"Lake Hughes, CA",,retail,445120,ExtraMile,"1860 West Avenue I, Lancaster, CA, 93534",(661) 942-3917,,34.7035528,-118.1654874,,,n_2040290004,"shop=convenience, brand=ExtraMile"
"Lake Hughes, CA",,retail,452210,Macy's,,,https://www.macys.com/stores/ca/santaclarita/valencia-town-center_493.html,34.4152454,-118.5597868,,,n_2052221119,"shop=department_store, brand=Macy's"
"Lake Hughes, CA",,retail,446110,Rite Aid,,,,34.4342615,-118.5311129,,,n_2053600327,"shop=chemist, brand=Rite Aid"
"Lake Hughes, CA",,retail,445120,Tupacks,"2802 East Avenue I, Lancaster, CA, 93535",,,34.7041604,-118.079088,,,n_2135520169,shop=convenience
"Lake Hughes, CA",,retail,445120,Wee Vill Market,,,,34.7744617,-118.4574217,,,n_2773982874,shop=convenience
"Lake Hughes, CA",,retail,445120,Neenach Market,,,,34.7749235,-118.5360026,,,n_2773986041,shop=convenience
"Lake Hughes, CA",,retail,452210,JCPenney,,,,34.4157246,-118.55622,,,n_3367416863,"shop=department_store, brand=JCPenney, operator=jcpenny"
"Lake Hughes, CA",,retail,445292,Cartoon Candy Kitchen,,,,34.4230295,-118.595122,,,n_3667903799,shop=confectionery
"Lake Hughes, CA",,retail,452319,Full Throttle,,,,34.4237845,-118.5959641,,,n_3667903807,shop=variety_store
"Lake Hughes, CA",,retail,452319,Glass Crafts,,,,34.4233286,-118.5963341,,,n_3667903808,shop=variety_store
"Lake Hughes, CA",,retail,452319,Looney Tunes Superstore,,,,34.4231675,-118.5950603,,,n_3667903817,shop=variety_store
"Lake Hughes, CA",,retail,452319,My Furry Friends,,,,34.4248119,-118.5967156,,,n_3667903820,shop=variety_store
"Lake Hughes, CA",,retail,445292,Sierra Treats,,,,34.4244876,-118.5965676,,,n_3667905727,shop=confectionery
"Lake Hughes, CA",,retail,452319,Six Flags Kids,,,,34.4250071,-118.5966738,,,n_3667905728,shop=variety_store
"Lake Hughes, CA",,retail,446120,Blume Salon,"26244 Prima Way, Santa Clarita, CA, 91350",,,34.4158758,-118.516663,,,n_4209995365,shop=beauty
"Lake Hughes, CA",,retail,445120,ExtraMile,,,,34.5587886,-118.0460861,,,n_4367365959,"shop=convenience, brand=ExtraMile"
"Lake Hughes, CA",,retail,446120,Sunny Nail Spa,,,,34.5589011,-118.0464894,,,n_4367365976,shop=beauty
"Lake Hughes, CA",,retail,453110,,,,,34.6898131,-118.1643657,,,n_4377742394,shop=florist
"Lake Hughes, CA",,retail,446110,Walgreens,"28460 Copper Hill Drive, Santa Clarita, CA, 91390",,https://www.walgreens.com/locator/walgreens-28460+haskell+canyon+rd-santa+clarita-ca-91390/id=7556,34.4600453,-118.511248,,,n_4529345093,"shop=chemist, brand=Walgreens"
"Lake Hughes, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/valencia/4042/,34.4210996,-118.5430331,,,n_4667344342,"shop=variety_store, brand=Dollar Tree"
"Lake Hughes, CA",,retail,445110,Food 4 Less,,,,34.4141373,-118.4708132,,,n_4763069443,"shop=supermarket, brand=Food 4 Less"
"Lake Hughes, CA",,retail,452210,Ross,"19242 Soledad Canyon Road, Santa Clarita, CA, 91351",+1 661-424-0137,,34.4141284,-118.4717654,,,n_4763069444,"shop=department_store, brand=Ross"
"Lake Hughes, CA",,retail,445110,Ralphs,"27760 McBean Parkway, Valencia, CA, 91354",+1 661-263-7690,https://www.ralphs.com/stores/grocery/ca/valencia/northpark-village-square/703/00147,34.4457583,-118.5521026,,,n_4768262526,"shop=supermarket, brand=Ralphs"
"Lake Hughes, CA",,retail,452210,Marshalls,25630 The Old Road,,,34.3874889,-118.5709503,,,n_4768562450,"shop=department_store, brand=Marshalls"
