Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Lanare, CA",,retail,445110,Kearney Palms Shopping Mall,,,,36.7313378,-119.801533,,,n_358763951,shop=supermarket
"Lanare, CA",,retail,452319,Botanica Judas Tadeo,,,,36.7348858,-119.791373,,,n_1755119709,shop=variety_store
"Lanare, CA",,retail,452319,Botanica San Judas,,,,36.7343755,-119.7908878,,,n_1755119710,shop=variety_store
"Lanare, CA",,retail,452319,Botanica,,,,36.7355283,-119.792193,,,n_1755119711,shop=variety_store
"Lanare, CA",,retail,445120,Mi Casita Astral,,,,36.7341266,-119.7906211,,,n_1755119713,shop=convenience
"Lanare, CA",,retail,445120,Fallas Discount Store,,,,36.7355522,-119.7917452,,,n_1755119742,shop=convenience
"Lanare, CA",,retail,445120,Fullerton Mini Mart,,,,36.7354286,-119.7920859,,,n_1755119757,shop=convenience
"Lanare, CA",,retail,452319,Goodwill,,,,36.7342194,-119.7907208,,,n_1755119760,shop=variety_store
"Lanare, CA",,retail,445110,El Super,,,,36.7423058,-119.7709994,,,n_1918053663,shop=supermarket
"Lanare, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/fresno/6015-e-kings-canyon-19835,36.7364124,-119.681816,,,n_2277852023,"shop=convenience, brand=7-Eleven"
"Lanare, CA",,retail,445110,Save Mart,,,,36.7368982,-119.696048,,,n_2277852329,"shop=supermarket, brand=Save Mart"
"Lanare, CA",,retail,445120,Kwik Break,,,,36.343122,-119.808871,,,n_2789494036,shop=convenience
"Lanare, CA",,retail,446110,Rite Aid,,,https://www.riteaid.com/locations/ca/kerman/456-s-madera-avenue.html,36.7287496,-120.059809,,,n_2948118479,"shop=chemist, brand=Rite Aid"
"Lanare, CA",,retail,446110,CVS Pharmacy,,,,36.7341773,-120.0592976,,,n_2948121236,"shop=chemist, brand=CVS Pharmacy"
"Lanare, CA",,retail,445310,Rolinda Liquor,,,,36.73573,-119.9615781,,,n_2948126820,shop=alcohol
"Lanare, CA",,retail,445110,Grocery Outlet,"2820 Tulare Street, Fresno, 93721",+1 559 499-1400,https://groceryoutlet.com/,36.7397308,-119.781514,,,n_3146681807,"shop=supermarket, brand=Grocery Outlet, operator=Chris Caillier"
"Lanare, CA",,retail,445110,Mr. G's Country Store,"2259 West Tahoe Street, Caruthers, CA, 93609",,,36.5429603,-119.831597,,,n_3483479949,shop=supermarket
"Lanare, CA",,retail,452319,Army Surplus,,,,36.7508647,-119.7896827,,,n_3545931878,shop=variety_store
"Lanare, CA",,retail,445120,Chase,,,,36.2548007,-120.2507083,,,n_4345138990,shop=convenience
"Lanare, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/fresno/discount-store-204.html,36.7375978,-119.7288828,,,n_4633455257,"shop=variety_store, brand=99 Cents Only Stores"
"Lanare, CA",,retail,445110,WinCo Foods,,,,36.7333331,-119.719699,,,n_4633455258,"shop=supermarket, brand=WinCo Foods"
"Lanare, CA",,retail,445110,Cell Pros,"5211 East Kings Canyon Road, Fresno, CA, 93727",,,36.7362918,-119.7179935,,,n_4664760803,shop=supermarket
"Lanare, CA",,retail,446120,Nails World,"1866 W Lacey Blvd, Hanford, CA, 93230",+1 559-589-1394,https://www.nailsworldca.com/,36.3285173,-119.6763459,,,n_4666764209,shop=beauty
"Lanare, CA",,retail,445292,Kogetsu-Do Confectionery,"920 F Street, 93706",559-237-2670,,36.7298574,-119.7940795,,,n_4962804742,shop=confectionery
