Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Live Oak, CA",,retail,445120,7-Eleven,"1020 Lincoln Road, Yuba City, CA, 95991-6550",+1 530-673-1549,https://www.7-eleven.com/locations/ca/yuba-city/1020-lincoln-rd-14074,39.1123637,-121.6277861,,,n_600301920,"shop=convenience, brand=7-Eleven"
"Live Oak, CA",,retail,445120,,,,,39.1310088,-121.6302674,,,n_601384077,shop=convenience
"Live Oak, CA",,retail,445120,7-Eleven,"468 Bridge Street, Yuba City, CA, 95991-5048",+1 530-674-3324,https://www.7-eleven.com/locations/ca/yuba-city/468-bridge-st-17952,39.1351682,-121.6147398,,,n_601384160,"shop=convenience, brand=7-Eleven"
"Live Oak, CA",,retail,445120,,,,,39.5339309,-121.4552439,,,n_1857394364,shop=convenience
"Live Oak, CA",,retail,445120,Stephens Farmhouse,,,,39.0364166,-121.6351643,,,n_1881622596,shop=convenience
"Live Oak, CA",,retail,445110,WinCo Foods,,,,39.1257715,-121.6367471,,,n_1881634066,"shop=supermarket, brand=WinCo Foods"
"Live Oak, CA",,retail,445120,El Bajio,,,,39.2783858,-121.6610205,,,n_1881696062,shop=convenience
"Live Oak, CA",,retail,445292,Penny Candy Store,,,,39.279208,-121.660993,,,n_1881696083,shop=confectionery
"Live Oak, CA",,retail,445120,Collins Lake Store,"7530 Collins Lake Rd, 95918",,http://www.collinslake.com/,39.3376219,-121.3270709,,,n_1987913190,shop=convenience
"Live Oak, CA",,retail,445230,,,,,39.0260169,-121.4511103,,,n_2383794419,shop=greengrocer
"Live Oak, CA",,retail,445120,Shell,,,,39.1420407,-121.628306,,,n_6600518535,"shop=convenience, brand=Shell"
"Live Oak, CA",,retail,446120,,,,,39.1410478,-121.6340765,,,n_6600566351,shop=beauty
"Live Oak, CA",,retail,446120,,,,,39.1412224,-121.6340699,,,n_6600566353,shop=beauty
"Live Oak, CA",,retail,446120,,,,,39.1409329,-121.632256,,,n_6600566356,shop=beauty
"Live Oak, CA",,retail,446120,VIP Nails Lounge,,,,39.1411643,-121.6316022,,,n_6600566360,shop=beauty
"Live Oak, CA",,retail,445310,,,,,39.1411898,-121.6228974,,,n_6600566379,shop=alcohol
"Live Oak, CA",,retail,445120,ampm,,,,39.1262466,-121.575178,,,n_6601593404,"shop=convenience, brand=ampm"
"Live Oak, CA",,retail,445110,FoodMaxx,,,,39.1223639,-121.5698139,,,n_6601593410,"shop=supermarket, brand=FoodMaxx"
"Live Oak, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/marysville/7011/,39.1245935,-121.568969,,,n_6601593413,"shop=variety_store, brand=Dollar Tree"
"Live Oak, CA",,retail,453991,Cigarette City,,,,39.1009542,-121.5496359,,,n_6601600407,shop=tobacco
"Live Oak, CA",,retail,445120,,,,,39.100535,-121.550937,,,n_6601600409,shop=convenience
"Live Oak, CA",,retail,445120,TS Liquor & Food Mart,,,,39.0999465,-121.5517223,,,n_6601600410,shop=convenience
