Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Livermore, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/livermore-ca-pharmacies/1500-1st-st-livermore-ca-94550/storeid=9678,37.6801778,-121.778198,,,n_194986631,"shop=chemist, amenity=pharmacy, brand=CVS Pharmacy"
"Livermore, CA",,retail,445110,Lucky,,,,37.5675185,-122.0231979,,,n_340151571,"shop=supermarket, brand=Lucky, operator=Lucky"
"Livermore, CA",,retail,445110,Trader Joe's,"635 Coleman Avenue, San Jose, CA, 95110",+1 408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/,37.3410206,-121.909507,,,n_373374203,"shop=supermarket, brand=Trader Joe's"
"Livermore, CA",,retail,445110,Lion Market,"1070 Story Road, San Jose, 95122",,https://lionsupermarket.com/,37.3315271,-121.8538537,,,n_445291449,shop=supermarket
"Livermore, CA",,retail,445120,7-Eleven,"1201 Wildwood Avenue, Sunnyvale, CA, 94089-2701",+1 408-739-5240,https://www.7-eleven.com/locations/ca/sunnyvale/1201-wildwood-ave-16189,37.3921779,-121.99433,,,n_447936226,"shop=convenience, brand=7-Eleven"
"Livermore, CA",,retail,445110,Lucky,"484 North Mathilda Avenue, Sunnyvale, CA, 94085",+1 408-737-1834,https://luckysupermarkets.com/stores/f37f906e-3b46-4968-b952-2aa7992107b3/SUNNYVALE/780/SUNNYVALE,37.388455,-122.0294043,,,n_487082163,"shop=supermarket, brand=Lucky"
"Livermore, CA",,retail,445120,7-Eleven,"1380 Pear Avenue, Mountain View, CA, 94043",+1 650-964-7259,https://www.7-eleven.com/locations/ca/mountain-view/1380-pear-avenue-33660,37.415979,-122.0771488,,,n_529145110,"shop=convenience, brand=7-Eleven"
"Livermore, CA",,retail,445120,7-Eleven,"1408 North 1st Street, San Jose, CA, 95112",+1 408-392-9207,https://www.7-eleven.com/locations/ca/san-jose/1408-n-1st-st-18965,37.362043,-121.9095179,,,n_563312834,"shop=convenience, brand=7-Eleven"
"Livermore, CA",,retail,445110,India Metro Hypermarket,"5130 Mowry Avenue, Fremont, CA",,,37.5335039,-121.9970652,,,n_571853447,shop=supermarket
"Livermore, CA",,retail,445110,Lucky,"32300 Dyer Street, Union City, CA, 94587",,,37.5983937,-122.0690938,,,n_574012863,"shop=supermarket, brand=Lucky"
"Livermore, CA",,retail,445310,Fast Mart,,,,37.5519723,-122.0548741,,,n_746914824,shop=alcohol
