Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Lodi, CA",,retail,445110,Trader Joe's,"6535 Pacific Avenue, Stockton, CA, 95207",+1 209-951-7597,https://locations.traderjoes.com/ca/stockton/76/,38.0091681,-121.3226915,,,n_502635393,"shop=supermarket, brand=Trader Joe's"
"Lodi, CA",,retail,445110,Podesto's,,,,38.0114821,-121.3216023,,,n_502635397,shop=supermarket
"Lodi, CA",,retail,445110,S-MART Foods,,,,38.1140855,-121.2811715,,,n_660946004,shop=supermarket
"Lodi, CA",,retail,445110,Food 4 Less,,,,38.1140053,-121.305743,,,n_660946005,"shop=supermarket, brand=Food 4 Less"
"Lodi, CA",,retail,445120,Snug Harbor Bait & Groceries,,,,38.1993289,-121.6134957,,,n_761305299,shop=convenience
"Lodi, CA",,retail,445110,Nugget Markets,"7101 Elk Grove Boulevard, Elk Grove, CA, 95758",916-226-2626,https://www.nuggetmarket.com/locations/elk-grove/,38.4100083,-121.4200614,,,n_1776777196,shop=supermarket
"Lodi, CA",,retail,452210,Kohl's,"9650 Bruceville Road, Elk Grove, CA, 95757",+1 916-714-6471,https://www.kohls.com/stores/ca/elkgrove-695.shtml,38.4074279,-121.4199611,,,n_1776792738,"shop=department_store, brand=Kohl's"
"Lodi, CA",,retail,445110,Trader Joe's,"9670 Bruceville Road, Elk Grove, CA, 95757",+1 916-686-9980,https://locations.traderjoes.com/ca/elk-grove/190/,38.4065756,-121.4202938,,,n_1776990072,"shop=supermarket, brand=Trader Joe's"
"Lodi, CA",,retail,445110,Save Mart,,,,38.4252352,-121.413422,,,n_1777080652,"shop=supermarket, brand=Save Mart"
"Lodi, CA",,retail,445110,Sprouts Farmers Market,"8211 Laguna Boulevard, Elk Grove, CA, 95758",+1 916-478-9595,https://www.sprouts.com/store/ca/elk-grove/laguna-blvd/,38.4235558,-121.4061363,,,n_1777087009,"shop=supermarket, brand=Sprouts Farmers Market"
"Lodi, CA",,retail,445120,Buena Vista Store,,,,38.2937175,-120.9124482,,,n_1818064852,shop=convenience
"Lodi, CA",,retail,452210,TJ Maxx,,,,38.424106,-121.4019572,,,n_1840685390,"shop=department_store, brand=TJ Maxx"
"Lodi, CA",,retail,445310,BevMo!,,,,38.4236952,-121.4022657,,,n_1840685754,"shop=alcohol, brand=BevMo!"
"Lodi, CA",,retail,445110,One Stop,,,,38.3526631,-120.9360392,,,n_1923884554,shop=supermarket
"Lodi, CA",,retail,445110,Lira's Supermarket,,,,38.1601325,-121.6946965,,,n_1974530827,shop=supermarket
"Lodi, CA",,retail,445120,Cheaper Cigarettes,,,,37.7977301,-121.1999437,,,n_2142093042,shop=convenience
"Lodi, CA",,retail,445120,7-Eleven,"853 East Yosemite, Manteca, CA, 95336-5803",+1 209-823-4310,https://www.7-eleven.com/locations/ca/manteca/853-e-yosemite-21756,37.7978106,-121.205254,,,n_2142093043,"shop=convenience, brand=7-Eleven"
"Lodi, CA",,retail,445310,Yosemite Bottle Shop,"943 Yosemite Avenue, Manteca, CA, 95336",,,37.79787,-121.2040394,,,n_2142093044,shop=alcohol
"Lodi, CA",,retail,445120,Three Palms Grocery,,,,38.0054202,-121.2182039,,,n_2422016317,shop=convenience
"Lodi, CA",,retail,445120,Clements Ranch,,,,38.1857627,-121.0996127,,,n_2422036007,shop=convenience
"Lodi, CA",,retail,445120,Clements Country Market,,,,38.1908729,-121.0868508,,,n_2422037673,shop=convenience
"Lodi, CA",,retail,445110,Clements Ridge Produce,,,,38.1984954,-121.0692126,,,n_2422039224,shop=supermarket
"Lodi, CA",,retail,445120,Mary's Mini Mart,,,,38.2345817,-121.049965,,,n_2422041708,shop=convenience
"Lodi, CA",,retail,445110,Grocery Outlet,"8517 Bond Road, Elk Grove, CA, 95624",+1-916-714-6088,,38.4254082,-121.3876382,,,n_2591789125,"shop=supermarket, brand=Grocery Outlet"
"Lodi, CA",,retail,452210,Burlington,"9175 East Stockton Boulevard, Elk Grove, CA, 95624",+1 916-687-6192,https://stores.burlington.com/ca/elk-grove/760,38.4265041,-121.390931,,,n_2591804832,"shop=department_store, brand=Burlington"
"Lodi, CA",,retail,452210,Ross,"9135 East Stockton Boulevard, Elk Grove, CA, 95624",+1 916-685-3327,,38.4267428,-121.3945605,,,n_2591807840,"shop=department_store, brand=Ross"
"Lodi, CA",,retail,445120,The Grove,,,,37.9804535,-121.311083,,,n_2636064408,shop=convenience
"Lodi, CA",,retail,445110,Sakura Japanese Groceries & Gifts,"4343 Pacific Avenue, Stockton, 95207",(209) 477 3939,,37.9870345,-121.311504,,,n_2674335031,shop=supermarket
"Lodi, CA",,retail,452210,Dillard's,,+1 209-477-1230,https://www.dillards.com/stores/california/weberstown-mall-stockton/0960,37.9935109,-121.3114094,,,n_2675775140,"shop=department_store, brand=Dillard's"
"Lodi, CA",,retail,446120,KJ Nails and Spa,,,,37.987591,-121.311635,,,n_2684512520,shop=beauty
"Lodi, CA",,retail,452210,Macy's,,,https://www.macys.com/stores/ca/stockton/sherwood-place_338.html,37.9979499,-121.3133727,,,n_2686083700,"shop=department_store, brand=Macy's"
"Lodi, CA",,retail,446120,Ulta Beauty,"5410 Pacific Avenue, Stockton, CA, 95207",+1 209-235-1209,https://www.ulta.com/stores/stockton-ca-314,38.0000786,-121.3145646,,,n_2690341499,"shop=beauty, brand=Ulta Beauty"
"Lodi, CA",,retail,452210,Sears,,,,37.995853,-121.3124635,,,n_2690341506,"shop=department_store, brand=Sears"
"Lodi, CA",,retail,452210,JCPenney,,,,37.9949792,-121.310403,,,n_2697114401,"shop=department_store, brand=JCPenney"
"Lodi, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/stockton/1263/,37.9869454,-121.3225685,,,n_2711826822,"shop=variety_store, brand=Dollar Tree"
"Lodi, CA",,retail,446120,USA Nails,,,,37.989284,-121.3223764,,,n_2711826832,shop=beauty
"Lodi, CA",,retail,445110,New Cambodian Market Asian Grocery,,,,37.9899373,-121.3228924,,,n_2711826834,shop=supermarket
"Lodi, CA",,retail,445310,Shop N Go Liquor,,,,37.9897239,-121.3229811,,,n_2711826838,shop=alcohol
