Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Loma Mar, CA",,retail,445110,Lunardi's,,,,37.5945434,-122.3849757,,,n_262936489,shop=supermarket
"Loma Mar, CA",,retail,452210,dd's Discounts,,,,37.3612614,-122.0262864,,,n_266625620,"shop=department_store, brand=dd's Discounts"
"Loma Mar, CA",,retail,445110,India Cash & Carry,"1032 East El Camino Real, Sunnyvale, CA, 94087",,,37.3513957,-122.0056924,,,n_266630158,shop=supermarket
"Loma Mar, CA",,retail,445110,Kumud Groceries,,,,37.3529854,-122.0041823,,,n_266630161,shop=supermarket
"Loma Mar, CA",,retail,445292,Rangoli Sweets,"1584 Halford Avenue, Santa Clara, 95051",,,37.3537997,-121.9996548,,,n_266651418,shop=confectionery
"Loma Mar, CA",,retail,445120,,,,,37.5811296,-122.3492848,,,n_267618168,shop=convenience
"Loma Mar, CA",,retail,445120,Walgreens,"1160 Broadway, Burlingame, CA, 94010",+1-650-347-3026,https://www.walgreens.com/locator/walgreens-1160+broadway-burlingame-ca-94010/id=6655,37.5868207,-122.364388,,,n_276558029,"shop=convenience, amenity=pharmacy, brand=Walgreens"
"Loma Mar, CA",,retail,445110,Lucky,,,,37.5966691,-122.387455,,,n_276563232,"shop=supermarket, brand=Lucky"
"Loma Mar, CA",,retail,445120,Tresidder Marketplace,,,,37.4244304,-122.171109,,,n_281870076,"shop=convenience, operator=Stanford Bookstore"
"Loma Mar, CA",,retail,445120,7-Eleven,"678 Concar Drive, San Mateo, CA, 94402-2622",+1 650-341-0668,https://www.7-eleven.com/locations/ca/san-mateo/678-concar-dr-14317,37.5547005,-122.303105,,,n_297818479,"shop=convenience, brand=7-Eleven"
"Loma Mar, CA",,retail,452210,Ross,"640 Concar Drive, San Mateo, CA, 94402",+1 650-574-7720,,37.5535845,-122.3046329,,,n_297818716,"shop=department_store, brand=Ross"
"Loma Mar, CA",,retail,445110,Nijiya Market,"1956 El Camino Real, San Mateo, CA, 94403",+1 650 2127398,,37.5483584,-122.3111453,,,n_305597766,shop=supermarket
"Loma Mar, CA",,retail,445110,Lucky,"3705 El Camino Real, Santa Clara, 95051",,,37.3539748,-121.998114,,,n_309331540,"shop=supermarket, brand=Lucky"
"Loma Mar, CA",,retail,445110,Andronico’s,"690 Fremont Avenue, Los Altos, CA, 94024",,https://local.andronicos.com/ca/los-altos/690-fremont-ave.html,37.3607935,-122.0968991,,,n_314151916,"shop=supermarket, brand=Andronico’s"
"Loma Mar, CA",,retail,445110,,,,,37.5767243,-122.3189018,,,n_338838902,shop=supermarket
"Loma Mar, CA",,retail,445210,Meat House,701 West Evelyn Avenue,(408) 560-7888,,37.3942457,-122.077527,,,n_343272363,shop=butcher
"Loma Mar, CA",,retail,445110,Sprouts Farmers Market,"111 East El Camino Real, Sunnyvale, CA, 94087",+1 408-702-1172,https://www.sprouts.com/store/ca/sunnyvale/e-el-camino-real/,37.3675387,-122.0302442,,,n_343600298,"shop=supermarket, brand=Sprouts Farmers Market"
"Loma Mar, CA",,retail,452210,Ross,"1030 North Rengstorff Avenue, Mountain View, CA, 94043-1716",+1 650-625-8049,http://rosstores.com,37.4194476,-122.096088,,,n_345476776,"shop=department_store, brand=Ross"
"Loma Mar, CA",,retail,445110,99 Ranch Market,"1350 Grant Road, Mountain View, 94040",,https://www.99ranch.com/store-locator/northern-california/mountain-view.aspx,37.377664,-122.076577,,,n_346427267,"shop=supermarket, brand=99 Ranch Market"
"Loma Mar, CA",,retail,452319,Daiso Japan,"685 Saratoga Avenue, San Jose, CA, 95129",,,37.3146198,-121.9771,,,n_353697111,"shop=variety_store, brand=Daiso, operator=Daiso Japan LLC Saratoga"
"Loma Mar, CA",,retail,445110,Trader Joe's,"1875 South Bascom Avenue, Campbell, CA, 95008",+1 408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2882737,-121.9324361,,,n_357522348,"shop=supermarket, brand=Trader Joe's"
"Loma Mar, CA",,retail,445110,Whole Foods Market,"1690 South Bascom Avenue, Campbell, CA, 95008",+1 408-371-5000,https://www.wholefoodsmarket.com/stores/campbell,37.2929607,-121.930408,,,n_357524353,"shop=supermarket, brand=Whole Foods Market, operator=Eric F. Anderson, Inc."
"Loma Mar, CA",,retail,445110,Nijiya Market,"143 East El Camino Real, Mountain View, 94040",+1 650 6911600,https://www.nijiya.com/,37.3786706,-122.0714464,,,n_357600882,"shop=supermarket, operator=Nijiya Market"
"Loma Mar, CA",,retail,445110,Trader Joe's,"635 Coleman Avenue, San Jose, CA, 95110",+1 408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/,37.3410206,-121.909507,,,n_373374203,"shop=supermarket, brand=Trader Joe's"
"Loma Mar, CA",,retail,445110,Trader Joe's,"765 Broadway, Milbrae, CA, 94030",+1 650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/,37.6038042,-122.395901,,,n_385009952,"shop=supermarket, brand=Trader Joe's"
"Loma Mar, CA",,retail,446110,Walgreens,"615 Broadway, Milbrae, CA, 94030",,https://www.walgreens.com/locator/walgreens-615+broadway-millbrae-ca-94030/id=625,37.6031854,-122.395008,,,n_385010596,"shop=chemist, brand=Walgreens"
"Loma Mar, CA",,retail,445310,BevMo!,,,,37.2927516,-121.9928079,,,n_429186718,"shop=alcohol, brand=BevMo!"
"Loma Mar, CA",,retail,445110,Trader Joe's,"5269 Prospect Road, San Jose, CA, 95129",+1 408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/,37.2930603,-121.9942009,,,n_429187144,"shop=supermarket, brand=Trader Joe's, operator=Trader Joe's"
"Loma Mar, CA",,retail,445110,Tokyo Central,"19750 Stevens Creek Boulevard, Cupertino",,,37.3218846,-122.0185478,,,n_435104547,shop=supermarket
"Loma Mar, CA",,retail,452319,Daiso Japan,"19750 Stevens Creek Boulevard, Cupertino",,,37.3219177,-122.018272,,,n_435104548,"shop=variety_store, brand=Daiso, operator=Daiso"
"Loma Mar, CA",,retail,445120,7-Eleven,"1201 Wildwood Avenue, Sunnyvale, CA, 94089-2701",+1 408-739-5240,https://www.7-eleven.com/locations/ca/sunnyvale/1201-wildwood-ave-16189,37.3921779,-121.99433,,,n_447936226,"shop=convenience, brand=7-Eleven"
"Loma Mar, CA",,retail,445110,Lunardi's,"4650 Meridian Avenue, San Jose, CA, 95124",+1-408-265-9101,https://www.lunardis.com/san-jose-meridian.html,37.2564583,-121.8975834,,,n_461671351,shop=supermarket
"Loma Mar, CA",,retail,446110,CVS Pharmacy,"4550 Meridian Avenue, San Jose, CA, 95124",,https://www.cvs.com/store-locator/san-jose-ca-pharmacies/4550-meridian-ave-san-jose-ca-95124/storeid=9896,37.2571415,-121.898947,,,n_461671353,"shop=chemist, brand=CVS Pharmacy"
"Loma Mar, CA",,retail,445120,Arco,"1405 Branham Lane, San Jose, CA, 95118",,,37.2595709,-121.8907937,,,n_461674848,"shop=convenience, brand=Arco"
"Loma Mar, CA",,retail,445120,,,,,37.2601474,-121.8856417,,,n_461674885,shop=convenience
"Loma Mar, CA",,retail,446120,Elegant nails,,,,37.3527986,-122.0321704,,,n_466092059,shop=beauty
"Loma Mar, CA",,retail,445310,Liquors foodmart,,,,37.3525397,-122.0312104,,,n_466092083,shop=alcohol
"Loma Mar, CA",,retail,446110,CVS Pharmacy,"750 Blossom Hill Road, Los Gatos, CA, 95032",,https://www.cvs.com/store-locator/los-gatos-ca-pharmacies/750-blossom-hill-rd-los-gatos-ca-95032/storeid=9982,37.2343882,-121.961876,,,n_470412020,"shop=chemist, brand=CVS Pharmacy"
"Loma Mar, CA",,retail,445110,Nob Hill,222 Mount Hermon Road,+1 831-438-1611,https://www.raleys.com/stores/nob-hill-foods-mt-hermon-scotts-valley-california/,37.0472454,-122.0271583,,,n_479160301,shop=supermarket
