Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Milpitas, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/livermore-ca-pharmacies/1500-1st-st-livermore-ca-94550/storeid=9678,37.6801778,-121.778198,,,n_194986631,"shop=chemist, amenity=pharmacy, brand=CVS Pharmacy"
"Milpitas, CA",,retail,452210,dd's Discounts,,,,37.3612614,-122.0262864,,,n_266625620,"shop=department_store, brand=dd's Discounts"
"Milpitas, CA",,retail,445110,India Cash & Carry,"1032 East El Camino Real, Sunnyvale, CA, 94087",,,37.3513957,-122.0056924,,,n_266630158,shop=supermarket
"Milpitas, CA",,retail,445110,Kumud Groceries,,,,37.3529854,-122.0041823,,,n_266630161,shop=supermarket
"Milpitas, CA",,retail,445292,Rangoli Sweets,"1584 Halford Avenue, Santa Clara, 95051",,,37.3537997,-121.9996548,,,n_266651418,shop=confectionery
"Milpitas, CA",,retail,445120,Tresidder Marketplace,,,,37.4244304,-122.171109,,,n_281870076,"shop=convenience, operator=Stanford Bookstore"
"Milpitas, CA",,retail,445120,7-Eleven,"678 Concar Drive, San Mateo, CA, 94402-2622",+1 650-341-0668,https://www.7-eleven.com/locations/ca/san-mateo/678-concar-dr-14317,37.5547005,-122.303105,,,n_297818479,"shop=convenience, brand=7-Eleven"
"Milpitas, CA",,retail,452210,Ross,"640 Concar Drive, San Mateo, CA, 94402",+1 650-574-7720,,37.5535845,-122.3046329,,,n_297818716,"shop=department_store, brand=Ross"
"Milpitas, CA",,retail,445110,Nijiya Market,"1956 El Camino Real, San Mateo, CA, 94403",+1 650 2127398,,37.5483584,-122.3111453,,,n_305597766,shop=supermarket
"Milpitas, CA",,retail,445110,Lucky,"3705 El Camino Real, Santa Clara, 95051",,,37.3539748,-121.998114,,,n_309331540,"shop=supermarket, brand=Lucky"
"Milpitas, CA",,retail,445110,Andronico’s,"690 Fremont Avenue, Los Altos, CA, 94024",,https://local.andronicos.com/ca/los-altos/690-fremont-ave.html,37.3607935,-122.0968991,,,n_314151916,"shop=supermarket, brand=Andronico’s"
"Milpitas, CA",,retail,445120,ampm,,,,37.1443375,-121.6649491,,,n_331093436,"shop=convenience, brand=ampm"
"Milpitas, CA",,retail,446120,Sola Salons,"18585 Monterey Road, Morgan Hill, CA, 95037",,https://www.solasalonstudios.com/locations/gateway-center?utm_source=gmb&utm_medium=organic,37.1439894,-121.664419,,,n_331094282,"shop=beauty, operator=Gateway VI Investments - Sola Salon Studios"
"Milpitas, CA",,retail,445110,Lucky,,,,37.5675185,-122.0231979,,,n_340151571,"shop=supermarket, brand=Lucky, operator=Lucky"
"Milpitas, CA",,retail,445210,Meat House,701 West Evelyn Avenue,(408) 560-7888,,37.3942457,-122.077527,,,n_343272363,shop=butcher
"Milpitas, CA",,retail,445110,Sprouts Farmers Market,"111 East El Camino Real, Sunnyvale, CA, 94087",+1 408-702-1172,https://www.sprouts.com/store/ca/sunnyvale/e-el-camino-real/,37.3675387,-122.0302442,,,n_343600298,"shop=supermarket, brand=Sprouts Farmers Market"
"Milpitas, CA",,retail,452210,Ross,"1030 North Rengstorff Avenue, Mountain View, CA, 94043-1716",+1 650-625-8049,http://rosstores.com,37.4194476,-122.096088,,,n_345476776,"shop=department_store, brand=Ross"
"Milpitas, CA",,retail,445110,99 Ranch Market,"1350 Grant Road, Mountain View, 94040",,https://www.99ranch.com/store-locator/northern-california/mountain-view.aspx,37.377664,-122.076577,,,n_346427267,"shop=supermarket, brand=99 Ranch Market"
"Milpitas, CA",,retail,452319,Daiso Japan,"685 Saratoga Avenue, San Jose, CA, 95129",,,37.3146198,-121.9771,,,n_353697111,"shop=variety_store, brand=Daiso, operator=Daiso Japan LLC Saratoga"
"Milpitas, CA",,retail,445110,Trader Joe's,"1875 South Bascom Avenue, Campbell, CA, 95008",+1 408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,37.2882737,-121.9324361,,,n_357522348,"shop=supermarket, brand=Trader Joe's"
"Milpitas, CA",,retail,445110,Whole Foods Market,"1690 South Bascom Avenue, Campbell, CA, 95008",+1 408-371-5000,https://www.wholefoodsmarket.com/stores/campbell,37.2929607,-121.930408,,,n_357524353,"shop=supermarket, brand=Whole Foods Market, operator=Eric F. Anderson, Inc."
"Milpitas, CA",,retail,445110,Nijiya Market,"143 East El Camino Real, Mountain View, 94040",+1 650 6911600,https://www.nijiya.com/,37.3786706,-122.0714464,,,n_357600882,"shop=supermarket, operator=Nijiya Market"
"Milpitas, CA",,retail,445110,Trader Joe's,"635 Coleman Avenue, San Jose, CA, 95110",+1 408-298-9731,https://locations.traderjoes.com/ca/san-jose/212/,37.3410206,-121.909507,,,n_373374203,"shop=supermarket, brand=Trader Joe's"
"Milpitas, CA",,retail,445310,BevMo!,,,,37.2927516,-121.9928079,,,n_429186718,"shop=alcohol, brand=BevMo!"
"Milpitas, CA",,retail,445110,Trader Joe's,"5269 Prospect Road, San Jose, CA, 95129",+1 408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/,37.2930603,-121.9942009,,,n_429187144,"shop=supermarket, brand=Trader Joe's, operator=Trader Joe's"
"Milpitas, CA",,retail,445110,Lucky,"430 Blossom Hill Road, San Jose, CA, 95123",,,37.2501724,-121.829265,,,n_431891127,"shop=supermarket, brand=Lucky"
"Milpitas, CA",,retail,445110,Tokyo Central,"19750 Stevens Creek Boulevard, Cupertino",,,37.3218846,-122.0185478,,,n_435104547,shop=supermarket
"Milpitas, CA",,retail,452319,Daiso Japan,"19750 Stevens Creek Boulevard, Cupertino",,,37.3219177,-122.018272,,,n_435104548,"shop=variety_store, brand=Daiso, operator=Daiso"
"Milpitas, CA",,retail,445110,Lion Market,"1070 Story Road, San Jose, 95122",,https://lionsupermarket.com/,37.3315271,-121.8538537,,,n_445291449,shop=supermarket
"Milpitas, CA",,retail,445120,7-Eleven,"1201 Wildwood Avenue, Sunnyvale, CA, 94089-2701",+1 408-739-5240,https://www.7-eleven.com/locations/ca/sunnyvale/1201-wildwood-ave-16189,37.3921779,-121.99433,,,n_447936226,"shop=convenience, brand=7-Eleven"
"Milpitas, CA",,retail,445110,Lunardi's,"4650 Meridian Avenue, San Jose, CA, 95124",+1-408-265-9101,https://www.lunardis.com/san-jose-meridian.html,37.2564583,-121.8975834,,,n_461671351,shop=supermarket
"Milpitas, CA",,retail,446110,CVS Pharmacy,"4550 Meridian Avenue, San Jose, CA, 95124",,https://www.cvs.com/store-locator/san-jose-ca-pharmacies/4550-meridian-ave-san-jose-ca-95124/storeid=9896,37.2571415,-121.898947,,,n_461671353,"shop=chemist, brand=CVS Pharmacy"
"Milpitas, CA",,retail,445120,Arco,"1405 Branham Lane, San Jose, CA, 95118",,,37.2595709,-121.8907937,,,n_461674848,"shop=convenience, brand=Arco"
"Milpitas, CA",,retail,445120,,,,,37.2601474,-121.8856417,,,n_461674885,shop=convenience
"Milpitas, CA",,retail,446120,Elegant nails,,,,37.3527986,-122.0321704,,,n_466092059,shop=beauty
"Milpitas, CA",,retail,445310,Liquors foodmart,,,,37.3525397,-122.0312104,,,n_466092083,shop=alcohol
"Milpitas, CA",,retail,446110,CVS Pharmacy,"750 Blossom Hill Road, Los Gatos, CA, 95032",,https://www.cvs.com/store-locator/los-gatos-ca-pharmacies/750-blossom-hill-rd-los-gatos-ca-95032/storeid=9982,37.2343882,-121.961876,,,n_470412020,"shop=chemist, brand=CVS Pharmacy"
"Milpitas, CA",,retail,445110,Lucky,"484 North Mathilda Avenue, Sunnyvale, CA, 94085",+1 408-737-1834,https://luckysupermarkets.com/stores/f37f906e-3b46-4968-b952-2aa7992107b3/SUNNYVALE/780/SUNNYVALE,37.388455,-122.0294043,,,n_487082163,"shop=supermarket, brand=Lucky"
"Milpitas, CA",,retail,445110,New India Bazaar,,,,37.3528899,-121.9629999,,,n_487639344,shop=supermarket
"Milpitas, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/sunnyvale/3725/,37.3611931,-122.02624,,,n_488698436,"shop=variety_store, brand=Dollar Tree"
"Milpitas, CA",,retail,452210,Ross,"119 East El Camino Real, Sunnyvale, CA, 94087",+1 408-730-4737,,37.3673385,-122.0292593,,,n_488725308,"shop=department_store, brand=Ross, operator=Ross"
"Milpitas, CA",,retail,445230,Foothill Produce,,,,37.3367787,-122.067631,,,n_519482217,shop=greengrocer
"Milpitas, CA",,retail,445120,7-Eleven,"1380 Pear Avenue, Mountain View, CA, 94043",+1 650-964-7259,https://www.7-eleven.com/locations/ca/mountain-view/1380-pear-avenue-33660,37.415979,-122.0771488,,,n_529145110,"shop=convenience, brand=7-Eleven"
"Milpitas, CA",,retail,446120,Sky Nails,"1059 Crane Street, Menlo Park, CA, 94025",6504620836,,37.4505488,-122.1849348,,,n_559831179,shop=beauty
"Milpitas, CA",,retail,445110,Penzeys Spices,"771 Santa Cruz Avenue, Menlo Park, CA, 94025",,penzeysspices.com,37.4511212,-122.184771,,,n_559833060,shop=grocery
"Milpitas, CA",,retail,445120,Corner Store,,,,37.4388858,-122.1787788,,,n_560469131,shop=convenience
"Milpitas, CA",,retail,445120,7-Eleven,"1408 North 1st Street, San Jose, CA, 95112",+1 408-392-9207,https://www.7-eleven.com/locations/ca/san-jose/1408-n-1st-st-18965,37.362043,-121.9095179,,,n_563312834,"shop=convenience, brand=7-Eleven"
"Milpitas, CA",,retail,445110,Nob Hill Foods,"270 Redwood Shores Parkway, Redwood City, CA, 94065",+1 (650) 654-2106,https://www.raleys.com/stores/nob-hill-foods-redwood-shores-redwood-city-california,37.5232544,-122.2518725,,,n_567010256,"shop=supermarket, operator=Raley's"
"Milpitas, CA",,retail,446110,CVS Pharmacy,"1039 El Camino Real, Redwood City, 94063",(650) 780-9910,https://www.cvs.com/store-locator/redwood-city-ca-pharmacies/1039-el-camino-real-redwood-city-ca-94063/storeid=9329,37.4852762,-122.231299,,,n_567674191,"shop=chemist, brand=CVS Pharmacy"
"Milpitas, CA",,retail,445292,See's Candies,"1027 El Camino Real, Redwood City, 94063",(650) 365-5434,,37.485041,-122.2319737,,,n_568046483,"shop=confectionery, brand=See's Candies"
"Milpitas, CA",,retail,445110,India Metro Hypermarket,"5130 Mowry Avenue, Fremont, CA",,,37.5335039,-121.9970652,,,n_571853447,shop=supermarket
"Milpitas, CA",,retail,445110,Lucky,"32300 Dyer Street, Union City, CA, 94587",,,37.5983937,-122.0690938,,,n_574012863,"shop=supermarket, brand=Lucky"
"Milpitas, CA",,retail,445120,,,,,37.3459552,-121.99428,,,n_599326234,"shop=convenience, operator=7-Eleven"
"Milpitas, CA",,retail,445110,Smart & Final,"2065 El Camino Real, Santa Clara, 95050",,,37.3530306,-121.9611027,,,n_611542090,"shop=supermarket, brand=Smart & Final, operator=Smart and Final"
"Milpitas, CA",,retail,452210,Big Lots,"3735 El Camino Real, Santa Clara, CA, 95051",+1 408-247-0389,https://local.biglots.com/ca/santa-clara/3735-el-camino-real,37.3536299,-121.998654,,,n_622352576,"shop=department_store, brand=Big Lots"
"Milpitas, CA",,retail,445310,Adel's Liquor & Check Cashing,"3737 El Camino Real, Santa Clara, 95051",,,37.3533841,-121.998899,,,n_622788410,shop=alcohol
"Milpitas, CA",,retail,445120,7-Eleven,"21490 McClellan Road, Cupertino, CA, 95014-4052",+1 408-257-9104,https://www.7-eleven.com/locations/ca/cupertino/21490-mcclellan-rd-25717,37.3152206,-122.050103,,,n_663952819,"shop=convenience, brand=7-Eleven"
"Milpitas, CA",,retail,445110,Region Market,,,,37.1288726,-121.6597076,,,n_721776350,shop=supermarket
"Milpitas, CA",,retail,445310,Fast Mart,,,,37.5519723,-122.0548741,,,n_746914824,shop=alcohol
"Milpitas, CA",,retail,445120,Danny's Market,,,,37.3518382,-121.987069,,,n_760778504,shop=convenience
"Milpitas, CA",,retail,445292,See's Candies,,,,37.3520414,-121.9870221,,,n_760778600,"shop=confectionery, brand=See's Candies"
"Milpitas, CA",,retail,445310,Wente Brothers Winery,,,,37.6647944,-121.7261024,,,n_804613613,shop=alcohol
"Milpitas, CA",,retail,445230,Sigona's Farmers Market,,,,37.4426077,-122.1727706,,,n_824605394,shop=greengrocer
"Milpitas, CA",,retail,445110,Lucky,"565 West Capitol Expressway, San Jose, CA, 95136",,,37.2759836,-121.8537896,,,n_922296124,"shop=supermarket, brand=Lucky"
"Milpitas, CA",,retail,445120,Sunol Corners Little Market,,,,37.5930709,-121.8820348,,,n_926022751,shop=convenience
"Milpitas, CA",,retail,445110,Lucky,"Mowry Avenue, Fremont, CA",,,37.5347405,-121.9976697,,,n_984077415,"shop=supermarket, brand=Lucky"
"Milpitas, CA",,retail,446120,Dream Face Beauty Spa,520 Lawrence Expressway,,,37.3827536,-121.9952496,,,n_988281121,shop=beauty
"Milpitas, CA",,retail,445310,World Liquor,"34596 Alvarado-Niles Road, Union City, CA, 94587",,,37.5870856,-122.0191843,,,n_1014217315,shop=beverages
"Milpitas, CA",,retail,446120,Silhouette Salon,"1766 Decoto Road, Union City, CA, 94587",,,37.5881579,-122.0191519,,,n_1014233835,shop=beauty
"Milpitas, CA",,retail,452319,Dollar Tree,"1720 Decoto Road, Union City, CA, 94587",,https://www.dollartree.com/locations/ca/union-city/1233/,37.5886469,-122.0189581,,,n_1014233840,"shop=variety_store, brand=Dollar Tree"
"Milpitas, CA",,retail,446120,Nail Genie,"1714 Decoto Road, Union City, CA, 94587",,,37.5888608,-122.0188658,,,n_1014233844,shop=beauty
"Milpitas, CA",,retail,445310,Liquor Barrel,"2641 Decoto Road, Union City, 94587",,,37.582663,-122.0236638,,,n_1019485696,shop=beverages
"Milpitas, CA",,retail,445110,Roshni Videos and Grocery,"2633 Decoto Road, Union City, CA, 94587",,,37.5827167,-122.0236516,,,n_1019485697,shop=grocery
"Milpitas, CA",,retail,446120,Venus Salon,"2625 Decoto Road, Union City, 94587",,,37.5827826,-122.023637,,,n_1019485698,shop=beauty
