Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Mojave, CA",,retail,445120,Texaco,,,,35.1426802,-118.449464,,,n_956932003,"shop=convenience, amenity=fuel, brand=Texaco"
"Mojave, CA",,retail,445120,Chevron,,,,35.1272922,-118.413633,,,n_957107122,"shop=convenience, amenity=fuel, brand=Chevron"
"Mojave, CA",,retail,445120,,,,,35.1302326,-118.4346717,,,n_957107248,"shop=convenience, amenity=fuel, brand=Stop N Save Gas"
"Mojave, CA",,retail,445120,Chevron,,,,35.1316787,-118.446229,,,n_957107365,"shop=convenience, amenity=fuel, brand=Chevron"
"Mojave, CA",,retail,445120,Love's,,+1 661 823 1484,https://www.loves.com/locations/392,35.1260996,-118.408018,,,n_957482077,"shop=convenience, brand=Love's"
"Mojave, CA",,retail,445120,Mountain Village,,,,35.1323033,-118.452687,,,n_961008565,"shop=convenience, amenity=fuel, brand=Shell"
"Mojave, CA",,retail,445120,Jawbone Canyon Store,,,,35.2958928,-118.006213,,,n_978789049,"shop=convenience, amenity=fuel"
"Mojave, CA",,retail,445310,Tupacks Liquor,"2802 East Avenue I, Lancaster, CA, 93535",,,34.7041075,-118.079093,,,n_1747235323,shop=alcohol
"Mojave, CA",,retail,446120,Formosa Rouge Spa and Salon,"10th Street West, Lancaster, 93534",,,34.698689,-118.148416,,,n_1857646918,shop=beauty
"Mojave, CA",,retail,445110,Food 4 Less,"44555 Valley Central Way, Lancaster, 93536",,,34.6905767,-118.17356,,,n_2021525173,"shop=supermarket, brand=Food 4 Less"
"Mojave, CA",,retail,452210,Marshalls,"44500 Valley Central Way, Lancaster, CA, 93536",+1 661 945-8180,,34.691651,-118.171277,,,n_2035836712,"shop=department_store, brand=Marshalls"
"Mojave, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/lancaster/discount-store-70.html,34.6924807,-118.1733719,,,n_2035836725,"shop=variety_store, brand=99 Cents Only Stores"
"Mojave, CA",,retail,445120,ExtraMile,"1860 West Avenue I, Lancaster, CA, 93534",(661) 942-3917,,34.7035528,-118.1654874,,,n_2040290004,"shop=convenience, brand=ExtraMile"
"Mojave, CA",,retail,445120,Tupacks,"2802 East Avenue I, Lancaster, CA, 93535",,,34.7041604,-118.079088,,,n_2135520169,shop=convenience
"Mojave, CA",,retail,445110,Albertsons,"775 South Tucker Road, Tehachapi, CA, 93561",+1 661-823-7090,https://local.albertsons.com/ca/tehachapi/775-s-tucker-rd.html,35.125645,-118.469385,,,n_2955459533,"shop=supermarket, brand=Albertsons"
"Mojave, CA",,retail,445110,Save Mart,"841 Tucker Road, Tehachapi, CA, 93561",,,35.1227278,-118.468393,,,n_3146557159,"shop=supermarket, brand=Save Mart"
"Mojave, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/tehachapi/2430/,35.1226128,-118.4669952,,,n_3699391918,"shop=variety_store, brand=Dollar Tree"
"Mojave, CA",,retail,452319,Family Dollar,,,,35.0481568,-118.171098,,,n_3977061531,"shop=variety_store, brand=Family Dollar"
"Mojave, CA",,retail,445120,Antiques On The Blvd,"764 West Lancaster Boulevard, Lancaster, CA, 93534",,,34.6974006,-118.1443159,,,n_5310693726,shop=convenience
"Mojave, CA",,retail,446120,Gassy Couture,"706 West Lancaster Boulevard, Lancaster",,,34.6976051,-118.1426404,,,n_5310716329,shop=beauty
"Mojave, CA",,retail,445292,Five Dime,"709 West Lancaster Boulevard, Lancaster, CA, 93534",,,34.6979256,-118.1424963,,,n_5311290027,shop=confectionery
"Mojave, CA",,retail,445110,On the Blvd Market,105 West Lancaster Boulevard,,,34.6980992,-118.1410887,,,n_5311388722,shop=supermarket
"Mojave, CA",,retail,453110,Bags With Roses,"722 West Lancaster Boulevard, Lancaster",,,34.6975985,-118.1427586,,,n_5330419311,shop=florist
"Mojave, CA",,retail,445120,ampm,,,,34.864891,-118.169489,,,n_6176017536,"shop=convenience, brand=ampm"
"Mojave, CA",,retail,445120,AM/PM,,,,35.0580438,-118.1749452,,,n_6772533795,shop=convenience
"Mojave, CA",,retail,445310,,,,,35.1264383,-117.974017,,,n_7578972261,shop=alcohol
"Mojave, CA",,retail,453991,,,,,35.1262889,-117.9740148,,,n_7578972262,shop=tobacco
"Mojave, CA",,retail,453991,,,,,35.1262712,-117.9755382,,,n_7578972264,shop=tobacco
"Mojave, CA",,retail,445120,Cactus Market,"California City Boulevard, California City, CA",,,35.1262728,-118.002212,,,n_7578972276,shop=convenience
"Mojave, CA",,retail,445120,,,,,35.1262321,-117.974937,,,n_7590415683,shop=convenience
"Mojave, CA",,retail,446120,The BLVD Beauty,"711 West Lancaster Boulevard, Lancaster, CA, 93534",,,34.697893,-118.142759,,,n_8987070487,shop=beauty
"Mojave, CA",,retail,446191,Bee Honey,"616 West Lancaster Boulevard, Lancaster, CA, 93534",,,34.6978712,-118.1402056,,,n_8987075146,shop=health_food
"Mojave, CA",,retail,445120,,,,,35.0632806,-118.1766293,,,n_9175586356,shop=convenience
