Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Mono City, CA",,retail,445120,Tuolumne Meadows Store,,,,37.8743563,-119.3568343,,,n_1445875679,shop=convenience
"Mono City, CA",,retail,445120,Mono Market,"51303 Main Street, Lee Vining, CA, 93541",+1-760-647-1010,https://www.monomarketca.com/,37.955568,-119.1189194,,,n_2359487480,shop=convenience
"Mono City, CA",,retail,452319,JLLWC Thrift Store,"90 Granite Avenue, June Lake",,,37.7785063,-119.0805248,,,n_3180225955,shop=variety_store
"Mono City, CA",,retail,445292,Snap N Crackle,,,,38.2556399,-119.2277055,,,n_4215368738,shop=confectionery
"Mono City, CA",,retail,445120,Bridgeport Reservoir General Store,,,,38.280168,-119.2184495,,,n_4215371872,shop=convenience
"Mono City, CA",,retail,446120,Graceful Creations,,,,38.2551356,-119.227617,,,n_4215378537,shop=beauty
"Mono City, CA",,retail,445120,Bridgeport General Store and Deli,"272 Main Street, Bridgeport, CA, 93517",+1-760-932-7224,,38.2560647,-119.2278759,,,n_4726980052,shop=convenience
"Mono City, CA",,retail,445120,,,,,37.9472846,-119.1137534,,,n_9165090260,shop=convenience
"Mono City, CA",,retail,445120,Chevron,"51557 US 395, Lee Vining, CA, 93541",,,37.9587266,-119.1212825,,,w_42149319,"shop=convenience, brand=Chevron"
"Mono City, CA",,retail,445120,June Lake Junction,"40341 395, June Lake",,,37.8126419,-119.0541166,,,w_42151121,"shop=convenience, amenity=cafe"
"Mono City, CA",,retail,445120,Fern Creek Store,4628 Boulder Drive,,,37.7660607,-119.1039045,,,w_42151695,"shop=convenience, operator=Fern Creek Lodge"
"Mono City, CA",,retail,452319,Village Store,,,,38.1491987,-119.3772368,,,w_42153463,shop=general
"Mono City, CA",,retail,445120,Pine Cliff General Store,,,,37.7972291,-119.0760126,,,w_42153815,shop=convenience
"Mono City, CA",,retail,445110,June Lake General Store,"2740 Boulder Drive, June Lake, 93529",,,37.7783128,-119.0758934,,,w_42153865,shop=supermarket
"Mono City, CA",,retail,445120,,"453 Main Street, Bridgeport",,,38.2554109,-119.2318246,,,w_42154909,shop=convenience
"Mono City, CA",,retail,445210,Albert's Meat Market & Deli,Bridgeport,,,38.2562354,-119.2270536,,,w_42155143,shop=butcher
"Mono City, CA",,retail,445120,,"377 Main Street, Bridgeport",,,38.2551665,-119.2302586,,,w_42155441,shop=convenience
"Mono City, CA",,retail,452319,Twin Lakes General Store & Gift Shop,,,,38.1721429,-119.3324756,,,w_421921408,shop=general
