Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Moorpark, CA",,retail,445110,Super A Foods,,,,34.3971162,-118.918849,,,n_348183511,"shop=supermarket, operator=Super A Foods"
"Moorpark, CA",,retail,445110,99 Ranch Market,,,,34.1880845,-118.465299,,,n_375393681,"shop=supermarket, brand=99 Ranch Market"
"Moorpark, CA",,retail,445110,Ralphs,"615 West Channel Islands Boulevard, Port Hueneme, CA, 93041",+1 805-984-2005,https://www.ralphs.com/stores/grocery/ca/port-hueneme/mandalay-village-marketplace/703/00062,34.1770427,-119.2162359,,,n_433110819,"shop=supermarket, brand=Ralphs"
"Moorpark, CA",,retail,446120,Ulta Beauty,,,,34.237197,-119.1792194,,,n_441983636,"shop=cosmetics, brand=Ulta Beauty"
"Moorpark, CA",,retail,452210,TJ Maxx,,,,34.2347172,-119.176818,,,n_441983637,"shop=department_store, brand=TJ Maxx"
"Moorpark, CA",,retail,446120,Euphoria Nails & Spa,,,,34.232491,-119.1751694,,,n_441983660,shop=beauty
"Moorpark, CA",,retail,446120,Bath & Body Works,,,,34.2322566,-119.175168,,,n_441983662,"shop=cosmetics, brand=Bath & Body Works"
"Moorpark, CA",,retail,445120,EasyMart,,,,34.2642795,-119.2706893,,,n_452816020,shop=convenience
"Moorpark, CA",,retail,445120,Woodside Market,,,,34.2106893,-119.0097903,,,n_692114391,shop=convenience
"Moorpark, CA",,retail,445110,,,,,34.226259,-118.9868467,,,n_692175543,shop=supermarket
"Moorpark, CA",,retail,445110,Ralphs,"3963 East Thousand Oaks Boulevard, Westlake Village, CA, 91362",+1 805-496-2469,https://www.ralphs.com/stores/grocery/ca/westlake-village/north-ranch-mall/703/00009,34.1634591,-118.8235355,,,n_775861524,"shop=supermarket, brand=Ralphs"
"Moorpark, CA",,retail,453110,,,,,34.0371463,-118.636257,,,n_867822603,shop=florist
"Moorpark, CA",,retail,445120,Country Liquor,,,,34.0373536,-118.6374864,,,n_880566869,shop=convenience
"Moorpark, CA",,retail,445120,Malibu Ranch Market,,,,34.0171575,-118.819055,,,n_884226019,shop=convenience
"Moorpark, CA",,retail,445120,76,,,https://www.76.com/station/U76-ROSE-N-FIFTH-INC-0000824531/,34.1965346,-119.160276,,,n_897648426,"shop=convenience, amenity=fuel, brand=76"
"Moorpark, CA",,retail,445120,Mobil,,,,34.2224569,-119.157837,,,n_898832805,"shop=convenience, amenity=fuel, brand=Mobil"
"Moorpark, CA",,retail,445120,76,"East Thompson Boulevard, Ventura, CA",,https://www.76.com/station/U76-DBA-KASSRA-INC-0000898649/,34.2733888,-119.266789,,,n_900587735,"shop=convenience, amenity=fuel, brand=76"
"Moorpark, CA",,retail,445120,Kwiki Mart,,,,34.2784952,-119.2872877,,,n_902353384,shop=convenience
"Moorpark, CA",,retail,445120,Valero,,,,34.2785003,-119.294377,,,n_902740201,"shop=convenience, amenity=fuel, brand=Valero"
"Moorpark, CA",,retail,445120,,,,,34.3260566,-119.2900531,,,n_904058042,shop=convenience
"Moorpark, CA",,retail,445120,Shell,,,,34.4899972,-118.617656,,,n_984142594,"shop=convenience, amenity=fuel;car_wash, brand=Shell"
"Moorpark, CA",,retail,445110,Amazon Fresh,"742 East Los Angeles Avenue, Moorpark, 93021",,,34.278026,-118.869817,,,n_1097082683,"shop=supermarket, brand=Amazon Fresh"
