Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Mount Laguna, CA",,retail,445110,Wisteria Candy Cottage,"39961 Old Highway 80, 91905",+1 (619) 766-4453,http://wisteriacandycottage.com,32.668419,-116.288345,,,n_365319500,shop=supermarket
"Mount Laguna, CA",,retail,445110,Alpine Ranch Market,,,,32.8350132,-116.7544712,,,n_365319724,shop=supermarket
"Mount Laguna, CA",,retail,445110,Dons Market,"30250 Highway 78, 92070",+1-760-765-3272,https://www.donsmarketsantaysabel.com/,33.1093752,-116.6749675,,,n_365319834,shop=supermarket
"Mount Laguna, CA",,retail,445120,Chevron,,,,32.8416212,-116.78043,,,n_454079483,"shop=convenience, amenity=fuel, brand=Chevron"
"Mount Laguna, CA",,retail,452319,Dollar Tree,"2754 Alpine Boulevard, Alpine, 91901",,https://www.dollartree.com/locations/ca/alpine/4616/,32.8353947,-116.754246,,,n_596502915,"shop=variety_store, brand=Dollar Tree"
"Mount Laguna, CA",,retail,445120,,,,,32.9792606,-116.4365147,,,n_1298545398,shop=convenience
"Mount Laguna, CA",,retail,445292,Steph's Donuts,,,,32.8380236,-116.7772525,,,n_1445194780,shop=confectionery
"Mount Laguna, CA",,retail,452319,Waldos Dólar Mart,"23 Avienda Benito Juárez, Tecate, 21400",,,32.5722504,-116.638538,,,n_1641492566,"shop=variety_store, operator=Benito Juárez Mz 23, Espinoza, 21400 Tecate, B.C., Mexico"
"Mount Laguna, CA",,retail,445110,Mercado Julissa,Avenida Cuchuma,,,32.5655247,-116.6543475,,,n_1869245175,shop=supermarket
"Mount Laguna, CA",,retail,445230,fruteria selecta,,,,32.562607,-116.6035706,,,n_1901529147,shop=greengrocer
"Mount Laguna, CA",,retail,445310,,,,,32.5623222,-116.6036886,,,n_1903081896,shop=alcohol
"Mount Laguna, CA",,retail,445120,PAI PAI,,,,32.5727699,-116.6395874,,,n_1922473684,shop=convenience
"Mount Laguna, CA",,retail,445120,Banner Store,,,,33.0684606,-116.5474641,,,n_1960764992,shop=convenience
"Mount Laguna, CA",,retail,445110,Mercado Hacienda,,,,32.5658984,-116.6456213,,,n_1982047998,shop=supermarket
"Mount Laguna, CA",,retail,452319,Laguna Mountain Lodge,"10678 Sunrise Highway, Mount Laguna, 91948",,https://www.lagunamountain.com/,32.8671575,-116.4192678,,,n_2519472645,shop=general
"Mount Laguna, CA",,retail,445120,Golden Acorn Travel Center,"1800 Golden Acorn Way, Campo, CA, 91906",,,32.7015694,-116.3547033,,,n_2572521836,shop=convenience
"Mount Laguna, CA",,retail,445110,Calimax,,+52 665 521 2002,,32.5726903,-116.6233633,,,n_3049625684,shop=supermarket
"Mount Laguna, CA",,retail,445120,Tavern Rd Shell,,,,32.8412828,-116.7810812,,,n_3584546934,shop=convenience
"Mount Laguna, CA",,retail,445110,El Florido-Pedregal,"2500 Blvd. Morelos, Tecate, Baja California, 21470",,,32.5736557,-116.6111617,,,n_3767749050,shop=supermarket
"Mount Laguna, CA",,retail,445310,Tecate,,,,32.5678831,-116.6355748,,,n_3767828960,shop=alcohol
"Mount Laguna, CA",,retail,445110,Soriana,,,,32.5672303,-116.6328971,,,n_3768240520,"shop=supermarket, brand=Soriana"
"Mount Laguna, CA",,retail,452210,DAX,,,,32.5671584,-116.6335901,,,n_3768243610,shop=department_store
"Mount Laguna, CA",,retail,452210,Coppel,,,,32.5669892,-116.6340011,,,n_3768243611,"shop=department_store, brand=Coppel"
"Mount Laguna, CA",,retail,445110,Waldos,,,,32.566757,-116.6342439,,,n_3768243612,shop=supermarket
"Mount Laguna, CA",,retail,445110,El Florido-Pedregal,"221 Avenida Nuevo León, Tecate, Baja California, 21640",,,32.5651157,-116.6276919,,,n_3768243615,shop=supermarket
