Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Nice, CA",,retail,445110,Redwood Valley Market,,,,39.2648392,-123.2043748,,,n_290364717,shop=supermarket
"Nice, CA",,retail,445110,Lucky,,,,39.1523364,-123.2015312,,,n_314507874,"shop=supermarket, brand=Lucky"
"Nice, CA",,retail,445120,Quest Mart,,,,39.1595488,-123.2083563,,,n_322989276,shop=convenience
"Nice, CA",,retail,452210,Ross,"550 East Perkins Street, Ukiah, CA, 95482",+1 707-472-0512,,39.1530442,-123.1995403,,,n_2072176804,"shop=department_store, brand=Ross"
"Nice, CA",,retail,445120,Soda Creek General Store,,,,39.420079,-122.9782851,,,n_4392565419,shop=convenience
"Nice, CA",,retail,445120,Talmage Market,,,,39.1333951,-123.1664551,,,n_5127710511,shop=convenience
"Nice, CA",,retail,445210,Contreras Meat Market,,,,39.1328824,-123.1719539,,,n_5127710512,shop=butcher
"Nice, CA",,retail,445110,FoodMaxx,"1235 Airport Park Boulevard, Ukiah, CA, 95482",+1 707-467-9007,https://luckysupermarkets.com/stores/95940da7-d5ec-4d99-9106-648fa9a3786b/UKIAH/473/UKIAH,39.131269,-123.196676,,,n_5912324337,"shop=supermarket, brand=FoodMaxx"
"Nice, CA",,retail,446120,La Belle Nails & Spa,,,,39.1285897,-123.1992199,,,n_5914710047,shop=beauty
"Nice, CA",,retail,446120,1st Nails,,,,39.1530523,-123.2005828,,,n_5918874068,shop=beauty
"Nice, CA",,retail,445110,Grocery Outlet,"14806 Olympic Drive, Clearlake, CA, 95422",+1 707-994-4475,https://www.groceryoutlet.com/circulars/storeid/110,38.9627361,-122.634245,,,n_8931846962,"shop=supermarket, brand=Grocery Outlet"
"Nice, CA",,retail,445120,Speedway,"15010 Lakeshore Drive, Clearlake, CA, 95422",,https://www.speedway.com/locations/CA/Clearlake/15010-LAKESHORE-DR,38.9502683,-122.63108,,,n_8931846969,"shop=convenience, brand=Speedway"
"Nice, CA",,retail,452319,Dollar Tree,"14804 Olympic Drive, Clearlake, CA, 95422",707-461-8017,https://www.dollartree.com/locations/ca/clearlake/4447/,38.9627322,-122.634548,,,n_8931846972,"shop=variety_store, brand=Dollar Tree"
"Nice, CA",,retail,446191,Nature's Own Health Foods,14096-C Lakeshore Drive,,,38.9572433,-122.6479441,,,n_8931846976,shop=health_food
"Nice, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/clearlake-oaks/15401,39.0278591,-122.664596,,,n_9898947132,"shop=variety_store, brand=Dollar General"
"Nice, CA",,retail,445120,,,,,39.0259941,-122.6596318,,,n_9898947158,shop=convenience
"Nice, CA",,retail,445120,Power Market,,,,39.0213812,-122.6747506,,,n_9898947196,shop=convenience
"Nice, CA",,retail,446120,U.S. Nails,,,,39.048143,-122.9247737,,,n_9951744742,shop=beauty
"Nice, CA",,retail,445310,McFaddens's Blue Quail,,,,38.9739767,-123.1157996,,,n_9953320066,shop=alcohol
"Nice, CA",,retail,445310,Graziano Family of Wines,,,,38.9740727,-123.1157633,,,n_9953329126,shop=alcohol
"Nice, CA",,retail,445110,Grocery Outlet,,,,39.0342514,-122.9167417,,,n_10160413197,"shop=supermarket, brand=Grocery Outlet"
"Nice, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/lakeport/1242/,39.0334014,-122.9166076,,,n_10160413198,"shop=variety_store, brand=Dollar Tree"
