Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"North Fork, CA",,retail,446120,Shooting Star Sanctuary,"2272 Highway 49 South, Mariposa, CA, 95338",+1 209 829 9739,http://www.shootingstarsanctuary.com/,37.4505362,-119.7609122,,,n_2479259520,shop=beauty
"North Fork, CA",,retail,445120,Mini-Mart Liquor & Deli,,,,37.332078,-119.6545992,,,n_2926179877,shop=convenience
"North Fork, CA",,retail,445120,EZ Mart,"40135 Highway 41, Oakhurst, CA",,,37.3313773,-119.6544219,,,n_2926186729,shop=convenience
"North Fork, CA",,retail,445120,DJ's Dollar Daze,,,,37.0376926,-119.513003,,,n_2948376474,shop=convenience
"North Fork, CA",,retail,452319,G.I. Jim's Military Surplus,,,,37.0377821,-119.5133041,,,n_2948384514,shop=variety_store
"North Fork, CA",,retail,452319,Cloud's Cutter,,,,37.0376601,-119.5136799,,,n_2948397387,shop=variety_store
"North Fork, CA",,retail,445120,Millerton Country Store,,,,36.9704718,-119.62421,,,n_2948490923,shop=convenience
"North Fork, CA",,retail,445120,Bob's Market,,,,37.1068112,-119.3190463,,,n_3549410919,shop=convenience
"North Fork, CA",,retail,445292,Reimer's Candies and Gifts,"41969 Highway 41, Oakhurst, CA, 93644",+1-559-642-3232,https://www.reimerscandies.com/,37.359317,-119.6442488,,,n_4889009564,shop=confectionery
"North Fork, CA",,retail,445120,,,,,37.357387,-119.60852,,,n_5940951485,shop=convenience
"North Fork, CA",,retail,445110,Grocery Outlet,,,,37.3341395,-119.656658,,,n_6597719928,"shop=supermarket, brand=Grocery Outlet"
"North Fork, CA",,retail,453110,,,,,37.3338531,-119.6488783,,,n_6819116700,shop=florist
"North Fork, CA",,retail,445120,Woodland Gas Food & Liquor,"3441 Woodland Drive, Mariposa, 95338",,,37.4498738,-119.8518622,,,n_7903298277,shop=convenience
"North Fork, CA",,retail,445110,Ponderosa Market,,,,37.0775693,-119.4849116,,,n_11882478816,shop=supermarket
