Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Orick, CA",,retail,445120,Roger's Market,"791 School Road, McKinleyville, CA, 95519",(707) 839-3866,,40.9342246,-124.120388,,,n_2107762096,shop=convenience
"Orick, CA",,retail,445120,Shoreline Market,,,,41.2850753,-124.0734816,,,n_2651685984,shop=convenience
"Orick, CA",,retail,445310,Cask & Flask Liquors,"1523 City Center Road, McKinleyville, CA, 95519",(707) 839-2048,,40.9438505,-124.1027519,,,n_3793533813,shop=alcohol
"Orick, CA",,retail,453991,Thunderbird Intertribal Discount Center,,,,41.064956,-123.6856049,,,n_4270192569,shop=tobacco
"Orick, CA",,retail,445110,Ray's Food Place,,,,41.0630259,-123.68692,,,n_4270192572,"shop=supermarket, brand=Ray's Food Place"
"Orick, CA",,retail,445110,Eureka Natural Foods,"2165 Central Avenue, McKinleyville, 95519",(707) 839-3636,https://www.eurekanaturalfoods.com,40.9448341,-124.0999683,,,n_4987263453,shop=supermarket
"Orick, CA",,retail,445110,Pearson's Grocery,,(530) 625-4173,,41.1846369,-123.705266,,,n_5266338926,shop=supermarket
"Orick, CA",,retail,445120,,,,,41.5784121,-124.0747572,,,n_5869800591,shop=convenience
"Orick, CA",,retail,445110,Grocery Outlet,,,,40.9338587,-124.100402,,,n_9231441153,"shop=supermarket, brand=Grocery Outlet"
"Orick, CA",,retail,445120,,,,,41.5848519,-124.0858623,,,n_12036982476,shop=convenience
"Orick, CA",,retail,446110,Rite Aid,,,,40.9332239,-124.1013168,,,w_64932167,"shop=chemist, amenity=pharmacy, brand=Rite Aid"
"Orick, CA",,retail,445120,Pem-Mey Fuel Mart,"125 Ehlers Avenue, Klamath, CA, 95548",,,41.5310851,-124.0406226,,,w_244978764,shop=convenience
"Orick, CA",,retail,445110,Safeway,"1503 City Center Road, McKinleyville, CA, 95519",+1 707-840-9770,https://local.safeway.com/safeway/ca/mckinleyville/1503-city-ctr-rd.html,40.9436859,-124.1031283,,,w_252695693,"shop=supermarket, brand=Safeway"
"Orick, CA",,retail,445110,Murphy's Market,,,https://www.murphysmarkets.net/,41.0608646,-124.140533,,,w_409186947,shop=supermarket
"Orick, CA",,retail,445310,Moonstone Crossing Winery,,(707) 845-5492,https://www.moonstonecrossing.com/#modern-organic-thai,41.0590004,-124.1426604,,,w_454607144,shop=wine
"Orick, CA",,retail,445120,Aztec Grill,"101 Main Street, Trinidad, CA, 95570",,https://www.yelp.com/biz/aztec-grill-trinidad-5,41.0618713,-124.1406837,,,w_454607254,shop=convenience
"Orick, CA",,retail,445110,Orick Market,"121175 Highway 101, Orick, CA, 95555",,,41.2905031,-124.0575586,,,w_550433802,shop=supermarket
"Orick, CA",,retail,445120,McKinleyville Mini Mart,"2698 Central Avenue, McKinleyville, CA, 95519",(707) 839-2661,https://www.76.com/station/U76-MCKINLEYVILLE-MINI-MART-0000808405?refer=psx_76,40.9544766,-124.1013392,,,w_872148857,shop=convenience
