Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Palmdale, CA",,retail,445120,7-Eleven,"8724 Foothill Boulevard, Sunland, CA, 91040-1923",+1 818-352-8548,https://www.7-eleven.com/locations/ca/sunland/8724-foothill-blvd-25484,34.2599712,-118.323967,,,n_360051491,"shop=convenience, brand=7-Eleven"
"Palmdale, CA",,retail,445120,7-Eleven,"8363 Foothill Boulevard, Sunland-Tujunga, CA, 91040",+1 818-353-0321,https://www.7-eleven.com/locations/ca/sunland/8363-foothill-blvd-20814,34.2601185,-118.3155035,,,n_566387419,"shop=convenience, brand=7-Eleven, operator=7 Eleven"
"Palmdale, CA",,retail,445110,Smart & Final,,,,34.2461924,-118.274765,,,n_1178385450,"shop=supermarket, brand=Smart & Final"
"Palmdale, CA",,retail,445310,Tupacks Liquor,"2802 East Avenue I, Lancaster, CA, 93535",,,34.7041075,-118.079093,,,n_1747235323,shop=alcohol
"Palmdale, CA",,retail,446120,Formosa Rouge Spa and Salon,"10th Street West, Lancaster, 93534",,,34.698689,-118.148416,,,n_1857646918,shop=beauty
"Palmdale, CA",,retail,452210,Kohl's,"19307 Golden Valley Road, Santa Clarita, CA, 91387",+1 661-252-1006,https://www.kohls.com/stores/ca/santaclarita-752.shtml,34.3927664,-118.4685457,,,n_1900632301,"shop=department_store, brand=Kohl's"
"Palmdale, CA",,retail,445110,Food 4 Less,"44555 Valley Central Way, Lancaster, 93536",,,34.6905767,-118.17356,,,n_2021525173,"shop=supermarket, brand=Food 4 Less"
"Palmdale, CA",,retail,452210,Marshalls,"44500 Valley Central Way, Lancaster, CA, 93536",+1 661 945-8180,,34.691651,-118.171277,,,n_2035836712,"shop=department_store, brand=Marshalls"
"Palmdale, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/lancaster/discount-store-70.html,34.6924807,-118.1733719,,,n_2035836725,"shop=variety_store, brand=99 Cents Only Stores"
"Palmdale, CA",,retail,445120,ExtraMile,"1860 West Avenue I, Lancaster, CA, 93534",(661) 942-3917,,34.7035528,-118.1654874,,,n_2040290004,"shop=convenience, brand=ExtraMile"
"Palmdale, CA",,retail,445120,Tupacks,"2802 East Avenue I, Lancaster, CA, 93535",,,34.7041604,-118.079088,,,n_2135520169,shop=convenience
"Palmdale, CA",,retail,445120,Joshua Market,,,,34.5427175,-117.9743011,,,n_2730589380,shop=convenience
"Palmdale, CA",,retail,445120,Wee Vill Market,,,,34.7744617,-118.4574217,,,n_2773982874,shop=convenience
"Palmdale, CA",,retail,446120,Buff & Tweeze,,,,34.237238,-118.2603367,,,n_3761097961,shop=beauty
"Palmdale, CA",,retail,452319,99Cent,,,,34.2459232,-118.2742884,,,n_3762837921,shop=variety_store
"Palmdale, CA",,retail,452319,Dollar Tree,"6540 Foothill Boulevard, CA, 91042",,https://www.dollartree.com/locations/ca/tujunga/4243/,34.2450054,-118.274625,,,n_4312972392,"shop=variety_store, brand=Dollar Tree"
"Palmdale, CA",,retail,445120,ExtraMile,,,,34.5587886,-118.0460861,,,n_4367365959,"shop=convenience, brand=ExtraMile"
"Palmdale, CA",,retail,446120,Sunny Nail Spa,,,,34.5589011,-118.0464894,,,n_4367365976,shop=beauty
"Palmdale, CA",,retail,453110,,,,,34.6898131,-118.1643657,,,n_4377742394,shop=florist
"Palmdale, CA",,retail,446110,Walgreens,"28460 Copper Hill Drive, Santa Clarita, CA, 91390",,https://www.walgreens.com/locator/walgreens-28460+haskell+canyon+rd-santa+clarita-ca-91390/id=7556,34.4600453,-118.511248,,,n_4529345093,"shop=chemist, brand=Walgreens"
"Palmdale, CA",,retail,445110,Food 4 Less,,,,34.4141373,-118.4708132,,,n_4763069443,"shop=supermarket, brand=Food 4 Less"
"Palmdale, CA",,retail,452210,Ross,"19242 Soledad Canyon Road, Santa Clarita, CA, 91351",+1 661-424-0137,,34.4141284,-118.4717654,,,n_4763069444,"shop=department_store, brand=Ross"
"Palmdale, CA",,retail,446120,Ulta Beauty,"39246 10th Street West, Palmdale, CA, 93551",+1 661-274-4307,https://www.ulta.com/stores/palmdale-ca-382,34.596698,-118.1453356,,,n_5300179722,"shop=beauty, brand=Ulta Beauty"
"Palmdale, CA",,retail,445310,City Market II,10th Street West,661-942-2531,,34.676003,-118.1477054,,,n_5305891521,shop=alcohol
