Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Placerville, CA",,retail,445120,,,,,38.6424552,-121.1902117,,,n_1095300030,shop=convenience
"Placerville, CA",,retail,445120,,,,,38.8145908,-120.374097,,,n_1381283849,shop=convenience
"Placerville, CA",,retail,445120,Mother Lode Market,"6421 Mother Lode Drive, 95667-8217",,,38.699976,-120.8498372,,,n_1386707683,shop=convenience
"Placerville, CA",,retail,445310,BevMo!,,,,38.9407089,-121.0933058,,,n_1463751014,"shop=alcohol, brand=BevMo!"
"Placerville, CA",,retail,445110,Sprouts Farmers Market,"2030 Douglas Boulevard, Roseville, CA, 95661",+1 916-462-5047,https://www.sprouts.com/store/ca/roseville/roseville-granite-bay/,38.7429147,-121.2519953,,,n_1515105639,"shop=supermarket, brand=Sprouts Farmers Market"
"Placerville, CA",,retail,446120,Pick A Color,"1850 Douglas Boulevard, Roseville, 95661",,,38.7432724,-121.255742,,,n_1515108949,shop=beauty
"Placerville, CA",,retail,445110,Save Mart,,,,38.9053539,-121.074061,,,n_1572051369,"shop=supermarket, brand=Save Mart"
"Placerville, CA",,retail,445110,Grocery Outlet,"415 Grass Valley Highway, 95603",+15308850250,https://www.groceryoutlet.com,38.9047723,-121.07521,,,n_1583415354,"shop=supermarket, brand=Grocery Outlet"
"Placerville, CA",,retail,446120,Beauty 360,,,,38.904937,-121.073862,,,n_1589091546,shop=beauty
"Placerville, CA",,retail,445310,BevMo!,,,,38.6469299,-121.1157099,,,n_1712260341,"shop=alcohol, brand=BevMo!"
"Placerville, CA",,retail,446120,Ulta Beauty,"2381 Iron Point Road, Folsom, CA, 95630",+1 916-984-7582,https://www.ulta.com/stores/folsom-ca-389,38.6442928,-121.1231895,,,n_1712260345,"shop=beauty, brand=Ulta Beauty"
