Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Princeton, CA",,retail,445120,,,,,39.1600778,-122.1616872,,,n_605018557,shop=convenience
"Princeton, CA",,retail,445120,Bud's ampm Mini-Market,,,,39.5246019,-122.2116589,,,n_1691357808,"shop=convenience, brand=ARCO"
"Princeton, CA",,retail,445120,El Bajio,,,,39.2783858,-121.6610205,,,n_1881696062,shop=convenience
"Princeton, CA",,retail,445292,Penny Candy Store,,,,39.279208,-121.660993,,,n_1881696083,shop=confectionery
"Princeton, CA",,retail,446120,Solutions 3,,,,39.7316693,-121.8398417,,,n_2746822399,shop=beauty
"Princeton, CA",,retail,445120,Williams Liquor & Food,,,,39.1551717,-122.1477321,,,n_6373066044,shop=convenience
"Princeton, CA",,retail,445120,Shell,,,,39.1579823,-122.1397443,,,n_6373069243,"shop=convenience, brand=Shell"
"Princeton, CA",,retail,446120,,"2061 Doctor Martin Luther King Junior Parkway, Chico, CA",,,39.7233483,-121.8086129,,,n_6423796327,shop=beauty
"Princeton, CA",,retail,445110,FoodMaxx,"2051 Doctor Martin Luther King Junior Parkway, Chico, CA",,,39.7236537,-121.8091392,,,n_6423796328,"shop=supermarket, brand=FoodMaxx"
"Princeton, CA",,retail,452210,JCPenney,,,,39.728522,-121.806781,,,n_6479745430,"shop=department_store, brand=JCPenney"
"Princeton, CA",,retail,445110,Grocery Outlet,,,,39.1583255,-122.142947,,,n_7020626415,"shop=supermarket, brand=Grocery Outlet"
"Princeton, CA",,retail,445110,Raley's,,,,39.71658,-121.7930655,,,n_7286566943,"shop=supermarket, brand=Raley's"
"Princeton, CA",,retail,445120,ampm,,,,39.158966,-122.1404844,,,n_7650919361,"shop=convenience, brand=ampm"
"Princeton, CA",,retail,452319,Dollar General,"361 Ruggieri Way, Williams, CA, 95987",,https://www.dollargeneral.com/store-directory/ca/williams/18054,39.1570443,-122.1404545,,,n_8580515200,"shop=variety_store, brand=Dollar General"
"Princeton, CA",,retail,445120,Speedway,"2501 Notre Dame Boulevard, Chico, CA, 95928",,https://www.speedway.com/locations/CA/Chico/2501-Notre-Dame-Blvd,39.714553,-121.7950185,,,n_9191940963,"shop=convenience, brand=Speedway"
"Princeton, CA",,retail,445299,Sierra Nevada Cheese Company,"6530 Country Road 39, Willows, CA",,,39.5843447,-122.1902925,,,n_9962388089,shop=cheese
"Princeton, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/willows/5496/,39.5257487,-122.2112346,,,n_11120045366,"shop=variety_store, brand=Dollar Tree"
"Princeton, CA",,retail,452210,Big Lots,"1927 East 20th Street, Chico, CA, 95928",+1 530-899-8240,https://local.biglots.com/ca/chico/1927-e-20th-st,39.7256788,-121.8048637,,,n_11685860036,"shop=department_store, brand=Big Lots"
"Princeton, CA",,retail,445292,See's Candies,"1947 East 20th Street, Chico, CA, 95928",(530) 891-3384,,39.7269591,-121.803338,,,n_11686760431,"shop=confectionery, brand=See's Candies"
"Princeton, CA",,retail,445110,Grocery Outlet,,,,39.5014164,-121.5630783,,,n_11993169817,"shop=supermarket, brand=Grocery Outlet"
"Princeton, CA",,retail,445110,FoodMaxx,,,,39.5023491,-121.5616269,,,n_11993169818,"shop=supermarket, brand=FoodMaxx"
"Princeton, CA",,retail,445120,ampm,,,,39.4985617,-121.5711502,,,n_11993169823,"shop=convenience, brand=ampm"
"Princeton, CA",,retail,452210,Ross,"355 Oro Dam Boulevard, Oroville, CA, 95965-5713",+1 530-534-1003,,39.4969567,-121.5739409,,,n_11993169824,"shop=department_store, brand=Ross"
"Princeton, CA",,retail,452319,Family Dollar,,,,39.5014126,-121.5728992,,,n_11993169828,"shop=variety_store, brand=Family Dollar"
"Princeton, CA",,retail,445310,Downtown Liquor & Market,"598 East 8th Street, Chico, CA, 95928",+1-530-343-7242,,39.7292158,-121.8318397,,,n_12017175437,shop=alcohol
"Princeton, CA",,retail,445110,Shop N' Save Market,,,,39.1555576,-122.150002,,,n_12081810316,shop=supermarket
"Princeton, CA",,retail,445120,Urban Roots,,,,39.7278764,-121.8448824,,,n_12143173801,shop=convenience
"Princeton, CA",,retail,445110,Asian Market,"347 Nord Avenue, Chico, CA, 95926",+1-530-342-9740,,39.7265378,-121.8525789,,,n_12223937248,shop=grocery
"Princeton, CA",,retail,445120,ABC Market,"715 West 9th Street, Chico, CA, 95928",,,39.7214248,-121.8406777,,,n_12247786101,shop=convenience
"Princeton, CA",,retail,445120,El Toro Loco Carniceria,,,,39.1541376,-122.1504024,,,n_12299979589,shop=convenience
"Princeton, CA",,retail,445310,,,,,39.7245804,-121.8432818,,,n_12310553017,shop=alcohol
"Princeton, CA",,retail,446120,Sephora,,,,39.7308769,-121.8112996,,,n_12327724161,"shop=cosmetics, brand=Sephora"
"Princeton, CA",,retail,452210,Kohl's,,,,39.7311347,-121.8112719,,,n_12327734798,"shop=department_store, brand=Kohl's"
"Princeton, CA",,retail,452210,Ross,,,,39.7175174,-121.7942986,,,n_12669173963,"shop=department_store, brand=Ross"
"Princeton, CA",,retail,453110,Flowets By Rachelle,,,,39.7175076,-121.7934862,,,n_12669216781,shop=florist
"Princeton, CA",,retail,445310,,,,,39.5239946,-122.1958538,,,n_12765434722,shop=alcohol
"Princeton, CA",,retail,445120,,,,,39.1565351,-122.1462938,,,n_12852141714,shop=convenience
"Princeton, CA",,retail,445110,Roy's Supermarket,,,,39.1533463,-122.1521858,,,n_12895996039,shop=supermarket
"Princeton, CA",,retail,445120,Love's,,,,39.1677365,-122.1439439,,,n_12898340594,"shop=convenience, brand=Love's"
"Princeton, CA",,retail,445120,Wintun Mini Mart,,,,39.2574673,-122.030525,,,n_12922642105,shop=convenience
"Princeton, CA",,retail,445120,,,,,39.7213351,-121.8264694,,,n_12960197417,shop=convenience
"Princeton, CA",,retail,453991,,,,,39.7317402,-121.8590285,,,n_12998355909,shop=tobacco
"Princeton, CA",,retail,452319,Dollar General,,,,39.6456662,-121.7995965,,,n_13000106608,"shop=variety_store, brand=Dollar General"
"Princeton, CA",,retail,452319,Needful Things,,,,39.644842,-121.7999238,,,n_13000121036,shop=general
"Princeton, CA",,retail,445120,Durham Country Market,,,,39.6458537,-121.8003854,,,n_13000134548,shop=convenience
"Princeton, CA",,retail,453991,Cigarette City,,,,39.7159391,-121.7928982,,,n_13011059815,shop=tobacco
"Princeton, CA",,retail,452319,Dollar Tree,,,,39.7157557,-121.7928049,,,n_13011074336,"shop=variety_store, brand=Dollar Tree"
