Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Redcrest, CA",,retail,445110,CC Market,,,,40.5069211,-124.1123834,,,n_411009092,shop=supermarket
"Redcrest, CA",,retail,445110,Shop Smart,,,,40.1202179,-123.8238685,,,n_1328779418,shop=supermarket
"Redcrest, CA",,retail,445120,General Store,,,,40.2434757,-124.1237058,,,n_4321922453,shop=convenience
"Redcrest, CA",,retail,445120,Fernbridge Market,,,,40.6164555,-124.2014924,,,n_4322261643,shop=convenience
"Redcrest, CA",,retail,445110,Market,,,,40.266463,-123.8727712,,,n_4406261491,shop=supermarket
"Redcrest, CA",,retail,445120,Dinsmore Store,"43819 SR 36, 95526",,,40.4921099,-123.6075888,,,n_4966546528,shop=convenience
"Redcrest, CA",,retail,445110,Chautauqua Natural foods,,,,40.1004939,-123.793468,,,n_5750641026,shop=supermarket
"Redcrest, CA",,retail,445120,Redwood Market,,,,40.0996398,-123.7954349,,,n_6018390650,shop=convenience
"Redcrest, CA",,retail,445110,Ray's Food Place,2009 Main Street,,,40.5958658,-124.146066,,,n_8547930667,"shop=supermarket, brand=Ray's Food Place"
"Redcrest, CA",,retail,452319,Dollar General,"650 South Fortuna Boulevard, Fortuna, CA, 95540",,https://www.dollargeneral.com/store-directory/ca/fortuna/15232,40.585685,-124.147152,,,n_10041131494,"shop=variety_store, brand=Dollar General"
"Redcrest, CA",,retail,446110,Rite Aid,,,https://www.riteaid.com/locations/ca/fortuna/725-south-fortuna-boulevard.html,40.5829983,-124.145003,,,n_10041139166,"shop=chemist, brand=Rite Aid"
"Redcrest, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/fortuna/1878/,40.5833366,-124.14498,,,n_10041139167,"shop=variety_store, brand=Dollar Tree"
"Redcrest, CA",,retail,446110,Walgreens,"1065 South Fortuna Boulevard, Fortuna, CA, 95540",,https://www.walgreens.com/locator/walgreens-1065+s+fortuna+blvd-fortuna-ca-95540/id=9703,40.5795634,-124.1462123,,,n_10041139220,"shop=chemist, brand=Walgreens"
"Redcrest, CA",,retail,445110,Grocery Outlet,,,,40.579369,-124.144651,,,n_10041139225,"shop=supermarket, brand=Grocery Outlet"
"Redcrest, CA",,retail,445310,E & J Liquor & Deli,,,,40.4937654,-124.1023206,,,n_10043972371,shop=alcohol
"Redcrest, CA",,retail,452319,Dollar General,"44 Davis Street, Rio Dell, CA, 95562",,https://www.dollargeneral.com/store-directory/ca/rio-dell/14839,40.4996285,-124.1057474,,,n_10043980028,"shop=variety_store, brand=Dollar General"
"Redcrest, CA",,retail,445230,Valley grocery,,,,40.5761334,-124.2646742,,,n_11060464542,shop=greengrocer
"Redcrest, CA",,retail,445310,Ferndale liquor,,,,40.5760219,-124.2647359,,,n_11060498094,shop=alcohol
"Redcrest, CA",,retail,446120,Like nobody else day spa,,,,40.5765376,-124.2636025,,,n_11060498144,shop=beauty
"Redcrest, CA",,retail,452319,Petrolia General Store,"Sherman Avenue, Petrolia, CA, 95536",,,40.324775,-124.2874436,,,n_11158331058,shop=general
"Redcrest, CA",,retail,445120,,,,,40.0680507,-123.7871126,,,n_12022251924,shop=convenience
"Redcrest, CA",,retail,445120,Bear River Pump & Play,,,,40.6262523,-124.2096019,,,n_12924837543,shop=convenience
"Redcrest, CA",,retail,445110,Ray's Food Place,"875 Redwood Drive, Garberville, CA, 95542",+1 707-923-2279,https://www.gorays.com/,40.0986843,-123.7941113,,,w_53333754,"shop=supermarket, brand=Ray's Food Place"
"Redcrest, CA",,retail,445310,Beverage Plus Foods,"1221 Main Street, Fortuna, CA, 95540",+1 707-725-9303,https://www.facebook.com/pages/Beverage-Plus-Foods/322467129559,40.597716,-124.154101,,,w_238190017,shop=alcohol
"Redcrest, CA",,retail,445120,Loleta Market,"352 Main Street, Loleta, CA",,,40.6403158,-124.2250937,,,w_238193103,shop=convenience
"Redcrest, CA",,retail,445110,Safeway,"701 South Fortuna Boulevard, Fortuna, CA, 95540",+1 707-725-5104,https://local.safeway.com/safeway/ca/fortuna/701-s-fortuna-blvd.html,40.5842085,-124.1449088,,,w_253280941,"shop=supermarket, brand=Safeway"
"Redcrest, CA",,retail,445120,Great Goods,"1791 Riverwalk Drive, Fortuna, CA",,,40.5780165,-124.1539165,,,w_259445337,shop=convenience
"Redcrest, CA",,retail,446120,glowMoore Skin Studio & Shop,,,,40.5981542,-124.1553413,,,w_894117547,shop=cosmetics
"Redcrest, CA",,retail,446120,,,,,40.5977818,-124.1554022,,,w_900250183,shop=cosmetics
"Redcrest, CA",,retail,445110,Hoby's Market,,+1-707-764-3623,,40.4849842,-124.1012796,,,w_924022702,shop=supermarket
"Redcrest, CA",,retail,445120,Great Goods,,,,40.4979769,-124.1054574,,,w_975280078,shop=convenience
"Redcrest, CA",,retail,445110,,,,,40.5480877,-124.0961599,,,w_1376788045,shop=supermarket
