Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Richvale, CA",,retail,445110,Save Mart,,,,39.7566905,-121.864132,,,n_473371054,"shop=supermarket, brand=Save Mart"
"Richvale, CA",,retail,445120,Butte College Bookstore,,,,39.6497347,-121.6449454,,,n_994081143,shop=convenience
"Richvale, CA",,retail,445120,Bud's ampm Mini-Market,,,,39.5246019,-122.2116589,,,n_1691357808,"shop=convenience, brand=ARCO"
"Richvale, CA",,retail,445120,,,,,39.5339309,-121.4552439,,,n_1857394364,shop=convenience
"Richvale, CA",,retail,445120,El Bajio,,,,39.2783858,-121.6610205,,,n_1881696062,shop=convenience
"Richvale, CA",,retail,445292,Penny Candy Store,,,,39.279208,-121.660993,,,n_1881696083,shop=confectionery
"Richvale, CA",,retail,445120,Collins Lake Store,"7530 Collins Lake Rd, 95918",,http://www.collinslake.com/,39.3376219,-121.3270709,,,n_1987913190,shop=convenience
"Richvale, CA",,retail,446120,Solutions 3,,,,39.7316693,-121.8398417,,,n_2746822399,shop=beauty
"Richvale, CA",,retail,452210,,,,,39.7699478,-121.6118079,,,n_2993198276,shop=department_store
"Richvale, CA",,retail,445110,Safeway,"1366 East Avenue, Chico, CA, 95926",+1 530-899-2320,https://local.safeway.com/safeway/ca/chico/1366-east-ave.html,39.7623124,-121.8226255,,,n_5895538479,"shop=supermarket, brand=Safeway"
"Richvale, CA",,retail,445110,Trader Joe's,"801 East Avenue, Chico, CA, 95926",+1 530-343-9920,https://locations.traderjoes.com/ca/chico/199/,39.7593442,-121.846984,,,n_5895573443,"shop=supermarket, brand=Trader Joe's"
"Richvale, CA",,retail,446120,,"2061 Doctor Martin Luther King Junior Parkway, Chico, CA",,,39.7233483,-121.8086129,,,n_6423796327,shop=beauty
"Richvale, CA",,retail,445110,FoodMaxx,"2051 Doctor Martin Luther King Junior Parkway, Chico, CA",,,39.7236537,-121.8091392,,,n_6423796328,"shop=supermarket, brand=FoodMaxx"
"Richvale, CA",,retail,452210,JCPenney,,,,39.728522,-121.806781,,,n_6479745430,"shop=department_store, brand=JCPenney"
