Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"River Pines, CA",,retail,445120,,,,,38.6424552,-121.1902117,,,n_1095300030,shop=convenience
"River Pines, CA",,retail,445120,Mother Lode Market,"6421 Mother Lode Drive, 95667-8217",,,38.699976,-120.8498372,,,n_1386707683,shop=convenience
"River Pines, CA",,retail,445310,BevMo!,,,,38.6469299,-121.1157099,,,n_1712260341,"shop=alcohol, brand=BevMo!"
"River Pines, CA",,retail,446120,Ulta Beauty,"2381 Iron Point Road, Folsom, CA, 95630",+1 916-984-7582,https://www.ulta.com/stores/folsom-ca-389,38.6442928,-121.1231895,,,n_1712260345,"shop=beauty, brand=Ulta Beauty"
"River Pines, CA",,retail,446120,European Wax Center,,,https://locations.waxcenter.com/ca/folsom/folsom-broadstone-0115.html,38.6547276,-121.1221259,,,n_1752655289,"shop=beauty, brand=European Wax Center"
"River Pines, CA",,retail,445110,Belair,,,,38.6609925,-120.9664973,,,n_1771982199,shop=supermarket
"River Pines, CA",,retail,445120,Buena Vista Store,,,,38.2937175,-120.9124482,,,n_1818064852,shop=convenience
"River Pines, CA",,retail,445110,Sender's Market,,,,38.2284773,-120.5408459,,,n_1904630537,shop=supermarket
"River Pines, CA",,retail,445110,One Stop,,,,38.3526631,-120.9360392,,,n_1923884554,shop=supermarket
"River Pines, CA",,retail,445120,,,,,38.2277664,-120.542538,,,n_2085378878,shop=convenience
"River Pines, CA",,retail,445110,Raley's,,916-200-4858,,38.6557983,-121.069652,,,n_2278977537,"shop=supermarket, brand=Raley's"
"River Pines, CA",,retail,452210,Target,"430 Blue Ravine Road, Folsom, CA, 95630-3402",+1 916-984-9131,https://www.target.com/sl/Folsom--Target-Store/1098,38.6718137,-121.1526678,,,n_2295122552,"shop=department_store, brand=Target"
"River Pines, CA",,retail,445110,Trader Joe's,"850 East Bidwell Street, Folsom, CA, 95630",+1 916-817-8820,https://locations.traderjoes.com/ca/folsom/172/,38.6724297,-121.1558851,,,n_2295128397,"shop=supermarket, brand=Trader Joe's"
"River Pines, CA",,retail,445110,Walmart Supercenter,"1018 Riley Street, Folsom, CA, 95630",+1 916-983-1090,https://www.walmart.com/store/1760-folsom-ca,38.6683603,-121.1675262,,,n_2295281773,"shop=supermarket, brand=Walmart, operator=Walmart"
"River Pines, CA",,retail,445110,Davis Ranch,,,,38.4935621,-121.1695904,,,n_2983791594,shop=supermarket
"River Pines, CA",,retail,452319,Rancho Murieta Country Store,,,,38.4956628,-121.0988635,,,n_2983792621,shop=variety_store
"River Pines, CA",,retail,445110,Pokerville Market,,,,38.4719985,-120.8508113,,,n_3245704838,shop=supermarket
