Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Sage, CA",,retail,445110,El Tigre Foods Warehouse,,,,33.368481,-117.249825,,,n_365319590,shop=supermarket
"Sage, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/fallbrook/631-s-main-st-21800,33.37686,-117.251756,,,n_365328969,"shop=convenience, brand=7-Eleven"
"Sage, CA",,retail,445110,Major Market Grocery Store,"835 South Main Avenue, Fallbrook, 92028",,,33.3753813,-117.2528639,,,n_596421640,shop=supermarket
"Sage, CA",,retail,445110,Trader Joe's,"40665 Winchester Road, Temecula, CA, 92591",+1 951-296-9964,https://locations.traderjoes.com/ca/temecula/102/,33.5288349,-117.156097,,,n_701686401,"shop=supermarket, brand=Trader Joe's"
"Sage, CA",,retail,445120,Palomar General Store,,,,33.3142063,-116.8655837,,,n_822324582,shop=convenience
"Sage, CA",,retail,445110,Albertsons,"31960 Temecula Parkway, Temecula, CA, 92592",+1 951-303-1133,https://local.albertsons.com/ca/temecula/31960-temecula-pkwy.html,33.4821656,-117.1004202,,,n_835997659,"shop=supermarket, brand=Albertsons"
"Sage, CA",,retail,452319,Five Below,,,,33.4776451,-117.1026796,,,n_836014887,"shop=variety_store, brand=Five Below"
"Sage, CA",,retail,445120,7-Eleven,,,,33.4819424,-117.0930052,,,n_846402962,"shop=convenience, amenity=fuel, brand=7-Eleven"
"Sage, CA",,retail,445120,Hazit,,,,33.4722602,-117.1239818,,,n_878251837,shop=convenience
"Sage, CA",,retail,445120,Old Town Liquor,,,,33.4901861,-117.1453075,,,n_961013146,shop=convenience
"Sage, CA",,retail,445120,7-Eleven,"44535 Bedford Court, Temecula, CA, 92592-2552",+1 951-693-4977,https://www.7-eleven.com/locations/ca/temecula/44535-bedford-court-33074,33.4788535,-117.1385701,,,n_988350466,"shop=convenience, brand=7-Eleven"
"Sage, CA",,retail,445310,South Coast Winery,,+1 951 587 9463,,33.5338835,-117.0538491,,,n_1004965572,shop=wine
"Sage, CA",,retail,445120,Circle K,,,https://www.circlek.com/store-locator/US/cabazon/300-n-fern-st/2655155,33.9181487,-116.7799181,,,n_1185824726,"shop=convenience, brand=Circle K"
"Sage, CA",,retail,445120,Main Country Liquor Deli,"50386 Main Street, Cabazon, CA, 92230",,,33.9170006,-116.7826654,,,n_1190949946,shop=convenience
"Sage, CA",,retail,445120,,,,,33.8501181,-116.8520313,,,n_1201313390,shop=convenience
"Sage, CA",,retail,445120,Pine Cove Gas & Market,,,,33.7585781,-116.7391586,,,n_1203012803,shop=convenience
"Sage, CA",,retail,445120,Rainbow Oaks Country Market,,,,33.4132389,-117.1586672,,,n_1203451946,shop=convenience
"Sage, CA",,retail,445110,Stater Bros.,"30712 Benton Road, Winchester, CA, 92596",+1 951-926-6432,https://www.staterbros.com/stores/177,33.5923887,-117.121872,,,n_1247205836,"shop=supermarket, brand=Stater Bros."
"Sage, CA",,retail,445230,Winchester Farms Marketplace,"27400 Winchester Road, Winchester, CA, 92596",,,33.7224762,-117.0757872,,,n_1264853120,shop=greengrocer
"Sage, CA",,retail,445110,Winchester Ranch Market,,,,33.7095918,-117.0846125,,,n_1264853258,shop=grocery
"Sage, CA",,retail,445310,Winchester Store,,,,33.7069724,-117.0851795,,,n_1264853759,shop=alcohol
"Sage, CA",,retail,452319,99 Cents Only Stores,25270 Madison Avenue,+1 (951) 698-9971,https://locations.99only.com/ca/murrieta/discount-store-127.html,33.5556297,-117.1962687,,,n_1276492597,"shop=variety_store, brand=99 Cents Only Stores"
"Sage, CA",,retail,445310,Ponte Family Estate,,,,33.5366424,-117.05034,,,n_1288908178,shop=wine
"Sage, CA",,retail,445230,Maria's Farmers Market,,,,33.3651802,-117.0842136,,,n_1291363370,shop=greengrocer
"Sage, CA",,retail,445120,The Pala Store,"11781 Pala Mission Road, Pala, CA, 92059",(760) 742-3262,,33.3649957,-117.074263,,,n_1293342590,shop=convenience
"Sage, CA",,retail,445120,Chevron,,,,33.7819806,-117.2178868,,,n_1298157814,"shop=convenience, amenity=fuel, brand=Chevron"
"Sage, CA",,retail,445120,Valero,,,,33.7147205,-117.18566,,,n_1349777217,"shop=convenience, amenity=fuel, brand=Valero"
"Sage, CA",,retail,445120,Shell,,,,33.7869232,-117.215893,,,n_1350170307,"shop=convenience, amenity=fuel, brand=Shell"
"Sage, CA",,retail,445230,Pala Rey Produce,,,,33.3435829,-117.1292339,,,n_1442259145,shop=greengrocer
"Sage, CA",,retail,445120,Pala Mini Mart,"11152 Pala Road, Pala, CA, 92059",,,33.364217,-117.0875575,,,n_2616784833,shop=convenience
"Sage, CA",,retail,445310,Idyll Awhile,"54245 North Circle Drive Unit C-8, Idyllwild, 92549",+1-951-659-9463,http://www.idyllawhilewineshoppebistro.com/,33.7450382,-116.7127351,,,n_2984043746,shop=wine
"Sage, CA",,retail,446120,Evershine Threading,,,,33.5966585,-117.2412007,,,n_3291313361,shop=beauty
"Sage, CA",,retail,445292,Candy Cupboard,"Idyllwild, CA, 92549",,,33.74542,-116.7137829,,,n_3950850201,shop=confectionery
"Sage, CA",,retail,445110,Pala Mesa Market,,,,33.3326131,-117.1620916,,,n_4064423805,shop=supermarket
"Sage, CA",,retail,445110,Cardenas,"25310 Madison Avenue, Murrieta, 92562",1-(951) 387-3125,https://locations.cardenasmarkets.com/ll/us/ca/murrieta/25310-madison-ave/,33.5548652,-117.19527,,,n_4071156825,"shop=supermarket, brand=Cardenas"
"Sage, CA",,retail,445310,Cal Oaks Liquor,"40790 California Oaks Road, Murrieta, CA, 92562",+19514611563,,33.5692303,-117.2049977,,,n_4096436796,shop=alcohol
"Sage, CA",,retail,452210,Ross,"30141 Antelope Road, Menifee, CA, 92584",+1 951-246-4178,,33.683576,-117.1696089,,,n_4707796191,"shop=department_store, brand=Ross"
"Sage, CA",,retail,445110,Grocery Outlet,,,,33.3687336,-117.24982,,,n_5266775210,"shop=supermarket, brand=Grocery Outlet"
"Sage, CA",,retail,445110,Walmart Neighborhood Market,"859 West Florida Avenue, Hemet, CA, 92543",+1 951-492-3029,https://www.walmart.com/store/5008-hemet-ca,33.745448,-116.979639,,,n_5315597930,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sage, CA",,retail,445120,,,,,33.7384002,-117.0771176,,,n_5590079232,shop=convenience
"Sage, CA",,retail,445310,Ponte Vinyard,,,,33.5366189,-117.0502952,,,n_5724065520,shop=wine
"Sage, CA",,retail,445310,Miramonte Winery,,,https://www.miramontewinery.com/,33.5255994,-117.0778612,,,n_5724305951,"shop=wine, amenity=restaurant"
"Sage, CA",,retail,445110,ALDI,"18294 Collier Avenue, Lake Elsinore, CA, 92530-2754",+1 951-579-4089,https://stores.aldi.us/ca/lake-elsinore/18294-collier-ave,33.691873,-117.3394059,,,n_6007728091,"shop=supermarket, brand=ALDI"
"Sage, CA",,retail,446120,Ulta Beauty,"18418 Collier Avenue, Lake Elsinore, CA, 92530",+1 951-228-0214,https://www.ulta.com/stores/lake-elsinore-ca-1253,33.6899308,-117.337938,,,n_6007772346,"shop=beauty, brand=Ulta Beauty"
"Sage, CA",,retail,452210,Marshalls,,,,33.6897257,-117.3381552,,,n_6007779227,"shop=department_store, brand=Marshalls"
"Sage, CA",,retail,452319,Five Below,,+1 951-245-9877,https://locations.fivebelow.com/ca/lake-elsinore/18438-collier-avenue,33.6902518,-117.337622,,,n_6007784228,"shop=variety_store, brand=Five Below"
"Sage, CA",,retail,446120,True Touch Nail & Spa,,,,33.6898817,-117.3426942,,,n_6008987581,shop=beauty
"Sage, CA",,retail,445110,Grocery Outlet,,,,33.6960806,-117.335998,,,n_6013084614,"shop=supermarket, brand=Grocery Outlet"
"Sage, CA",,retail,452319,Dollar Tree,,,,33.6962415,-117.3361842,,,n_6013089579,"shop=variety_store, brand=Dollar Tree"
"Sage, CA",,retail,446120,ProffesioNail & Spa,,,,33.6947193,-117.3361418,,,n_6013163827,shop=beauty
"Sage, CA",,retail,446120,iTan,,,,33.6951169,-117.3357107,,,n_6013167231,shop=beauty
"Sage, CA",,retail,446120,Kut N Beauty Salon and Supply,,,,33.6951647,-117.3357629,,,n_6013168419,shop=beauty
"Sage, CA",,retail,446120,iBrows Threading Salon,,,,33.6953958,-117.3358958,,,n_6013174491,shop=beauty
"Sage, CA",,retail,452319,99 Cents Only Stores,,,https://locations.99only.com/ca/lakeelsinore/discount-store-234.html,33.6922262,-117.3399583,,,n_6013176637,"shop=variety_store, brand=99 Cents Only Stores"
"Sage, CA",,retail,445310,Central Market and Liquor,,,,33.693719,-117.3351052,,,n_6013360051,shop=alcohol
"Sage, CA",,retail,445120,,,,,33.7433415,-117.0321004,,,n_6187413272,shop=convenience
"Sage, CA",,retail,445120,,,,,33.7867716,-117.0086619,,,n_6187426398,shop=convenience
"Sage, CA",,retail,445120,ampm,,,,33.739675,-117.076883,,,n_6208835691,"shop=convenience, brand=ampm"
