Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Salton City, CA",,retail,445120,,,,,33.5696244,-116.1819846,,,n_1221410263,shop=convenience
"Salton City, CA",,retail,445110,Center Market,,+1-760-767-3311,,33.2575622,-116.3800057,,,n_1829326108,shop=supermarket
"Salton City, CA",,retail,445120,ampm,"90480 66th Avenue, Mecca, CA, 92254",,,33.5702524,-116.090274,,,n_4042830815,"shop=convenience, brand=ampm"
"Salton City, CA",,retail,445120,Desert Pantry Grocers,,,,33.2560612,-116.3798317,,,n_4668875548,shop=convenience
"Salton City, CA",,retail,445120,Alamo,,,,33.4622321,-116.0962308,,,n_10266368265,"shop=convenience, amenity=fuel"
"Salton City, CA",,retail,445120,Village Liquor & Food,,,,33.2563839,-116.3766662,,,n_10269035975,shop=convenience
"Salton City, CA",,retail,445120,Mirage Gas Company,"755 Palm Canyon Drive, Borrego Springs, CA, 92004",+1 760-767-7405,,33.2563383,-116.3726921,,,n_11280517204,"shop=convenience, amenity=fuel"
"Salton City, CA",,retail,445120,ampm,"2084 South Marina Drive, Salton City, CA, 92274",,,33.2788592,-115.9655725,,,w_207552160,"shop=convenience, brand=ampm"
"Salton City, CA",,retail,445120,West Shores Market,"2113 Marina Drive, Salton City, CA, 92274",,,33.2803232,-115.9615501,,,w_406617024,shop=convenience
"Salton City, CA",,retail,446120,Tresses by the Sea,"2116 Marina Drive, Salton City, CA, 92274",,,33.2811255,-115.9610072,,,w_407100851,shop=beauty
"Salton City, CA",,retail,445120,Skip's,"98775 Grapefruit Boulevard, Mecca, CA, 92254",+1-760-393-3661,,33.5281197,-115.9434277,,,w_1197272194,shop=convenience
"Salton City, CA",,retail,452319,Family Dollar,"2108 Service Road, Salton City, CA, 92274",,,33.2803687,-115.9669158,,,w_1276208712,"shop=variety_store, brand=Family Dollar"
"Salton City, CA",,retail,452319,Dollar General,"2110 Service Road, Salton City, CA, 92274",+1-760-394-6883,,33.2807943,-115.9669668,,,w_1276208713,"shop=variety_store, brand=Dollar General"
