Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"San Ardo, CA",,retail,445310,,,,,35.7513514,-120.6967204,,,n_2401021990,shop=alcohol
"San Ardo, CA",,retail,445110,,,,,35.7537719,-120.6956261,,,n_2401021993,shop=supermarket
"San Ardo, CA",,retail,445120,San Lucas Pitstop,,,,36.1279378,-121.0209117,,,n_2600714292,shop=convenience
"San Ardo, CA",,retail,445120,Ozzy's Minimart,,,,36.2107921,-121.1207455,,,n_2600731697,shop=convenience
"San Ardo, CA",,retail,445120,98 Cents Plus,,,,36.2115378,-121.128511,,,n_2865639800,shop=convenience
"San Ardo, CA",,retail,445310,,2425 Mission Street,,,35.7641024,-120.6987039,,,n_4087123370,shop=alcohol
"San Ardo, CA",,retail,446120,Moya's Beauty Salon,,,,36.2110284,-121.1295939,,,n_5612336490,shop=beauty
"San Ardo, CA",,retail,445210,,,,,35.7412704,-120.8762972,,,n_9343965581,shop=butcher
"San Ardo, CA",,retail,445110,Oak Hill Market,2150A Heritage Loop Road,,,35.7414099,-120.8763757,,,w_165466468,shop=supermarket
"San Ardo, CA",,retail,445120,Chevron Food Mart,998 K Street,,,35.7475052,-120.6993304,,,w_170044888,shop=convenience
"San Ardo, CA",,retail,445310,Rabbit Ridge,1425 San Marcos Road,+1-805-467-3331,https://www.rabbitridgewinery.com/,35.7026761,-120.718384,,,w_177207935,shop=wine
"San Ardo, CA",,retail,445310,Locatelli Vineyards & Winery,8585 Cross Canyon Road,,http://www.locatelliwinery.com/,35.7538358,-120.6765784,,,w_177230540,shop=wine
"San Ardo, CA",,retail,445310,P.S. Cellars,13350 River Road,,,35.7506686,-120.6787339,,,w_177230546,shop=wine
"San Ardo, CA",,retail,445110,Safeway,"530 Canal Street, King City, CA, 93930",+1 831-385-7820,https://local.safeway.com/safeway/ca/king-city/530-canal-st.html,36.2044588,-121.1332908,,,w_247252993,"shop=supermarket, brand=Safeway"
"San Ardo, CA",,retail,445120,Shell,"601 Canal Street, King City",,,36.202463,-121.1287866,,,w_253921022,"shop=convenience, amenity=fuel, brand=Shell"
"San Ardo, CA",,retail,452319,Lockwood Store and Diner,,,,35.9371383,-121.0825083,,,w_270521717,"shop=general, amenity=cafe"
"San Ardo, CA",,retail,445120,,,,,36.1923492,-121.1445238,,,w_326493741,shop=convenience
"San Ardo, CA",,retail,445120,ExtraMile,"1137 Broadway Street, King City, CA, 93930",(831) 386-0341,,36.2050419,-121.1374188,,,w_496334780,"shop=convenience, brand=ExtraMile"
"San Ardo, CA",,retail,453110,The Garden House,,,,36.2021176,-121.1294042,,,w_585544046,shop=florist
"San Ardo, CA",,retail,445120,ampm,,,,36.2030865,-121.1377341,,,w_587600136,"shop=convenience, brand=ampm"
"San Ardo, CA",,retail,452319,Dollar General,"972 K Street, San Miguel, CA, 93451",,https://www.dollargeneral.com/store-directory/ca/san-miguel/17422,35.7467871,-120.6993172,,,w_719031300,shop=variety_store
"San Ardo, CA",,retail,445120,Chevron,,,,36.2033403,-121.1352692,,,w_812803863,"shop=convenience, brand=Chevron"
"San Ardo, CA",,retail,445110,El Pueblo Market,"315 Broadway Street, King City, CA, 93930",(831) 385-5948,elpueblomarket.net,36.2124467,-121.1267022,,,w_957020433,shop=supermarket
"San Ardo, CA",,retail,445120,Pleyto Store,"70210 Jolon Rd, Bradley, CA, 93426",831-241-1532,,35.9051384,-120.9857482,,,w_1304880152,shop=convenience
"San Ardo, CA",,retail,445110,La Barata Carniceria,"217 Broadway Street, King City, CA, 93930",(831) 385-8873,,36.212969,-121.1255212,,,w_1309163943,shop=supermarket
"San Ardo, CA",,retail,445310,San Lorenzo Liquors,"200 Broadway Street, King City, CA, 93930",(831) 385-3219,,36.2133594,-121.1259654,,,w_1309163952,shop=alcohol
"San Ardo, CA",,retail,445110,Filete De Oro,"420 Broadway Street, King City, CA, 93930",,,36.2120117,-121.1286269,,,w_1368028557,shop=supermarket
"San Ardo, CA",,retail,445120,7-Eleven,"801 Broadway Street, King City, CA, 93930",,,36.2080275,-121.1333154,,,w_1368457567,"shop=convenience, brand=7-Eleven"
"San Ardo, CA",,retail,445110,La Princesa Market,,,,36.2104061,-121.131464,,,w_1371029565,shop=supermarket
"San Ardo, CA",,retail,445110,Prime Time Nutrition,,,,36.2106184,-121.131632,,,w_1371029566,shop=supermarket
"San Ardo, CA",,retail,452319,Dollar Tree,,,,36.2051378,-121.1323231,,,w_1414347419,"shop=variety_store, brand=Dollar Tree"
"San Ardo, CA",,retail,446120,Nancy Nails,,,,36.2045192,-121.1305885,,,w_1414575455,shop=beauty
"San Ardo, CA",,retail,446120,,,,,36.2079697,-121.1334289,,,w_1414802997,shop=beauty
"San Ardo, CA",,retail,446120,Revive House of Beauty,,,,36.2141351,-121.1245374,,,w_1419735815,shop=beauty
