Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"San Simeon, CA",,retail,445310,Bob and Jan's Bottle Shop,,,,35.5641406,-121.0816481,,,n_1485252122,shop=alcohol
"San Simeon, CA",,retail,445120,Soto's Market,,,,35.5640208,-121.082037,,,n_1485252127,shop=convenience
"San Simeon, CA",,retail,445110,The Pit Stop,,,,35.566611,-121.0995257,,,n_1485265757,shop=grocery
"San Simeon, CA",,retail,445310,Black Hand Cellars,,,,35.5671147,-121.1001853,,,n_1485265763,shop=wine
"San Simeon, CA",,retail,445120,Old Cambria Market Place,,,,35.5687673,-121.1022563,,,n_1485703332,shop=convenience
"San Simeon, CA",,retail,445292,The Gourmet Gift,,,,35.5677684,-121.1004639,,,n_1485703344,shop=chocolate
"San Simeon, CA",,retail,446120,Nail Luv,,,,35.5643749,-121.0955165,,,n_1485703426,shop=beauty
"San Simeon, CA",,retail,445110,Cookie Crock Market,"1240 Knollwood Drive, 93428",,https://www.cookiecrock.com/,35.5631923,-121.0919261,,,n_2169219434,shop=supermarket
"San Simeon, CA",,retail,445310,Paul's Liquor,,,,35.448713,-120.904502,,,n_2528611423,shop=alcohol
"San Simeon, CA",,retail,445310,Moonstone Cellars,,,,35.5670128,-121.099192,,,n_2986566636,shop=wine
"San Simeon, CA",,retail,446120,Lucia Apothecary,,,,35.5674031,-121.100545,,,n_3012998524,shop=cosmetics
"San Simeon, CA",,retail,445310,Cambria Ale House,,,,35.563531,-121.0839937,,,n_3069262340,shop=alcohol
"San Simeon, CA",,retail,445310,Wise Owl and Co.,,,,35.5630113,-121.0829084,,,n_3071010048,shop=wine
"San Simeon, CA",,retail,445292,Sweet Confectionery Offerings,,,,35.562918,-121.0821335,,,n_3091538478,shop=confectionery
"San Simeon, CA",,retail,445292,Kelli's Candies,,,,35.3654866,-120.8533631,,,n_3279396861,shop=confectionery
"San Simeon, CA",,retail,445210,J&R Natural Meat,,,,35.5417531,-120.7148077,,,n_3438364676,shop=butcher
"San Simeon, CA",,retail,445310,Carmody McKnight Estate Winery,,,https://carmodymcknight.com/,35.6550168,-120.8945629,,,n_3885332913,shop=wine
