Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Santa Ynez, CA",,retail,445120,The Store at Buchanan,,,,34.4156123,-119.8446974,,,n_448803339,shop=convenience
"Santa Ynez, CA",,retail,445120,UCSB Campus Store,,+1 (805) 893-8321,https://campusstore.ucsb.edu/home,34.4117597,-119.8482593,,,n_448863568,shop=convenience
"Santa Ynez, CA",,retail,445120,The Corner Store,,+1 (805) 893-4593,,34.411781,-119.8478257,,,n_451025875,shop=convenience
"Santa Ynez, CA",,retail,445110,Nielsen's,,,,34.6001435,-120.1268783,,,n_530754630,shop=supermarket
"Santa Ynez, CA",,retail,445110,Ralphs,"5170 Hollister Avenue, Goleta, CA, 93111",+1 (805) 692-0022,https://www.ralphs.com/stores/grocery/ca/goleta/goleta/703/00010,34.4359096,-119.803846,,,n_648508441,"shop=supermarket, brand=Ralphs"
"Santa Ynez, CA",,retail,445110,Indo China Market,"6831 Hollister Avenue, Goleta, 93117",,,34.4296881,-119.8670757,,,n_648613536,shop=supermarket
"Santa Ynez, CA",,retail,445110,Trader Joe's,"3025 De La Vina Street, Santa Barbara, CA, 93105",+1-805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/,34.4389102,-119.728945,,,n_671782461,"shop=supermarket, brand=Trader Joe's"
"Santa Ynez, CA",,retail,445110,Albertsons,"5811 Calle Real, Goleta, CA, 93117",+1-805-964-2318,https://local.albertsons.com/ca/goleta/5801-calle-real.html,34.4407952,-119.826197,,,n_1348747767,"shop=supermarket, brand=Albertsons"
"Santa Ynez, CA",,retail,445110,Trader Joe's,"5767 Calle Real, Goleta, CA, 93117",+1 805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,34.4407421,-119.8250202,,,n_1348747780,"shop=supermarket, brand=Trader Joe's"
"Santa Ynez, CA",,retail,446120,Minh Ly's Nails,"5120 Hollister Avenue, Santa Barbara, CA, 93111",,,34.4356917,-119.8028919,,,n_1469691011,shop=beauty
"Santa Ynez, CA",,retail,445110,Lassens Natural Foods & Vitamins,"5154 Hollister Avenue, Santa Barbara, CA, 93111",+1 (805) 683-7696,https://www.lassens.com/stores/lassens-santa-barbara/,34.4367215,-119.803473,,,n_1469734576,"shop=supermarket, brand=Lassens"
"Santa Ynez, CA",,retail,445120,Cielo Store,,,,34.5117047,-119.8227506,,,n_1478446826,shop=convenience
"Santa Ynez, CA",,retail,445110,Gelson's,"3305 State Street, 93105",+1 805-687-5810,https://www.gelsons.com/stores/santa-barbara,34.439347,-119.735372,,,n_1656456682,"shop=supermarket, brand=Gelson's"
"Santa Ynez, CA",,retail,445310,Jalama Wines,"308, Unit C North 9th Street, 93436",,https://www.jalamawines.com,34.6425391,-120.4375316,,,n_1920915046,shop=alcohol
"Santa Ynez, CA",,retail,445120,Collins Market,,,,34.7439541,-120.2815655,,,n_2180326244,shop=convenience
"Santa Ynez, CA",,retail,446120,Ulta Beauty,"615 North H Street, Lompoc, 93436",,,34.6482374,-120.4591281,,,n_2193276331,"shop=cosmetics, brand=Ulta Beauty"
