Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Shasta Lake, CA",,retail,445120,J's,,,,40.5965614,-122.4880161,,,n_442977041,shop=convenience
"Shasta Lake, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/palo-cedro/4797/,40.5605226,-122.2395585,,,n_1710768215,"shop=variety_store, brand=Dollar Tree"
"Shasta Lake, CA",,retail,445120,Igo Store,,,,40.5046317,-122.5415972,,,n_2262145184,shop=convenience
"Shasta Lake, CA",,retail,445120,Chevron,"20884 Antlers Road, Lakehead, 96051",,,40.892221,-122.3821212,,,n_4047640138,"shop=convenience, brand=Chevron"
"Shasta Lake, CA",,retail,445120,Marathon,,,,40.4526204,-122.2910605,,,n_5246517734,"shop=convenience, brand=Marathon, operator=Valero"
"Shasta Lake, CA",,retail,453991,Discount Tabacoo Store,,,,40.6085553,-122.3794397,,,n_5405298192,shop=tobacco
"Shasta Lake, CA",,retail,446120,Fancy Nails,,,,40.6085599,-122.3791587,,,n_5405298195,shop=beauty
"Shasta Lake, CA",,retail,453991,Tabacco' N Brew,,,,40.5765811,-122.3575234,,,n_5441989353,shop=tobacco
"Shasta Lake, CA",,retail,446120,Pure Bliss Salon & Day Spa,,,,40.576461,-122.3575764,,,n_5441989359,shop=beauty
"Shasta Lake, CA",,retail,445120,Shell,,,,40.4378914,-122.289788,,,n_6373149989,"shop=convenience, brand=Shell"
"Shasta Lake, CA",,retail,453991,Tobacco & Vape,,,,40.6798244,-122.3520849,,,n_6427516984,shop=tobacco
"Shasta Lake, CA",,retail,446120,Hollywood Nails,,,,40.5689456,-122.3632545,,,n_6848898340,shop=beauty
"Shasta Lake, CA",,retail,446120,Hot Mess,,+1 (530) 223-0599,,40.5690102,-122.3632602,,,n_6848898341,shop=beauty
"Shasta Lake, CA",,retail,446120,,,,,40.5913018,-122.3568329,,,n_6894356635,shop=beauty
"Shasta Lake, CA",,retail,445110,Grocery Outlet,,,,40.4362563,-122.288835,,,n_7020758961,"shop=supermarket, brand=Grocery Outlet"
"Shasta Lake, CA",,retail,445120,,,,,40.4525908,-122.2995667,,,n_7020820497,shop=convenience
"Shasta Lake, CA",,retail,445120,,,,,40.4513572,-122.2998022,,,n_7020820498,shop=convenience
"Shasta Lake, CA",,retail,445120,ampm,,,,40.4340487,-122.2891149,,,n_7056237923,"shop=convenience, brand=ampm"
"Shasta Lake, CA",,retail,453991,Tobacco and Vapez,,,,40.5871797,-122.3485343,,,n_7170776605,shop=tobacco
"Shasta Lake, CA",,retail,445120,,,,,40.6792898,-122.3506226,,,n_7213623549,shop=convenience
"Shasta Lake, CA",,retail,446120,Pro Nails,,,,40.5870335,-122.352597,,,n_7244508349,shop=beauty
"Shasta Lake, CA",,retail,453991,Smoke & Vape,"1340 Churn Creek Road, Redding, CA, 96003",+15307229900,,40.5874087,-122.352389,,,n_7244508355,shop=tobacco
"Shasta Lake, CA",,retail,446120,Guild Beauty Bar,,,,40.5913237,-122.3559929,,,n_7244508380,shop=beauty
