Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Snelling, CA",,retail,452210,JCPenney,,,,37.3214655,-120.48345,,,n_677608041,"shop=department_store, brand=JCPenney"
"Snelling, CA",,retail,445120,Airport Grocery,,,,37.4675266,-120.8494645,,,n_1796560777,shop=convenience
"Snelling, CA",,retail,452210,Kohl's,"400 Merced Mall, Merced, CA, 95348",+1 209-384-2934,https://www.kohls.com/stores/ca/merced-1367.shtml,37.3207954,-120.4819486,,,n_2126973980,"shop=department_store, brand=Kohl's"
"Snelling, CA",,retail,445120,,,,,37.2948283,-120.4580926,,,n_2160288953,shop=convenience
"Snelling, CA",,retail,445110,Merced Food Center,,,,37.2947191,-120.4832464,,,n_2359670257,shop=supermarket
"Snelling, CA",,retail,445120,La Grange General Store,,,,37.6626101,-120.4646865,,,n_2891851311,shop=convenience
"Snelling, CA",,retail,445120,ampm,,,,37.536194,-120.8886764,,,n_3003273117,"shop=convenience, brand=ampm"
"Snelling, CA",,retail,446120,Hilmar Beauty Salon,"8265 North Lander Avenue, Hilmar, 95324",,,37.4080927,-120.8502437,,,n_3171712560,shop=beauty
"Snelling, CA",,retail,446120,Curl Country,"8384 North Lander Avenue, Hilmar, 95324",,,37.4097692,-120.8497172,,,n_3171712574,shop=beauty
"Snelling, CA",,retail,445110,Dollar General Market,"6810 Winton Way, Winton, CA, 95388",,https://www.dollargeneral.com/store-directory/ca/winton/13121,37.3866839,-120.6131854,,,n_3171712586,"shop=supermarket, brand=Dollar General"
"Snelling, CA",,retail,445120,Five Star Food & Mart,"15406 West August Avenue, Delhi, 95315",,,37.4198719,-120.7653211,,,n_3171712598,shop=convenience
"Snelling, CA",,retail,445110,Hilmar Market,"19953 West American Avenue, Hilmar, 95324",,,37.4108749,-120.848937,,,n_3171712663,shop=supermarket
"Snelling, CA",,retail,445120,,"1433 Crowell Street, Livingston, 95334",,,37.3893871,-120.7207373,,,n_3171777476,shop=convenience
"Snelling, CA",,retail,445120,Amigos Market,"1441 Crowell Street, Livingston, 95334",,,37.3892405,-120.7203411,,,n_3171779070,shop=convenience
"Snelling, CA",,retail,452319,Dollar General,"323 North Main Street, Livingston, 95334",,https://www.dollargeneral.com/store-directory/ca/livingston/14684,37.3898598,-120.7217807,,,n_3171996241,"shop=variety_store, brand=Dollar General"
"Snelling, CA",,retail,445120,Oxxo Mini Mart,"3416 North Buhach Road, Atwater, 95301",,,37.3373976,-120.5765671,,,n_3172165938,shop=convenience
"Snelling, CA",,retail,445120,M & A Market,"2980 North Beachwood Drive, Merced, 95348",,,37.3313035,-120.5275499,,,n_3172166964,shop=convenience
"Snelling, CA",,retail,446120,Majestic Hair Salon,"19957 West American Avenue, Hilmar, 95324",,,37.410772,-120.8489363,,,n_3172166968,shop=beauty
"Snelling, CA",,retail,445110,Westside Grocery,"13912 West Westside Boulevard, Livingston, 95334",,,37.3606024,-120.7403361,,,n_3172167436,shop=supermarket
"Snelling, CA",,retail,446120,Bliss Salon & Spa,,,,37.5311062,-120.8868756,,,n_3222039264,shop=beauty
"Snelling, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/turlock/3953/,37.5206487,-120.8895188,,,n_3524711943,"shop=variety_store, brand=Dollar Tree"
"Snelling, CA",,retail,452210,JCPenney,,,,37.5092291,-120.874947,,,n_3524712654,"shop=department_store, brand=JCPenney"
"Snelling, CA",,retail,445310,Bernies Liquor,,,,37.3041671,-120.4722838,,,n_4141570896,shop=alcohol
"Snelling, CA",,retail,445120,Off The Wall Smoke Shop,,,,37.2982895,-120.4829799,,,n_4141571894,shop=convenience
"Snelling, CA",,retail,445120,Summits Marketplace,,,,37.3635667,-120.4299997,,,n_4236229121,shop=convenience
"Snelling, CA",,retail,445120,Chinese Camp Store,"13750 Highway 120, Jamestown, 95327",,https://www.facebook.com/Chinese-Camp-Store-600940963279055/,37.8730241,-120.4327996,,,n_4243030189,shop=convenience
"Snelling, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/planada/15268,37.2951177,-120.3242639,,,n_4643611846,"shop=variety_store, brand=Dollar General"
"Snelling, CA",,retail,445120,The Oasis Market & Cafe,,,,37.4326323,-120.0981087,,,n_4868818800,"shop=convenience, amenity=cafe"
"Snelling, CA",,retail,445120,Miner's Mart,,,,37.8224008,-120.2607457,,,n_5009361377,shop=convenience
"Snelling, CA",,retail,445310,Pop N Cork,,,,37.526341,-120.8627146,,,n_5061265642,shop=alcohol
"Snelling, CA",,retail,446120,Happiness Nails & Spa,,,,37.5214527,-120.8837353,,,n_5271583233,shop=beauty
"Snelling, CA",,retail,446120,Bath & Body Works,,,,37.5202517,-120.8831172,,,n_5271583244,"shop=cosmetics, brand=Bath & Body Works"
"Snelling, CA",,retail,452319,Campus Store,,,,37.3662609,-120.424296,,,n_5438839825,"shop=general, operator=University of California Merced"
"Snelling, CA",,retail,445120,Claim Jumper Outpost,17586 Highway 120,+12099627153,,37.8241086,-120.257524,,,n_9061254575,shop=convenience
"Snelling, CA",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ca/merced/6389/,37.3193097,-120.467778,,,n_9482493617,"shop=variety_store, brand=Dollar Tree"
"Snelling, CA",,retail,446120,Lotus Salon,"1170 W Olive Ave, #H, Merced, CA, 95348",209-626-5137,https://lotus-salon.net,37.3188628,-120.488279,,,n_9692740069,"shop=beauty, operator=Maria Ramirez"
"Snelling, CA",,retail,445120,,,,,37.4494229,-120.8484639,,,n_9826861573,shop=convenience
"Snelling, CA",,retail,446120,Amazing Nails & Spa,,+1 209 634 1454,https://amazingnailsspaturlock.com/,37.5212933,-120.8749899,,,n_11738040257,shop=beauty
"Snelling, CA",,retail,445120,Quik Stop,,+1 209 667 0185,https://www.quikstop.com/,37.5214667,-120.8760935,,,n_11738043272,"shop=convenience, brand=Quik Stop"
"Snelling, CA",,retail,446120,Jennifer's Nails & Spa,"120 West Monte Vista Avenue, Turlock, CA, 95382",,,37.521521,-120.8501391,,,n_11863326263,shop=beauty
"Snelling, CA",,retail,446120,Renū Salon & Spa,"140 South Center Street, Turlock, CA, 95380",+1 209 250 0777,,37.4945195,-120.8445435,,,n_11930216868,shop=beauty
"Snelling, CA",,retail,445210,Kevin and Randi's Old Fashioned Meat Market,,,,37.8381246,-120.2314327,,,n_12180678132,shop=butcher
"Snelling, CA",,retail,445110,Grocery Outlet,"1330 West Main Street, Turlock, CA, 95380",+1 209 656 6600,,37.4914447,-120.8635663,,,n_12594987732,"shop=supermarket, brand=Grocery Outlet"
"Snelling, CA",,retail,453991,VIP Smoke Shop,"2301 West Main Street, Turlock, CA, 95380",,,37.4940302,-120.8740803,,,n_12624175692,shop=tobacco
"Snelling, CA",,retail,445110,Shah Groceries,"2353 West Main Street, Turlock, CA, 95380",,,37.4939875,-120.8757084,,,n_12624258902,shop=supermarket
"Snelling, CA",,retail,446120,Pacific Tanning,"2852 West Monte Vista Avenue, Turlock, CA, 95380",,,37.5215207,-120.8797439,,,n_12626372119,shop=beauty
"Snelling, CA",,retail,446120,Eyebrow Masters,"3070 Countryside Drive, Turlock, CA, 95380",,,37.5207356,-120.8807377,,,n_12626372123,shop=beauty
"Snelling, CA",,retail,452210,Target,"3000 Countryside Drive, Turlock, CA, 95380",+1 209-632-0132,https://www.target.com/sl/turlock/1304,37.5208345,-120.8783374,,,n_12626372127,"shop=department_store, brand=Target"
"Snelling, CA",,retail,446120,Queen's Nails,"2800 West Monte Vista Avenue, Turlock, CA, 95380",,,37.5213995,-120.8784819,,,n_12626372141,shop=beauty
"Snelling, CA",,retail,446120,Cathy Nails,"1551 Geer Road, Turlock, CA, 95380-3200",+1 209 585 9112,,37.5065164,-120.8502459,,,n_12637473042,shop=beauty
"Snelling, CA",,retail,446120,Sephora,"2751 Countryside Drive, Turlock, CA, 95380",,,37.5177375,-120.8820735,,,n_12655508212,"shop=cosmetics, brand=Sephora"
"Snelling, CA",,retail,445292,See's Candies,,,,37.5195478,-120.8484975,,,n_12662376468,"shop=confectionery, brand=See's Candies"
"Snelling, CA",,retail,453991,Smoke 4 Less,"2928 Geer Road, Turlock, CA, 95382",+1 209 250 0306,,37.5196938,-120.8474675,,,n_12662380819,shop=tobacco
"Snelling, CA",,retail,446120,Mymy Nails,"2886 Geer Road, Turlock, CA, 95382",+1 209 656 8797,,37.5186117,-120.8474528,,,n_12662380824,shop=beauty
"Snelling, CA",,retail,452319,Dollar Tree,"2860 Geer Road, Turlock, CA, 95382",,,37.5182404,-120.8474513,,,n_12662380827,"shop=variety_store, brand=Dollar Tree"
"Snelling, CA",,retail,452319,Nessan Market,"2810 Geer Road, Turlock, CA, 95382",+1 209 664 9419,,37.5182189,-120.8482795,,,n_12662380832,shop=general
"Snelling, CA",,retail,445310,Liquor Locker,"2735 Geer Road, Turlock, CA, 95382",,,37.5180511,-120.849422,,,n_12662380867,shop=alcohol
"Snelling, CA",,retail,446120,Organic Nails & Spa,"2689 Geer Road, Turlock, CA, 95382",+1 209 620 8999,https://placejuice.com/organic-nails-and-spa-i2sqsue,37.5177605,-120.8499127,,,n_12662380920,shop=beauty
"Snelling, CA",,retail,453110,Yonan's Floral & Decor,"2425 Geer Road, Turlock, CA, 95382",+1 209 664 9325,https://www.yonansfloral.net/,37.5152993,-120.8503681,,,n_12662380953,shop=florist
"Snelling, CA",,retail,446120,Super Performance Beauty Salon,"2307 Geer Road, Turlock, CA, 95382",+1 209 667 9111,,37.5140256,-120.8506629,,,n_12663491378,shop=beauty
"Snelling, CA",,retail,446120,Dina Yonan Gehring,"2307 Geer Road, Turlock, CA, 95382",+1 209 968 7777,,37.5140294,-120.8507912,,,n_12663491379,shop=beauty
"Snelling, CA",,retail,452319,Best K Market,"2233 Geer Road, Turlock, CA, 95382",+1 209 632 5500,,37.5137125,-120.8496543,,,n_12663491390,shop=general
