Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Solvang, CA",,retail,445120,The Store at Buchanan,,,,34.4156123,-119.8446974,,,n_448803339,shop=convenience
"Solvang, CA",,retail,445120,UCSB Campus Store,,+1 (805) 893-8321,https://campusstore.ucsb.edu/home,34.4117597,-119.8482593,,,n_448863568,shop=convenience
"Solvang, CA",,retail,445120,The Corner Store,,+1 (805) 893-4593,,34.411781,-119.8478257,,,n_451025875,shop=convenience
"Solvang, CA",,retail,445110,Nielsen's,,,,34.6001435,-120.1268783,,,n_530754630,shop=supermarket
"Solvang, CA",,retail,445110,Ralphs,"5170 Hollister Avenue, Goleta, CA, 93111",+1 (805) 692-0022,https://www.ralphs.com/stores/grocery/ca/goleta/goleta/703/00010,34.4359096,-119.803846,,,n_648508441,"shop=supermarket, brand=Ralphs"
"Solvang, CA",,retail,445110,Indo China Market,"6831 Hollister Avenue, Goleta, 93117",,,34.4296881,-119.8670757,,,n_648613536,shop=supermarket
"Solvang, CA",,retail,445110,Albertsons,"1120 East Clark Avenue, Orcutt, CA, 93455",+1 805-934-4472,https://local.albertsons.com/ca/orcutt/1120-e-clark-ave.html,34.8635741,-120.41729,,,n_1296806026,"shop=supermarket, brand=Albertsons"
"Solvang, CA",,retail,445120,7-Eleven,"4975 South Bradley Road, Santa Maria, CA, 93455-5047",+1 805-937-3355,https://www.7-eleven.com/locations/ca/santa-maria/4975-s-bradley-rd-13873,34.8655654,-120.4193289,,,n_1296875498,"shop=convenience, brand=7-Eleven"
"Solvang, CA",,retail,445110,Albertsons,"5811 Calle Real, Goleta, CA, 93117",+1-805-964-2318,https://local.albertsons.com/ca/goleta/5801-calle-real.html,34.4407952,-119.826197,,,n_1348747767,"shop=supermarket, brand=Albertsons"
"Solvang, CA",,retail,445110,Trader Joe's,"5767 Calle Real, Goleta, CA, 93117",+1 805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,34.4407421,-119.8250202,,,n_1348747780,"shop=supermarket, brand=Trader Joe's"
"Solvang, CA",,retail,446120,Minh Ly's Nails,"5120 Hollister Avenue, Santa Barbara, CA, 93111",,,34.4356917,-119.8028919,,,n_1469691011,shop=beauty
"Solvang, CA",,retail,445110,Lassens Natural Foods & Vitamins,"5154 Hollister Avenue, Santa Barbara, CA, 93111",+1 (805) 683-7696,https://www.lassens.com/stores/lassens-santa-barbara/,34.4367215,-119.803473,,,n_1469734576,"shop=supermarket, brand=Lassens"
"Solvang, CA",,retail,445120,Cielo Store,,,,34.5117047,-119.8227506,,,n_1478446826,shop=convenience
"Solvang, CA",,retail,445310,Oak Knoll Liquors,,,,34.8662827,-120.4177098,,,n_1779953304,shop=alcohol
"Solvang, CA",,retail,445310,Jalama Wines,"308, Unit C North 9th Street, 93436",,https://www.jalamawines.com,34.6425391,-120.4375316,,,n_1920915046,shop=alcohol
"Solvang, CA",,retail,445120,Collins Market,,,,34.7439541,-120.2815655,,,n_2180326244,shop=convenience
"Solvang, CA",,retail,446120,Ulta Beauty,"615 North H Street, Lompoc, 93436",,,34.6482374,-120.4591281,,,n_2193276331,"shop=cosmetics, brand=Ulta Beauty"
"Solvang, CA",,retail,445110,Whole Foods Market,"3761 State Street, Santa Barbara, CA, 93105",+1 (805) 837-6959,https://www.wholefoodsmarket.com/stores/santabarbara,34.4394341,-119.7452961,,,n_2423520776,"shop=supermarket, brand=Whole Foods Market"
"Solvang, CA",,retail,445310,Liquor Emporium,,,,34.638461,-120.443745,,,n_2804447101,shop=alcohol
"Solvang, CA",,retail,445310,Highway 1 Liquor,"618 North H Street, Lompoc, 93436",,,34.647826,-120.457474,,,n_3085479533,shop=alcohol
"Solvang, CA",,retail,445110,Village Market,,,,34.700461,-120.467968,,,n_3097569841,shop=supermarket
"Solvang, CA",,retail,452210,Ross,"7055 Marketplace Drive, Goleta, CA, 93117",+1 805-968-3510,https://www.rossstores.com/,34.4275413,-119.8731328,,,n_3464726755,"shop=department_store, brand=Ross"
"Solvang, CA",,retail,446120,Lovely Spa & Nails,"7127 Hollister Avenue, Goleta, 93117",+1-805-280-5052,,34.4284972,-119.8766303,,,n_3628098468,shop=beauty
"Solvang, CA",,retail,445210,Carniceria Jalisco,,,,34.652603,-120.456783,,,n_3863085083,shop=butcher
