Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Spreckels, CA",,retail,445110,Windmill Market,"301 The Alameda, San Juan Bautista, CA, 95045",,,36.8411133,-121.5351038,,,n_315635600,shop=supermarket
"Spreckels, CA",,retail,445120,Neil's Super Market,,,,36.8451236,-121.5397885,,,n_318539518,shop=convenience
"Spreckels, CA",,retail,445310,Lynn's Liquors,,,,36.8465707,-121.4013704,,,n_331040695,shop=alcohol
"Spreckels, CA",,retail,445120,Los Lomas Market,,,,36.8651453,-121.7344735,,,n_392774069,shop=convenience
"Spreckels, CA",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/salinas-ca-pharmacies/17579-vierra-canyon-rd-salinas-ca-93907/storeid=3051,36.7931551,-121.664241,,,n_440299847,"shop=chemist, brand=CVS Pharmacy"
"Spreckels, CA",,retail,445110,Grocery Outlet,"7925 San Miguel Canyon Road, Salinas, CA, 93907",,,36.8021003,-121.665448,,,n_440393776,"shop=supermarket, brand=Grocery Outlet"
"Spreckels, CA",,retail,445310,101 Wine Press,"8049 San Miguel Canyon Road, Prunedale, CA, 93907",,,36.801393,-121.6648354,,,n_440394105,shop=wine
"Spreckels, CA",,retail,445110,El Patio,,,,36.9371467,-121.8627937,,,n_442197491,shop=supermarket
"Spreckels, CA",,retail,445110,Star Market,"1275 South Main Street, Salinas, CA, 93901",+1 831 422 3961,https://www.starmkt.com/,36.655854,-121.6589113,,,n_529122561,shop=supermarket
"Spreckels, CA",,retail,445110,Nob Hill Foods,"1320 South Main Street, Salinas, CA, 93901",,,36.6554358,-121.661813,,,n_529123311,shop=supermarket
"Spreckels, CA",,retail,445110,Lucky,"1150 South Main Street, Salinas, CA, 93901",+1 831 758 8233,,36.6591354,-121.6606848,,,n_529126578,"shop=supermarket, brand=Lucky"
"Spreckels, CA",,retail,445120,Quik Mart,,,,36.7041256,-121.6319922,,,n_687177727,shop=convenience
"Spreckels, CA",,retail,445110,Hollister Super Market,,,,36.8531594,-121.401266,,,n_796667253,shop=supermarket
"Spreckels, CA",,retail,446120,Creative Nails,"191 San Felipe Road, Hollister, CA, 95023",,,36.8590177,-121.4002695,,,n_796669173,shop=beauty
"Spreckels, CA",,retail,445110,Hollister Super Mercado,,,,36.8535456,-121.4205793,,,n_823705021,shop=supermarket
"Spreckels, CA",,retail,445310,Diaz Liquors,"Airline Highway, Hollister, CA, 95023",,,36.8375453,-121.388576,,,n_1019434947,shop=alcohol
"Spreckels, CA",,retail,452210,Target,"2040 California Avenue, Sand City, CA, 93955-3150",+1 831-392-1990,https://www.target.com/sl/sand-city/1062,36.6209786,-121.8436714,,,n_1141003149,"shop=department_store, brand=Target"
"Spreckels, CA",,retail,445110,Farm Fresh Produce,,,,36.9360488,-121.7443663,,,n_1332464781,shop=supermarket
"Spreckels, CA",,retail,445110,Smart & Final,,,,36.6090638,-121.8554319,,,n_1339271255,shop=supermarket
"Spreckels, CA",,retail,445110,Old Fire House Market,,,,36.888773,-121.6433615,,,n_1371723190,shop=supermarket
"Spreckels, CA",,retail,445120,Ord Market,,,,36.6641099,-121.7757899,,,n_1388881308,shop=convenience
"Spreckels, CA",,retail,445110,Save Mart,,,,36.6841596,-121.79642,,,n_1388946952,"shop=supermarket, brand=Save Mart"
"Spreckels, CA",,retail,445110,Don Rafa's,,,,36.9069407,-121.7542756,,,n_1509351354,shop=supermarket
"Spreckels, CA",,retail,445120,Bridge Street Grocer,,,,36.9110499,-121.7474359,,,n_1509352930,shop=convenience
"Spreckels, CA",,retail,445120,129 General Store,,,,36.900695,-121.590001,,,n_1509358862,shop=convenience
"Spreckels, CA",,retail,445110,Mi Pueblo,,,,36.6117637,-121.8436012,,,n_1648518166,shop=supermarket
"Spreckels, CA",,retail,445110,Mi Tierra,,,,36.6088787,-121.8453286,,,n_1648518248,shop=supermarket
"Spreckels, CA",,retail,445110,Trader Joe's,"570 Munras Avenue, Monterey, CA, 93940",+1 831-372-2010,https://locations.traderjoes.com/ca/monterey/204/,36.5965039,-121.8945766,,,n_1648518457,"shop=supermarket, brand=Trader Joe's"
"Spreckels, CA",,retail,453991,Smoke Shop,,,,36.4163549,-121.3206877,,,n_1836722386,shop=tobacco
"Spreckels, CA",,retail,445120,Troia's Market,,,,36.6010158,-121.8957561,,,n_1870579860,shop=convenience
"Spreckels, CA",,retail,445120,The General Store,,,,36.6008177,-121.8945712,,,n_1870581686,shop=convenience
"Spreckels, CA",,retail,445292,Candy Land,,,,36.6021452,-121.8939651,,,n_1870653838,shop=confectionery
"Spreckels, CA",,retail,445310,Wine from the Heart,,,,36.6017324,-121.8938048,,,n_1870655029,shop=wine
"Spreckels, CA",,retail,445120,,,,,36.7984521,-121.7836034,,,n_1912129706,shop=convenience
"Spreckels, CA",,retail,445230,,,,,36.7986547,-121.7835577,,,n_1912129734,shop=greengrocer
"Spreckels, CA",,retail,446120,Glamour Nails,"1740 Airline Highway, Hollister, CA, 95023",,,36.8365549,-121.3896764,,,n_2043354722,shop=beauty
"Spreckels, CA",,retail,445310,Grapes 'n' Grain,"385 Salinas Street, Salinas, CA, 93901",,https://grapesngrain.com/,36.6721697,-121.6553798,,,n_2117404877,shop=alcohol
"Spreckels, CA",,retail,445120,7-Eleven,,,,36.9318655,-121.7868615,,,n_2236132668,"shop=convenience, brand=7-Eleven"
"Spreckels, CA",,retail,445110,La Princesa Market,,,,36.9170034,-121.7708862,,,n_2369145056,shop=supermarket
"Spreckels, CA",,retail,452210,dd's Discounts,"North Main Street, Salinas, CA",,,36.7190543,-121.654531,,,n_2376686795,"shop=department_store, brand=dd's Discounts"
"Spreckels, CA",,retail,445120,Store,,,,36.6190999,-121.9376582,,,n_2459939884,shop=convenience
"Spreckels, CA",,retail,445120,7-Eleven,"335 South Sanborn Road, Salinas, CA, 93905-3127",+1 831 422 1492,https://www.7-eleven.com/locations/ca/salinas/335-s-sanborn-rd-24340,36.6675603,-121.6273223,,,n_2466720756,"shop=convenience, brand=7-Eleven"
"Spreckels, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/seaside/1212-fremont-ave-16747,36.6029494,-121.848261,,,n_2476100235,"shop=convenience, brand=7-Eleven"
"Spreckels, CA",,retail,445110,Corral Market & Deli,"2 Corral de Tierra Road, Salinas, CA, 93908",,,36.5783697,-121.727323,,,n_2566455945,shop=supermarket
"Spreckels, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/marina/3076-del-monte-blvd-25802,36.6832778,-121.802769,,,n_2606211036,"shop=convenience, brand=7-Eleven"
"Spreckels, CA",,retail,445120,Tommy's FoodMart,,,,36.6813441,-121.804915,,,n_2606267506,shop=convenience
"Spreckels, CA",,retail,445120,Food Mart,,,,36.6099386,-121.8569507,,,n_2607785403,shop=convenience
"Spreckels, CA",,retail,446110,Rite Aid,"1301 Munras Avenue, Monterey, CA, 93940",,https://www.riteaid.com/locations/ca/monterey/1301-munras-avenue.html,36.5829526,-121.8988918,,,n_2607916251,"shop=chemist, brand=Rite Aid"
"Spreckels, CA",,retail,453991,Elite Cigar & Vapor,"1760 Airline Highway, Hollister, CA, 95023",,,36.8363436,-121.3908853,,,n_2960434997,shop=tobacco
"Spreckels, CA",,retail,446120,Tropical Tanning & Spa,"351 San Felipe Road, Hollister, CA, 95023-3074",,,36.8615561,-121.4009198,,,n_3207166087,shop=beauty
"Spreckels, CA",,retail,445310,G & J Liquor Mart,"191 San Felipe Road, Hollister, CA, 95023",,,36.8595015,-121.4010274,,,n_3207166092,shop=alcohol
"Spreckels, CA",,retail,446120,Garcia's Nail Salon,,,,36.8609964,-121.4011387,,,n_3207166332,shop=beauty
"Spreckels, CA",,retail,446120,Stileto Nail,,,,36.8501953,-121.3971287,,,n_3207166363,shop=beauty
"Spreckels, CA",,retail,446120,Milady Nails Spa,,,,36.8614238,-121.4006857,,,n_3207166364,shop=beauty
"Spreckels, CA",,retail,453110,Barone's Florist,"191 San Felipe Road, Hollister, CA, 95023",+1 831 637 7343,https://www.baronesfloristonline.com/,36.8593383,-121.4002613,,,n_3207166988,shop=florist
"Spreckels, CA",,retail,446120,Star Hair & Nail,,,,36.8587095,-121.40201,,,n_3207166998,shop=beauty
"Spreckels, CA",,retail,446120,AM Salon & Spa,,,,36.840145,-121.3933923,,,n_3207288233,shop=beauty
"Spreckels, CA",,retail,452210,Ross,"2060 California Avenue, Sand City, CA, 93955",+1 831-394-1868,,36.6219438,-121.8425855,,,n_3331380077,"shop=department_store, brand=Ross"
"Spreckels, CA",,retail,452210,Marshalls,,,,36.618592,-121.8457508,,,n_3331380078,"shop=department_store, brand=Marshalls"
"Spreckels, CA",,retail,452210,Macy's,,,https://www.macys.com/stores/ca/salinas/northridge-mall_363.html,36.7192013,-121.6585668,,,n_3333365421,"shop=department_store, brand=Macy's"
"Spreckels, CA",,retail,452210,Target,"1640 North Main Street, Salinas, CA, 93906",+1 831-442-0547,https://www.target.com/sl/salinas/676,36.7146272,-121.6526981,,,n_3333365870,"shop=department_store, brand=Target"
"Spreckels, CA",,retail,452210,Marshalls,,,,36.716108,-121.6527933,,,n_3333365871,"shop=department_store, brand=Marshalls"
"Spreckels, CA",,retail,445110,Nob Hill Foods,"1912 Main Street, Watsonville, CA, 95076",+1 831-728-9555,https://www.raleys.com/store/617,36.9192993,-121.780584,,,n_3722170350,"shop=supermarket, brand=Nob Hill Foods"
"Spreckels, CA",,retail,452319,Dollar City & More,,,,36.6732591,-121.6176458,,,n_3862258564,shop=variety_store
"Spreckels, CA",,retail,445110,La Princesa Market,,,,36.6794137,-121.6050655,,,n_3862258791,shop=supermarket
"Spreckels, CA",,retail,445110,El Rey Market,,,,36.6768911,-121.6123431,,,n_3862259102,shop=supermarket
"Spreckels, CA",,retail,445310,Quality Market & Liquors,,,,36.6753637,-121.6151383,,,n_3862259104,shop=alcohol
"Spreckels, CA",,retail,452319,Cork-n-Bottle Fastmart,,,,36.6768246,-121.6265409,,,n_3862259108,shop=variety_store
"Spreckels, CA",,retail,445110,Foods Co,,,,36.6715281,-121.625783,,,n_3862259110,"shop=supermarket, brand=Foods Co"
"Spreckels, CA",,retail,445120,Express Mart,"836 North Main Street, Salinas, CA, 93906",,,36.6897657,-121.6519309,,,n_3862259114,shop=convenience
"Spreckels, CA",,retail,445110,Oak Park Market,"340 San Juan Grade Road, Salinas, CA, 93906",,,36.7337604,-121.6370489,,,n_3862259119,shop=supermarket
"Spreckels, CA",,retail,445310,Larry's Liquors,,,,36.8401232,-121.3922099,,,n_4093396830,shop=alcohol
"Spreckels, CA",,retail,446120,Fancy Nails,"201 McCray Street, Hollister, CA, 95023",,,36.8538893,-121.3977563,,,n_4093403002,shop=beauty
"Spreckels, CA",,retail,446120,M&M Salon,,,,36.8540034,-121.3977621,,,n_4093403718,shop=beauty
"Spreckels, CA",,retail,445310,Water World,,,,36.8543471,-121.3978038,,,n_4093403720,shop=beverages
"Spreckels, CA",,retail,446191,Natural Wonder Health Food Store,"Third Street, San Juan Bautista, CA, 95045",,,36.844395,-121.5367285,,,n_4119868211,shop=health_food
"Spreckels, CA",,retail,445110,Santa Fe,,,,36.6941688,-121.6529657,,,n_4196371469,shop=supermarket
"Spreckels, CA",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ca/salinas/14263,36.6953942,-121.6529857,,,n_4196372278,"shop=variety_store, brand=Dollar General"
"Spreckels, CA",,retail,446120,Isabella's Hair Salon,,,,36.8530815,-121.4018417,,,n_4381516897,shop=beauty
"Spreckels, CA",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-226+reservation+rd-marina-ca-93933/id=4997,36.685988,-121.797664,,,n_4505464331,"shop=chemist, brand=Walgreens"
"Spreckels, CA",,retail,452319,Dollar Tree,"Reservation Road, Marina, CA, 93933",,https://www.dollartree.com/locations/ca/marina/4202/,36.6878249,-121.7974941,,,n_4505476039,"shop=variety_store, brand=Dollar Tree"
"Spreckels, CA",,retail,445110,Grocery Outlet,,,,36.6879217,-121.797912,,,n_4505476040,"shop=supermarket, brand=Grocery Outlet"
"Spreckels, CA",,retail,445120,7-Eleven,,,https://www.7-eleven.com/locations/ca/marina/140-beach-rd-32415,36.694201,-121.80168,,,n_4505476049,"shop=convenience, brand=7-Eleven"
"Spreckels, CA",,retail,446120,Ulta Beauty,"Salinas, CA, 93906",+1 831-444-0495,https://www.ulta.com/stores/salinas-ca-1127,36.7207974,-121.6574263,,,n_4582002147,"shop=beauty, brand=Ulta Beauty"
"Spreckels, CA",,retail,445310,The Grapevine,,,,36.4785823,-121.7296568,,,n_4840935151,shop=alcohol
"Spreckels, CA",,retail,446120,Skinovation,,,,36.5223873,-121.8091199,,,n_4917628773,shop=beauty
"Spreckels, CA",,retail,445110,Lucky,,,,36.5426092,-121.9057099,,,n_4917628775,"shop=supermarket, brand=Lucky"
"Spreckels, CA",,retail,446120,Pallacio Day Spa,,,,36.8506418,-121.4035641,,,n_4917628952,shop=beauty
"Spreckels, CA",,retail,446120,J.C. Nails,,,,36.9391203,-121.7770627,,,n_4917629385,shop=beauty
"Spreckels, CA",,retail,453991,Discount Cigarettes,,,,36.9391602,-121.7770396,,,n_4917629498,shop=tobacco
"Spreckels, CA",,retail,445120,Orchard Park Market,,,,36.9357515,-121.7437356,,,n_4917629499,shop=convenience
