Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Liva Food Distributor,"3155 Iris Avenue, San Ysidro, 92173",,,32.568926,-117.06431,,,n_596030433,shop=supermarket
"Casa de Oro-Mount Helix, CA",,wholesale,424410,LiVa Market,"8450 Jamacha Road, 92114",+1 (619) 797-0925,https://livadistributors.com,32.7178929,-117.0265843,,,n_11173468037,shop=grocery
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"8125 Fletcher Parkway, La Mesa, CA, 91942",+1 619-667-8504,https://www.costco.com/warehouse-locations/la-mesa-ca-469.html,32.7740116,-117.0243048,,,n_596171966,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco Business Center,"7803 Othello Avenue, San Diego, CA, 92111",+1 858-810-5835,https://www.costco.com/warehouse-locations/san-diego-bus-ctr-san-diego-ca-578.html,32.8165136,-117.1536762,,,n_596381197,"shop=wholesale, wholesale=yes, brand=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"4605 Morena Boulevard, San Diego, CA, 92117-3650",+1 858-270-6920,https://www.costco.com/warehouse-locations/morena-san-diego-ca-401.html,32.8216686,-117.2250919,,,n_959917538,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Sam's Club,,,,32.4932661,-116.9321604,,,n_5363611198,"shop=wholesale, brand=Sam's Club"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Carnes Frias del Norte,,,,32.5119626,-116.994099,,,n_11687208374,shop=wholesale
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"2345 Fenton Parkway, San Diego, CA, 92108-4743",+1 619-358-4000,https://www.costco.com/warehouse-locations/san-diego-CA-488.html,32.7825128,-117.1286269,,,w_31803884,"shop=wholesale, wholesale=yes, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"650 Gateway Center Drive, San Diego, CA, 92102",+1 619-358-2303,https://www.costco.com/warehouse-locations/se-san-diego-san-diego-ca-483.html,32.7127371,-117.1164963,,,w_31807419,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Sam's Club,"6336 College Grove Drive, San Diego, CA, 92115",+1 619-858-0084,https://www.samsclub.com/club/san-diego-ca-sams-club/6235,32.7395334,-117.0559019,,,w_31809746,"shop=wholesale, brand=Sam's Club"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"12350 Carmel Mountain Road, San Diego, CA, 92128",+1 858-675-0379,https://www.costco.com/warehouse-locations/carmel-mountain-san-diego-ca-452.html,32.9875671,-117.0782498,,,w_31816955,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"12155 Tech Center Drive, Poway, CA, 92064",+1 858-848-2451,https://www.costco.com/warehouse-locations/poway-ca-775.html,32.9370517,-117.032921,,,w_44217186,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,,,,32.5085065,-116.9644089,,,w_195830733,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Sam's Club,,,,32.5155607,-117.0056019,,,w_440127484,"shop=wholesale, brand=Sam's Club"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"8944 Boulevard General Rodolfo Sánchez Taboada, Tijuana, Baja California, 22010",+52 (664) 633 3555,,32.5320537,-117.0289692,,,w_475039122,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"895 East H Street, Chula Vista, CA, 91910",+1 619-656-0826,https://www.costco.com/warehouse-locations/rancho-del-rey-chula-vista-ca-460.html,32.6377758,-117.0220312,,,w_492853483,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"1130 Broadway, Chula Vista, CA, 91911",+1 619-205-1501,https://www.costco.com/warehouse-locations/chula-vista-ca-781.html,32.6085934,-117.0839143,,,w_503420294,"shop=wholesale, brand=Costco, operator=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,,,,,32.5279537,-116.9788068,,,w_660832055,shop=wholesale
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Costco,"101 Town Center Parkway, Santee, CA, 92071",+1 619-562-3227,https://www.costco.com/warehouse-locations/santee-ca-403.html,32.8407051,-116.9870505,,,w_934163150,"shop=wholesale, brand=Costco"
"Casa de Oro-Mount Helix, CA",,wholesale,424490,Hookah Store El Cajon Cash n Carry,"1198 East Main Street, El Cajon, CA, 92019",,,32.7952865,-116.9405542,,,w_993796373,shop=wholesale
