Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"El Nido, CA",,wholesale,424490,Boulevard Florist Wholesale Market,"14507 Hawthorne Boulevard, Lawndale, CA, 90260",+1-310-219-7600,https://www.boulevardflst.com,33.8999589,-118.353006,,,n_6441613676,shop=florist
"El Nido, CA",,wholesale,424490,Costco Business Center,"12530 Prairie Avenue, Hawthorne, CA, 90250-4638",+1 310-220-8826,https://www.costco.com/warehouse-locations/hawthorne-bus-ctr-hawthorne-ca-564.html,33.9183868,-118.343295,,,n_3362906962,"shop=wholesale, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Nuts & More,,,,34.0328829,-118.3719886,,,n_8487325144,shop=wholesale
"El Nido, CA",,wholesale,424490,Restaurant Depot,"5333 West Jefferson Boulevard, Los Angeles, CA, 90016",+1 323-964-1220,https://www.restaurantdepot.com/,34.0261677,-118.3639217,,,n_9525315879,shop=wholesale
"El Nido, CA",,wholesale,424490,CWH Wholesale Hardware and Apartment Supply,"7910 Sepulveda Boulevard, Van Nuys, 91405",+1-818-787-9766,https://cwhco.com/,34.2144429,-118.4657132,,,n_10973626419,"shop=wholesale, operator=Yosuf M Abedi"
"El Nido, CA",,wholesale,424490,Giant Wholesale,,,,34.220146,-118.3678999,,,n_11923806746,shop=wholesale
"El Nido, CA",,wholesale,424490,"E3 Vehicles | Golf Cart Sales, Repair & Rentals in Hermosa Beach","619 Pacific Coast Highway, Hermosa Beach, CA, 90254",(310) 386-3679,,33.8596527,-118.3917845,,,n_12754238679,"shop=wholesale, wholesale=golf_carts, operator=E3 Vehicles"
"El Nido, CA",,wholesale,424490,Costco,"13463 Washington Boulevard, Marina del Rey, CA, 90292",+1 310-754-2003,https://www.costco.com/warehouse-locations/culver-city-marina-del-rey-ca-479.html,33.993005,-118.4471863,,,w_160400943,"shop=wholesale, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Costco Business Center,"11428 Sherman Way, North Hollywood, CA, 91605",+1 818-423-7082,https://www.costco.com/warehouse-locations/burbank-bus-ctr-north-hollywood-ca-653.html,34.1995064,-118.3802964,,,w_322151161,"shop=wholesale, brand=Costco"
"El Nido, CA",,wholesale,424490,Costco,"21800 Victory Boulevard, Woodland Hills, CA, 91367-2227",+1 818-884-9099,https://www.costco.com/warehouse-locations/woodland-hills-ca-1205.html,34.1866939,-118.6032066,,,w_374605455,"shop=wholesale, brand=Costco"
"El Nido, CA",,wholesale,424490,Costco,"2660 Park Center Drive, Simi Valley, CA, 93065",+1 805-578-3301,https://www.costco.com/warehouse-locations/simi-valley-ca-128.html,34.2841799,-118.7962907,,,w_396741176,"shop=wholesale, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Costco,"8810 Tampa Avenue, Northridge, CA, 91324-3519",+1 818-775-1860,https://www.costco.com/warehouse-locations/northridge-ca-437.html,34.2307719,-118.5502263,,,w_403959856,"shop=wholesale, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Costco,"13550 Paxton Street, Pacoima, CA, 91331-2352",+1 818-272-2700,https://www.costco.com/warehouse-locations/pacoima-ca-1071.html,34.2718956,-118.4268411,,,w_431145259,"shop=wholesale, brand=Costco"
"El Nido, CA",,wholesale,424490,Costco,"6100 Sepulveda Boulevard, Van Nuys, CA, 91411",(818) 989-5132,https://www.costco.com/warehouse-locations/van-nuys-ca-48.html,34.1813503,-118.4636953,,,w_432068626,"shop=wholesale, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Costco,"14501 Hindry Avenue, Hawthorne, CA, 90250",+1 310-727-0403,https://www.costco.com/warehouse-locations/hawthorne-ca-671.html,33.8998138,-118.3735468,,,w_439613757,"shop=wholesale, wholesale=general, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Costco,"3560 West Century Boulevard, Inglewood, CA, 90303",+1 310-242-2777,https://www.costco.com/warehouse-locations/inglewood-ca-769.html,33.9428058,-118.3334579,,,w_443435734,"shop=wholesale, brand=Costco, operator=Costco"
"El Nido, CA",,wholesale,424490,Costco,"5700 Lindero Canyon Road, Westlake Village, CA, 91362-4063",+1 818-597-3901,https://www.costco.com/warehouse-locations/westlake-village-ca-117.html,34.1518736,-118.797162,,,w_461863064,"shop=wholesale, brand=Costco"
