Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Isleton, CA",,wholesale,424490,Costco,"2680 Reynolds Ranch Parkway, Lodi, CA, 95240-6848",+1 209-366-7300,https://www.costco.com/warehouse-locations/lodi-ca-1091.html,38.1004185,-121.2631554,,,n_7524933488,"shop=wholesale, brand=Costco"
"Isleton, CA",,wholesale,424490,S & R Egg Ranch,"10710 East Collier Road, Acampo, CA, 95220",+1 209-333-1415,https://sreggranch.com,38.2174616,-121.185855,,,n_11671490035,"shop=wholesale, operator=Peter Scheu"
"Isleton, CA",,wholesale,424490,Costco,"5151 Heidorn Road, Brentwood, CA, 94513",,,37.9571284,-121.745876,,,n_12644335899,"shop=wholesale, brand=Costco"
"Isleton, CA",,wholesale,424490,Sam's Club,"1500 Helen Power Drive, Vacaville, CA, 95687",+1 707-449-0290,https://www.samsclub.com/club/vacaville-ca-sams-club/6433,38.3636918,-121.9571355,,,w_32562102,"shop=wholesale, brand=Sam's Club, operator=Walmart"
"Isleton, CA",,wholesale,424490,Costco,"7981 East Stockton Boulevard, Sacramento, CA, 95823-9606",+1 916-682-3569,https://www.costco.com/warehouse-locations/sacramento-ca-464.html,38.4679987,-121.4140321,,,w_198416620,"shop=wholesale, brand=Costco, operator=Costco"
"Isleton, CA",,wholesale,424490,Costco,"2201 Verne Roberts Circle, Antioch, CA, 94509-7911",+1 925-757-7130,https://www.costco.com/warehouse-locations/antioch-ca-1002.html,38.008698,-121.8354578,,,w_224022985,"shop=wholesale, brand=Costco, operator=Costco"
"Isleton, CA",,wholesale,424490,Costco,"1051 Hume Way, Vacaville, CA, 95687",+1 707-453-7343,https://www.costco.com/warehouse-locations/vacaville-ca-694.html,38.3505689,-121.9802389,,,w_252995702,"shop=wholesale, brand=Costco, operator=Costco"
"Isleton, CA",,wholesale,424490,Costco,"1616 East Hammer Lane, Stockton, CA, 95210-4119",+1 209-478-2040,https://www.costco.com/warehouse-locations/stockton-ca-38.html,38.0188006,-121.2925038,,,w_287559207,"shop=wholesale, brand=Costco, operator=Costco"
"Isleton, CA",,wholesale,424490,Sam's Club,"8250 Power Inn Road, Sacramento, CA, 95828",+1 916-688-2126,https://www.samsclub.com/club/sacramento-ca-sams-club/6622,38.4582451,-121.4074966,,,w_457364893,"shop=wholesale, brand=Sam's Club, operator=Walmart"
"Isleton, CA",,wholesale,424490,Costco,"7400 Elk Grove Boulevard, Elk Grove, CA, 95757-6299",+1 916-465-6050,https://www.costco.com/warehouse-locations/elk-grove-ca-1274.html,38.4060828,-121.4138917,,,w_686486549,"shop=wholesale, wholesale=yes, brand=Costco, operator=Heather Dettore"
