Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Lakeland Village, CA",,wholesale,424490,Costco,"12700 Day Street, Moreno Valley, CA, 92553-7521",+1 951-697-8900,https://www.costco.com/warehouse-locations/moreno-valley-ca-455.html,33.9360407,-117.2757429,,,n_4424333189,"shop=wholesale, brand=Costco, operator=Costco"
"Lakeland Village, CA",,wholesale,424490,Clearsource,,,,33.6271622,-117.6069728,,,n_11350205469,shop=wholesale
"Lakeland Village, CA",,wholesale,424490,Costco,"480 North McKinley Street, Corona, CA, 92879-1291",+1 951-279-1190,https://www.costco.com/warehouse-locations/corona-ca-432.html,33.8867144,-117.5244794,,,w_31965380,"shop=wholesale, brand=Costco"
"Lakeland Village, CA",,wholesale,424490,Costco,"26610 Ynez Road, Temecula, CA, 92591-4697",+1 951-719-2000,https://www.costco.com/warehouse-locations/temecula-ca-491.html,33.5213203,-117.1542296,,,w_55881990,"shop=wholesale, brand=Costco, operator=Costco"
"Lakeland Village, CA",,wholesale,424490,Costco,"27972 Cabot Road, Laguna Niguel, CA, 92677",+1 949-364-0217,https://www.costco.com/warehouse-locations/laguna-niguel-ca-28.html,33.5548491,-117.6767566,,,w_100105474,"shop=wholesale, brand=Costco, operator=Costco"
"Lakeland Village, CA",,wholesale,424490,Sam's Club,"40500 Murrieta Hot Springs Road, Murrieta, CA, 92563",+1 951-696-4500,https://www.samsclub.com/club/murrieta-ca-sams-club/4822,33.553129,-117.1777015,,,w_112262968,"shop=wholesale, brand=Sam's Club"
"Lakeland Village, CA",,wholesale,424490,Costco,"27220 Heather Ridge, Laguna Niguel, CA, 92677",+1 949-389-8703,https://www.costco.com/warehouse-locations/laguna-mrktplc-laguna-niguel-ca-690.html,33.566699,-117.7109706,,,w_137931342,"shop=wholesale, brand=Costco, operator=Costco"
"Lakeland Village, CA",,wholesale,424490,Costco,"33961 Doheny Park Road, San Juan Capistrano, CA, 92675",+1 949-240-3558,https://www.costco.com/warehouse-locations/san-juan-capistrano-ca-429.html,33.4697706,-117.678119,,,w_294743108,"shop=wholesale, brand=Costco"
"Lakeland Village, CA",,wholesale,424490,Costco,"115 Technology Drive, Irvine, CA, 92618",+1 949-453-0435,https://www.costco.com/warehouse-locations/irvine-ca-454.html,33.6602363,-117.745601,,,w_342128078,"shop=wholesale, brand=Costco, operator=Costco"
"Lakeland Village, CA",,wholesale,424490,Sam's Club,"6363 Valley Springs Parkway, Riverside, CA, 92507",+1 951-653-4840,https://www.samsclub.com/club/riverside-ca-sams-club/6378,33.9352465,-117.2887482,,,w_444490321,"shop=wholesale, brand=Sam's Club"
"Lakeland Village, CA",,wholesale,424490,Costco,"29315 Central Avenue, Lake Elsinore, CA, 92532-2212",+1 951-253-6030,https://www.costco.com/warehouse-locations/lake-elsinore-ca-746.html,33.6964291,-117.339846,,,w_637696991,"shop=wholesale, brand=Costco, operator=Costco"
"Lakeland Village, CA",,wholesale,424490,Sam's Club,"1375 East Ontario Avenue, Corona, CA, 92881",+1 951-582-0319,https://www.samsclub.com/club/corona-ca-sams-club/4709,33.8467402,-117.5369953,,,w_678733997,"shop=wholesale, wholesale=yes, brand=Sam's Club"
"Lakeland Village, CA",,wholesale,424490,Costco,"35875 Warm Springs Parkway, Murrieta, CA, 92563",+1 951-223-4839,https://www.costco.com/warehouse-locations/murrieta-ca-1390.html,33.6004922,-117.1710332,,,w_1092008308,"shop=wholesale, brand=Costco"
