Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Pleasanton, CA",,wholesale,424490,California Wholesale Florist,,,,37.8027409,-122.277752,,,n_3393110026,shop=florist
"Pleasanton, CA",,wholesale,424490,Pinnacle Wholesale Delivery,,,,37.7988497,-122.2714613,,,n_3990935832,shop=greengrocer
"Pleasanton, CA",,wholesale,424490,United Wholesale Flowers,"2510 Channing Avenue, San Jose, 95131",,https://www.unitedwholesaleflowers.com/,37.3771836,-121.9393127,,,w_123162167,shop=florist
"Pleasanton, CA",,wholesale,424490,Chanco Housewares and Restaurant Supply,,,,37.7993668,-122.273464,,,n_3990935829,shop=wholesale
"Pleasanton, CA",,wholesale,424490,Lee Brothers Cash & Carry,,,,37.3687801,-121.8967857,,,n_6479970963,"shop=wholesale, wholesale=food, operator=Lee Brothers Foodservice"
"Pleasanton, CA",,wholesale,424490,Evergreen Group Co. Ltd.,"1045 North 7th Street, San Jose, CA, 95112",,,37.3587926,-121.8994066,,,n_7693324784,shop=wholesale
"Pleasanton, CA",,wholesale,424490,Ariel Wholesale,"1800 South 10th Street, San Jose, CA, 95112",,https://ariel-wholesale.business.site/,37.3138336,-121.859409,,,n_8059993192,shop=wholesale
"Pleasanton, CA",,wholesale,424490,Sac-Val Janitorial Supply,"890 Service Street, San Jose, CA, 95112",,,37.3689956,-121.8897372,,,n_8332391759,shop=wholesale
"Pleasanton, CA",,wholesale,424490,AC Foods Wholesale,"1117 Montague Expressway, Milpitas, CA, 95035",,,37.4172254,-121.8840926,,,n_8508629935,"shop=wholesale, wholesale=food, operator=AC Family Inc."
"Pleasanton, CA",,wholesale,424490,Deka Batteries,"967 Stockton Avenue, San Jose, CA, 95110",,https://www.eastpennmanufacturing.com/,37.3457444,-121.9196133,,,n_9102658980,"shop=wholesale, wholesale=yes, operator=East Penn Manufacturing"
"Pleasanton, CA",,wholesale,424490,Costco,"350 Newpark Mall, Newark, CA, 94560",+1 510-493-2945,https://www.costco.com/warehouse-locations/newark-ca-1660.html,37.525842,-121.9990692,,,n_11473878545,"shop=wholesale, brand=Costco"
"Pleasanton, CA",,wholesale,424490,MOHO Wholesale,"2311 North Tracy Boulevard, Tracy, CA, 95376",+1-628-252-7104,,37.7531583,-121.435896,,,n_12471554431,shop=wholesale
"Pleasanton, CA",,wholesale,424490,Costco,"435 Newpark Mall, Newark, CA, 94560",+15104932945,https://www.costco.com/warehouse-locations/newark-CA-1660.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,37.5276688,-122.0000114,,,n_12550777715,"shop=wholesale, brand=Costco"
"Pleasanton, CA",,wholesale,424490,Costco,7200 Johnson Drive,+1 925 475-4000,https://www.costco.com/,37.6945582,-121.9174209,,,n_12597023418,shop=wholesale
"Pleasanton, CA",,wholesale,424490,Costco,"5151 Heidorn Road, Brentwood, CA, 94513",,,37.9571284,-121.745876,,,n_12644335899,"shop=wholesale, brand=Costco"
"Pleasanton, CA",,wholesale,424490,Costco,"2400 Monument Boulevard, Concord, CA, 94520-3105",+1 925-566-4003,https://www.costco.com/warehouse-locations/concord-ca-663.html,37.9576392,-122.0322994,,,w_31512320,"shop=wholesale, brand=Costco, operator=Costco"
"Pleasanton, CA",,wholesale,424490,Costco,"2201 Senter Road, San Jose, CA, 95112",+1 408-275-0199,https://www.costco.com/warehouse-locations/san-jose-ca-148.html,37.3098971,-121.8522394,,,w_37681898,"shop=wholesale, brand=Costco, operator=Costco"
"Pleasanton, CA",,wholesale,424490,Costco,"1601 Coleman Avenue, Santa Clara, CA, 95050-3122",+1 408-567-9000,https://www.costco.com/warehouse-locations/santa-clara-ca-129.html,37.3569067,-121.9393309,,,w_37907886,"shop=wholesale, brand=Costco"
"Pleasanton, CA",,wholesale,424490,Costco,"150 Lawrence Station Road, Sunnyvale, CA, 94086",+1 408-470-8000,https://www.costco.com/warehouse-locations/sunnyvale-ca-423.html,37.3718239,-121.9944864,,,w_38263383,"shop=wholesale, brand=Costco, operator=Costco"
