Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Hartford, CT",ethnic store,retail,448140,Sadhna's Saris,"495 Union Street Suite 1118 And 1116, Waterbury, CT 06706, USA",(860) 960-1456,https://www.facebook.com/sadhnasllc,41.5478938,-73.0245711,4.4,20.0,ChIJFWb3vBvB54kRlaiytbYK1xs,"clothing_store, home_goods_store, point_of_interest, jewelry_store, store, establishment"
"Hartford, CT",grocery store,retail,445110,Price Chopper,"1220 Storrs Rd, Storrs, CT 06268, USA",(860) 553-6555,https://www.pricechopper.com/stores/ct/storrs/price-chopper-243.html,41.8023351,-72.24146809999999,4.1,754.0,ChIJseYVliOK5okROEMVvhPOzRs,"supermarket, atm, grocery_or_supermarket, bakery, finance, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Christina's Grocery,"227 Sisson Ave, Hartford, CT 06105, USA",(860) 232-0264,,41.7650145,-72.7073418,4.0,81.0,ChIJnRQb_ExT5okRv3X0BEkZluA,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Stop & Shop,"1095 Kennedy Rd, Windsor, CT 06095, USA",(860) 688-0860,https://stores.stopandshop.com/ct/windsor/1095-kennedy-road?y_source=1_NDE5NTMwOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,41.8933739,-72.6525063,4.2,793.0,ChIJCWsSqvr-5okRbimX5RbPMvc,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,All Star Grocery,"1081 Capitol Ave, Hartford, CT 06105, USA",(860) 232-0226,,41.75991579999999,-72.71327529999999,4.2,52.0,ChIJrwEkmbWs54kRgSaiD9Nye1E,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Middletown Grocery Store,"28 Broad St, Middletown, CT 06457, USA",(860) 854-6146,,41.5571799,-72.6499484,3.9,49.0,ChIJ2bN-zkJK5okRxVaJTZ2bX44,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Carolina Grocery,"867 New Britain Ave, Hartford, CT 06106, USA",(860) 953-0058,https://carolinagroceryllc.wixsite.com/carolinagrocerycom,41.7317899,-72.71243849999999,4.6,19.0,ChIJ_____ytT5okRXxmYKq8e104,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,452210,Walmart Supercenter,"420 Buckland Hills Dr, Manchester, CT 06042, USA",(860) 644-5100,https://www.walmart.com/store/1891-manchester-ct/?veh=seo_loc,41.8064746,-72.5376747,3.8,6439.0,ChIJgRXygZNX5okRc63KKxa-ujo,"department_store, hardware_store, grocery_or_supermarket, electronics_store, furniture_store, bakery, clothing_store, home_goods_store, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Price Chopper,"410 Queen St, Southington, CT 06489, USA",(860) 621-2128,https://www.pricechopper.com/stores/ct/southington/price-chopper-203.html,41.6276109,-72.8752026,4.2,650.0,ChIJT_O8ahW354kRGo9cyII_jRc,"supermarket, atm, grocery_or_supermarket, bakery, finance, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Stop & Shop,"99 Linwood Ave, Colchester, CT 06415, USA",(860) 537-2361,https://stores.stopandshop.com/ct/colchester/99-linwood-avenue?y_source=1_NDE5NTg2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,41.5714411,-72.3337353,3.7,835.0,ChIJ9xpqYQZC5okReRV9W4oaDBo,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Price Chopper,"675 Poquonock Ave, Windsor, CT 06095, USA",(860) 687-1411,https://www.pricechopper.com/stores/ct/windsor/price-chopper-221.html,41.8706791,-72.66149709999999,4.1,821.0,ChIJD_qCjwn_5okRKcdh3DuqjqU,"supermarket, atm, grocery_or_supermarket, bakery, finance, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Ramirez Grocery Store,"530 Main St, Middletown, CT 06457, USA",(860) 346-0533,,41.5634325,-72.6513136,3.9,12.0,ChIJ3WZX11pK5okR80xcHOIKM6A,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Lenny's Grocery II,"362 Chestnut St #1, New Britain, CT 06051, USA",(860) 229-8374,,41.6668835,-72.7687962,4.3,103.0,ChIJx8r7CbKz54kRbS9pA_zMhBw,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,W&W Grocery Store,"172 Willow St, Waterbury, CT 06710, USA",(475) 235-2393,,41.5624025,-73.04761440000001,4.7,13.0,ChIJBRxq6eHB54kRk4w_ibOv5hU,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,452210,Target,"300 Chase Ave, Waterbury, CT 06704, USA",(203) 437-3673,https://www.target.com/sl/waterbury/2156,41.582583,-73.0343386,4.1,360.0,ChIJmyDQT4nA54kRLnsZvgQZE60,"department_store, shoe_store, electronics_store, furniture_store, clothing_store, home_goods_store, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,452210,Walmart,"3164 Berlin Tpke, Newington, CT 06111, USA",(860) 667-7657,https://www.walmart.com/store/2965-newington-ct?veh=seo_loc,41.6629796,-72.7183982,4.1,5356.0,ChIJnZ2U_dey54kRHHqf-MC7rHA,"department_store, hardware_store, grocery_or_supermarket, electronics_store, furniture_store, clothing_store, home_goods_store, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,The Guys Deli Grocery Store.,"649 E Main St, Waterbury, CT 06702, USA",(203) 527-6815,,41.5540024,-73.0294001,4.7,14.0,ChIJKxklVmTB54kRMPFWw5jtPs4,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,452210,Walmart Supercenter,"495 Flatbush Ave, Hartford, CT 06106, USA",(860) 953-0040,https://www.walmart.com/store/5095-hartford-ct/?veh=seo_loc,41.7400588,-72.71340169999999,3.9,6738.0,ChIJ_5OT-dSs54kRiJHhINCdR2c,"department_store, hardware_store, grocery_or_supermarket, electronics_store, furniture_store, bakery, clothing_store, home_goods_store, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Karina's Mexican Grocery,"99 Pearl St, Enfield, CT 06082, USA",(860) 741-9003,,41.9953736,-72.5989184,4.2,57.0,ChIJKSn6lbPk5okRH7epOe7RZv0,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Corner Grocery,"423 Willow St, Waterbury, CT 06710, USA",(203) 596-7379,,41.5692419,-73.0489831,4.3,34.0,ChIJS0cAZ1rA54kRh1qWXrAokpE,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Price Rite Marketplace of W. Springfield,"1106 Union St, West Springfield, MA 01089, USA",(413) 731-7344,https://www.priceritemarketplace.com/,42.0949518,-72.6076786,4.2,2230.0,ChIJTcxa7Mjm5okRsVqTz4X9ILw,"grocery_or_supermarket, supermarket, bakery, food, point_of_interest, store, establishment"
"Hartford, CT",grocery store,retail,445110,Price Rite Marketplace of New Britain,"150 Columbus Blvd, New Britain, CT 06051, USA",(860) 826-0588,https://www.priceritemarketplace.com/,41.6672652,-72.7753829,4.1,1669.0,ChIJadV8BrSz54kRVKuOqKBlYQ4,"grocery_or_supermarket, bakery, supermarket, store, point_of_interest, food, establishment"
"Hartford, CT",grocery store,retail,445110,Bmd Grocery,"Russ St, Hartford, CT 06106, USA",(860) 206-4967,,41.7613147,-72.6867443,4.1,15.0,ChIJ14fpcUJT5okRUCdSzbvroiU,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Hartford, CT",grocery store,retail,445110,San Pedro Grocery,"177 Albany Ave, Hartford, CT 06120, USA",(860) 310-2133,,41.7754943,-72.6799319,4.6,18.0,ChIJ21LtgZ5U5okRTDv72hSTXVA,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Hartford, CT",grocery store,retail,452210,Walmart,"80 Town Line Rd, Rocky Hill, CT 06067, USA",(860) 563-4355,https://www.walmart.com/store/2900-rocky-hill-ct?veh=seo_loc,41.6791709,-72.6570692,4.0,3378.0,ChIJJ4ZDxpxN5okRWp1rOeKuguw,"department_store, hardware_store, electronics_store, furniture_store, clothing_store, home_goods_store, grocery_or_supermarket, store, point_of_interest, food, establishment"
"Hartford, CT",grocery store,retail,445110,Downtown Supermarket,"121 Spring St, Springfield, MA 01105, USA",(413) 214-6415,,42.1073805,-72.58613629999999,3.8,154.0,ChIJ5TLJeh7n5okRDrz2_Y83ptM,"grocery_or_supermarket, atm, supermarket, finance, store, point_of_interest, food, establishment"
