Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Shelton, CT",ethnic store,retail,448140,Sadhna's Saris,"495 Union Street Suite 1118 And 1116, Waterbury, CT 06706, USA",(860) 960-1456,https://www.facebook.com/sadhnasllc,41.5478938,-73.0245711,4.4,20.0,ChIJFWb3vBvB54kRlaiytbYK1xs,"clothing_store, jewelry_store, home_goods_store, point_of_interest, store, establishment"
"Shelton, CT",ethnic store,retail,445110,Deangely Market,"362 Oakville Ave, Waterbury, CT 06708, USA",(203) 597-9875,http://deangely-market.paqe.io/,41.58033349999999,-73.08163499999999,4.2,27.0,ChIJb2A_fiHA54kR_ACUMdw2eTM,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Shelton, CT",grocery store,retail,445110,Good Nature Market,"15 Broadway, New Haven, CT 06511, USA",(203) 787-4533,http://theshopsatyale.com/good-nature-market/,41.3110918,-72.9302933,3.4,303.0,ChIJESJOw7PZ54kRWmRjqNCUJ2I,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,445310,"SAVOR - Deli, Grocery & Beer Store","597 Washington Ave, Bridgeport, CT 06604, USA",(203) 916-1200,,41.1827104,-73.19469339999999,3.7,39.0,ChIJt61rNyoP6IkRdZ1pcmkOOVo,"liquor_store, meal_takeaway, grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,445120,Krauszers Food Stores,"911 Campbell Ave, West Haven, CT 06516, USA",(203) 932-1416,http://krauszers-store-west-haven.poi.place/,41.2841466,-72.9568816,3.9,252.0,ChIJGfP4zo_Y54kRS0Wz4Lppzl8,"convenience_store, grocery_or_supermarket, store, food, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,445110,The Guys Deli Grocery Store.,"649 E Main St, Waterbury, CT 06702, USA",(203) 527-6815,,41.5540024,-73.0294001,4.7,14.0,ChIJKxklVmTB54kRMPFWw5jtPs4,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,452210,Walmart Supercenter,"315 Foxon Blvd, New Haven, CT 06513, USA",(203) 467-7509,https://www.walmart.com/store/5439-new-haven-ct/?veh=seo_loc,41.320042,-72.877175,3.9,5482.0,ChIJO-jOlUDX54kRBU-4MMN35TA,"department_store, bakery, furniture_store, electronics_store, grocery_or_supermarket, hardware_store, clothing_store, home_goods_store, store, food, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,,Sam's Food Stores,"665 Campbell Ave, West Haven, CT 06516, USA",(203) 937-5107,https://samsfoodstores.com/,41.27625889999999,-72.95279630000002,3.5,53.0,ChIJkdBE9oPY54kRVV5Oe_S97PE,"store, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,445110,Price Chopper,"410 Queen St, Southington, CT 06489, USA",(860) 621-2128,https://www.pricechopper.com/stores/ct/southington/price-chopper-203.html,41.6276109,-72.8752026,4.2,650.0,ChIJT_O8ahW354kRGo9cyII_jRc,"supermarket, atm, bakery, grocery_or_supermarket, finance, store, food, point_of_interest, establishment"
"Shelton, CT",grocery store,retail,452210,Walmart Supercenter,"844 N Colony Rd, Wallingford, CT 06492, USA",(203) 269-6622,https://www.walmart.com/store/2371-wallingford-ct/?veh=seo_loc,41.477496,-72.8105442,4.0,5519.0,ChIJe0xIya7O54kRL8O_Hbh9sW4,"department_store, bakery, furniture_store, electronics_store, grocery_or_supermarket, hardware_store, clothing_store, home_goods_store, store, food, point_of_interest, establishment"
