Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Albany, NY",grocery store,wholesale,424410,BJ's Wholesale Club,"01440 Central Ave, Albany, NY 12205, USA",(518) 438-1400,https://www.bjs.com/cl/albany/0007/?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0007%7Cstore%7C20240816,42.7046775,-73.8301832,3.5,314.0,ChIJt7yzG1wL3okRg-1pi6L4OSg,"gas_station, liquor_store, grocery_or_supermarket, electronics_store, bakery, car_repair, health, food, point_of_interest, store, establishment"
"Albany, NY",retail food,wholesale,424490,Sysco Albany - Food Distributor & Restaurant Supplies,"1 Liebich Ln, Clifton Park, NY 12065, USA",(518) 877-3200,https://cloud.email.sysco.com/become-a-customer?utm_medium=googlemybusiness&utm_source=google.com&utm_campaign=gmb_opcopages&utm_content=albany,42.8974767,-73.7681645,2.5,258.0,ChIJp86x8bUV3okRE6Fjy5_omfk,"food, point_of_interest, store, establishment"
"Albany, NY",wholesale,wholesale,424490,Best Value wholesale,"612 Central Ave, Albany, NY 12206, USA",(518) 451-9496,https://www.bestvaluewholesalee.com/,42.6723189,-73.7822408,5.0,3.0,ChIJESai1gQL3okRtmW8uaIKvFg,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,Marcone Supply - Wholesale Only,"15 Industrial Park Rd, Albany, NY 12206, USA",(518) 489-3072,http://www.apwagner.com/,42.67715099999999,-73.7728711,3.8,32.0,ChIJ204LH7gL3okRshn_d9GNsNo,"point_of_interest, store, establishment"
"Albany, NY",wholesale,wholesale,424490,Black Horse Farms Wholesale,"155 Fountain Flats Rd, Coxsackie, NY 12051, USA",(518) 755-5289,http://blackhorsewholesale.com/,42.33586,-73.8547342,4.8,15.0,ChIJI1-yVgjA3YkRFNVpX41StwU,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,SPECTRUM WHOLESALE,"146 S Central Ave, Mechanicville, NY 12118, USA",(518) 421-2374,,42.8986635,-73.68930259999999,4.2,5.0,ChIJYdAFZLcX3okRq3sd_zDHVp0,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,Wholesale Recreation,"25 Walker Way, Colonie, NY 12205, USA",(518) 368-8324,,42.7140965,-73.8443353,3.0,1.0,ChIJnx8W86p03okRt0u_9u5ujIU,"general_contractor, point_of_interest, store, establishment"
"Albany, NY",wholesale,wholesale,424490,B2B Wholesale LLC,"1 Northern Blvd, Amsterdam, NY 12010, USA",(518) 816-9380,,42.95290079999999,-74.1721378,,,ChIJGappLgNh3okRJ1YgC93oDns,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,Elhannon Wholesale Nursery,"20716 NY-22, Petersburgh, NY 12138, USA",(518) 686-5553,http://elhannon.com/,42.8442499,-73.33803619999999,4.3,29.0,ChIJma6a80Si4IkRU3Q8wzmjFRA,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,Augie's Wholesale Tires,"3922 NY-67, Eagle Bridge, NY 12057, USA",(518) 686-4845,,42.9491157,-73.3934783,4.6,54.0,ChIJr2wzhU6Z4IkRFjBo-RS80e4,"car_repair, point_of_interest, store, establishment"
"Albany, NY",wholesale,wholesale,424490,Cedar Farm Wholesale,"365 Old Post Rd, Ghent, NY 12075, USA",(518) 965-0552,http://www.cedarfarmwholesale.com/?page_id=22,42.3251333,-73.6992008,5.0,2.0,ChIJ-QSlOCft3YkRYXzQYovHRkI,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424410,BJ's Wholesale Club,"70 W Campbell Rd, Rotterdam, NY 12306, USA",(518) 382-1900,https://www.bjs.com/cl/rotterdam/0079/?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0079%7Cstore%7C20240816,42.8051774,-73.9959225,3.8,188.0,ChIJ305T0ihw3okRu7jXZzDGnj0,"liquor_store, grocery_or_supermarket, electronics_store, bakery, car_repair, health, food, point_of_interest, store, establishment"
"Albany, NY",wholesale,wholesale,424490,"B & H Wholesale Fence Co, LLC","1900 Maxon Rd Extension, Schenectady, NY 12308, USA",(518) 346-8515,http://bnhfence.com/,42.8320632,-73.9255226,4.1,14.0,ChIJtxyNVcVt3okR1P_XbDMS3o0,"point_of_interest, store, establishment"
"Albany, NY",wholesale,wholesale,424490,New York State Beer Wholesalers Association,"119 Washington Ave #3c, Albany, NY 12210, USA",(518) 465-6115,http://nybeer.org/contact/,42.6554857,-73.76001959999999,5.0,2.0,ChIJvwvnBjAK3okReNiR7TSW4ZE,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,Dan Engwer Wholesale Florist,"8620 Miller Hill Rd, Averill Park, NY 12018, USA",(518) 674-5410,https://danengwerwholesaleflorist.com/,42.648818,-73.550726,5.0,1.0,ChIJJ8_P1TYB3okRg-sjBn2sC1E,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,The Spa Wholesaler,"1801 5th Ave, Watervliet, NY 12189, USA",(518) 273-7727,http://www.spawholesaleralbany.com/,42.7295723,-73.7049926,5.0,1263.0,ChIJkYoFjzAK3okRIyEYFLWgMfE,"store, point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,Z & H Wholesale,"4 Broadway, Cohoes, NY 12047, USA",(518) 961-3687,,42.7744107,-73.7081613,,,ChIJ052o9dUR3okRsZwOPxOAPOE,"point_of_interest, establishment"
"Albany, NY",wholesale,wholesale,424490,ATA Auto Wholesale,"2525 US-9W, Ravena, NY 12143, USA",(518) 256-7114,http://www.ataautowholesale.com/,42.4641281,-73.8174387,4.5,8.0,ChIJuXgiaurp3YkRSeWvSiHF63I,"car_dealer, store, point_of_interest, establishment"
